카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년08월_계_총인구수,"81,949","30,111","26,025",0,"3,239","3,580","2,092","6,206","10,696"
2020년08월_계_연령구간인구수,"81,949","30,111","26,025",0,"3,239","3,580","2,092","6,206","10,696"
2020년08월_계_0~9세,"7,592","2,350","3,996",0,84,125,50,223,764
2020년08월_계_10~19세,"8,037","3,293","2,689",0,187,141,80,417,"1,230"
2020년08월_계_20~29세,"8,945","3,844","2,735",0,214,303,107,528,"1,214"
2020년08월_계_30~39세,"11,189","3,281","5,541",0,184,258,118,488,"1,319"
2020년08월_계_40~49세,"13,215","5,046","4,702",0,314,379,175,742,"1,857"
2020년08월_계_50~59세,"13,608","5,325","3,155",0,649,767,392,"1,254","2,066"
2020년08월_계_60~69세,"9,955","3,596","1,812",0,722,775,541,"1,262","1,247"
2020년08월_계_70~79세,"5,501","2,081",811,0,469,457,346,727,610
2020년08월_계_80~89세,"3,427","1,139",514,0,375,327,244,487,341
2020년08월_계_90~99세,461,152,65,0,40,47,37,72,48
2020년08월_계_100세 이상,19,4,5,0,1,1,2,6,0
2020년08월_남_총인구수,"42,920","15,463","13,752",0,"1,665","1,883","1,061","3,265","5,831"
2020년08월_남_연령구간인구수,"42,920","15,463","13,752",0,"1,665","1,883","1,061","3,265","5,831"
2020년08월_남_0~9세,"3,914","1,227","2,044",0,43,60,26,119,395
2020년08월_남_10~19세,"4,209","1,726","1,372",0,94,72,44,213,688
2020년08월_남_20~29세,"5,154","2,191","1,539",0,128,180,66,327,723
2020년08월_남_30~39세,"6,133","1,741","2,993",0,118,153,68,288,772
2020년08월_남_40~49세,"7,242","2,641","2,616",0,187,242,103,431,"1,022"
2020년08월_남_50~59세,"7,439","2,850","1,711",0,381,426,229,697,"1,145"
2020년08월_남_60~69세,"5,077","1,736",905,0,380,419,271,687,679
2020년08월_남_70~79세,"2,496",934,364,0,214,218,155,336,275
2020년08월_남_80~89세,"1,163",385,191,0,113,102,92,156,124
2020년08월_남_90~99세,89,30,17,0,7,11,7,9,8
2020년08월_남_100세 이상,4,2,0,0,0,0,0,2,0
2020년08월_여_총인구수,"39,029","14,648","12,273",0,"1,574","1,697","1,031","2,941","4,865"
2020년08월_여_연령구간인구수,"39,029","14,648","12,273",0,"1,574","1,697","1,031","2,941","4,865"
2020년08월_여_0~9세,"3,678","1,123","1,952",0,41,65,24,104,369
2020년08월_여_10~19세,"3,828","1,567","1,317",0,93,69,36,204,542
2020년08월_여_20~29세,"3,791","1,653","1,196",0,86,123,41,201,491
2020년08월_여_30~39세,"5,056","1,540","2,548",0,66,105,50,200,547
2020년08월_여_40~49세,"5,973","2,405","2,086",0,127,137,72,311,835
2020년08월_여_50~59세,"6,169","2,475","1,444",0,268,341,163,557,921
2020년08월_여_60~69세,"4,878","1,860",907,0,342,356,270,575,568
2020년08월_여_70~79세,"3,005","1,147",447,0,255,239,191,391,335
2020년08월_여_80~89세,"2,264",754,323,0,262,225,152,331,217
2020년08월_여_90~99세,372,122,48,0,33,36,30,63,40
2020년08월_여_100세 이상,15,2,5,0,1,1,2,4,0
