,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년03월_계_총인구수,"54,335","8,384","14,882","6,719","1,907","2,068","3,856","3,663","2,318","3,235","1,961","3,018","2,324"
2020년03월_계_연령구간인구수,"54,335","8,384","14,882","6,719","1,907","2,068","3,856","3,663","2,318","3,235","1,961","3,018","2,324"
2020년03월_계_0~9세,"3,870",671,"1,677",701,72,53,122,111,72,108,72,130,81
2020년03월_계_10~19세,"4,623",817,"1,823",739,102,80,204,151,115,182,84,211,115
2020년03월_계_20~29세,"5,023",870,"1,510",852,130,122,292,261,183,246,127,263,167
2020년03월_계_30~39세,"5,165",796,"1,985",981,113,102,250,201,142,162,110,168,155
2020년03월_계_40~49세,"7,680","1,082","2,901","1,341",179,202,395,357,204,314,166,311,228
2020년03월_계_50~59세,"9,425","1,492","2,420","1,269",315,377,702,631,440,555,310,513,401
2020년03월_계_60~69세,"7,742","1,130","1,357",471,338,420,774,791,449,596,381,556,479
2020년03월_계_70~79세,"6,347",912,807,227,322,413,655,683,399,636,398,487,408
2020년03월_계_80~89세,"3,920",517,366,117,298,264,410,416,286,380,273,324,269
2020년03월_계_90~99세,506,93,33,20,34,35,46,59,25,54,36,52,19
2020년03월_계_100세 이상,34,4,3,1,4,0,6,2,3,2,4,3,2
2020년03월_남_총인구수,"27,900","4,145","7,893","3,857",932,"1,030","1,927","1,821","1,181","1,545",933,"1,472","1,164"
2020년03월_남_연령구간인구수,"27,900","4,145","7,893","3,857",932,"1,030","1,927","1,821","1,181","1,545",933,"1,472","1,164"
2020년03월_남_0~9세,"1,949",353,795,362,43,24,50,67,50,67,29,67,42
2020년03월_남_10~19세,"2,479",431,979,392,44,49,111,87,74,101,51,107,53
2020년03월_남_20~29세,"2,829",478,789,514,76,67,194,156,108,139,70,140,98
2020년03월_남_30~39세,"2,858",399,"1,034",596,74,59,147,123,86,92,63,91,94
2020년03월_남_40~49세,"4,557",572,"1,710",825,109,122,229,246,125,189,111,177,142
2020년03월_남_50~59세,"5,367",792,"1,413",784,200,222,378,351,244,302,173,290,218
2020년03월_남_60~69세,"3,903",541,711,259,155,233,391,388,246,280,184,267,248
2020년03월_남_70~79세,"2,635",398,353,95,125,169,275,290,155,247,154,203,171
2020년03월_남_80~89세,"1,211",159,101,26,93,76,140,106,87,118,94,115,96
2020년03월_남_90~99세,105,21,7,4,12,9,9,7,6,10,3,15,2
2020년03월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년03월_여_총인구수,"26,435","4,239","6,989","2,862",975,"1,038","1,929","1,842","1,137","1,690","1,028","1,546","1,160"
2020년03월_여_연령구간인구수,"26,435","4,239","6,989","2,862",975,"1,038","1,929","1,842","1,137","1,690","1,028","1,546","1,160"
2020년03월_여_0~9세,"1,921",318,882,339,29,29,72,44,22,41,43,63,39
2020년03월_여_10~19세,"2,144",386,844,347,58,31,93,64,41,81,33,104,62
2020년03월_여_20~29세,"2,194",392,721,338,54,55,98,105,75,107,57,123,69
2020년03월_여_30~39세,"2,307",397,951,385,39,43,103,78,56,70,47,77,61
2020년03월_여_40~49세,"3,123",510,"1,191",516,70,80,166,111,79,125,55,134,86
2020년03월_여_50~59세,"4,058",700,"1,007",485,115,155,324,280,196,253,137,223,183
2020년03월_여_60~69세,"3,839",589,646,212,183,187,383,403,203,316,197,289,231
2020년03월_여_70~79세,"3,712",514,454,132,197,244,380,393,244,389,244,284,237
2020년03월_여_80~89세,"2,709",358,265,91,205,188,270,310,199,262,179,209,173
2020년03월_여_90~99세,401,72,26,16,22,26,37,52,19,44,33,37,17
2020년03월_여_100세 이상,27,3,2,1,3,0,3,2,3,2,3,3,2
