카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년02월_계_총인구수,"382,835","112,465","46,215","23,090","9,427","15,220","1,506","2,595","25,048","22,153","18,355","39,142","33,440","34,179"
2021년02월_계_연령구간인구수,"382,835","112,465","46,215","23,090","9,427","15,220","1,506","2,595","25,048","22,153","18,355","39,142","33,440","34,179"
2021년02월_계_0~9세,"34,737","11,163","3,734","1,392",462,"1,090",42,150,"1,968","1,673","1,956","3,069","2,675","5,363"
2021년02월_계_10~19세,"33,575","8,764","4,675","1,828",645,"1,213",64,196,"2,255","2,012","1,631","3,645","2,670","3,977"
2021년02월_계_20~29세,"45,160","13,488","5,536","2,819","1,013","1,168",109,183,"3,370","2,818","2,370","4,994","4,256","3,036"
2021년02월_계_30~39세,"57,249","19,813","6,181","2,787",990,"1,457",91,227,"3,530","2,961","2,914","5,260","4,841","6,197"
2021년02월_계_40~49세,"67,085","20,169","8,258","3,572","1,350","2,433",156,356,"4,107","3,762","3,188","6,830","5,718","7,186"
2021년02월_계_50~59세,"63,865","17,371","7,954","4,580","1,838","2,576",270,483,"4,435","3,975","3,039","7,347","5,909","4,088"
2021년02월_계_60~69세,"49,091","13,184","5,921","3,521","1,792","2,982",388,513,"3,170","3,037","2,100","5,121","4,680","2,682"
2021년02월_계_70~79세,"22,224","5,994","2,684","1,648",827,"1,590",225,301,"1,523","1,371",848,"2,057","1,951","1,205"
2021년02월_계_80~89세,"8,472","2,162","1,103",819,431,603,140,156,594,469,264,711,638,382
2021년02월_계_90~99세,"1,275",337,164,105,71,101,21,29,82,71,42,91,100,61
2021년02월_계_100세 이상,102,20,5,19,8,7,0,1,14,4,3,17,2,2
2021년02월_남_총인구수,"195,680","56,938","24,020","12,330","5,187","7,751",777,"1,382","12,910","11,139","9,159","19,909","17,205","16,973"
2021년02월_남_연령구간인구수,"195,680","56,938","24,020","12,330","5,187","7,751",777,"1,382","12,910","11,139","9,159","19,909","17,205","16,973"
2021년02월_남_0~9세,"17,853","5,802","1,948",706,238,541,21,73,"1,040",817,"1,015","1,572","1,386","2,694"
2021년02월_남_10~19세,"17,151","4,494","2,348",971,341,652,33,103,"1,155",981,787,"1,845","1,377","2,064"
2021년02월_남_20~29세,"23,945","7,044","2,959","1,577",592,650,59,97,"1,820","1,485","1,224","2,641","2,271","1,526"
2021년02월_남_30~39세,"29,817","10,309","3,238","1,566",578,755,48,123,"1,847","1,578","1,456","2,828","2,559","2,932"
2021년02월_남_40~49세,"35,439","10,729","4,401","1,925",809,"1,334",84,200,"2,158","1,949","1,636","3,505","3,063","3,646"
2021년02월_남_50~59세,"32,592","8,435","4,272","2,555","1,033","1,335",149,274,"2,365","1,989","1,461","3,659","2,987","2,078"
2021년02월_남_60~69세,"24,607","6,379","3,113","1,882",989,"1,432",209,287,"1,594","1,512","1,051","2,550","2,336","1,273"
2021년02월_남_70~79세,"10,741","2,834","1,298",805,428,792,106,148,708,648,407,"1,004",970,593
2021년02월_남_80~89세,"3,225",825,410,311,159,231,60,72,203,164,117,278,238,157
2021년02월_남_90~99세,283,81,32,25,18,27,8,5,14,16,5,24,18,10
2021년02월_남_100세 이상,27,6,1,7,2,2,0,0,6,0,0,3,0,0
2021년02월_여_총인구수,"187,155","55,527","22,195","10,760","4,240","7,469",729,"1,213","12,138","11,014","9,196","19,233","16,235","17,206"
2021년02월_여_연령구간인구수,"187,155","55,527","22,195","10,760","4,240","7,469",729,"1,213","12,138","11,014","9,196","19,233","16,235","17,206"
2021년02월_여_0~9세,"16,884","5,361","1,786",686,224,549,21,77,928,856,941,"1,497","1,289","2,669"
2021년02월_여_10~19세,"16,424","4,270","2,327",857,304,561,31,93,"1,100","1,031",844,"1,800","1,293","1,913"
2021년02월_여_20~29세,"21,215","6,444","2,577","1,242",421,518,50,86,"1,550","1,333","1,146","2,353","1,985","1,510"
2021년02월_여_30~39세,"27,432","9,504","2,943","1,221",412,702,43,104,"1,683","1,383","1,458","2,432","2,282","3,265"
2021년02월_여_40~49세,"31,646","9,440","3,857","1,647",541,"1,099",72,156,"1,949","1,813","1,552","3,325","2,655","3,540"
2021년02월_여_50~59세,"31,273","8,936","3,682","2,025",805,"1,241",121,209,"2,070","1,986","1,578","3,688","2,922","2,010"
2021년02월_여_60~69세,"24,484","6,805","2,808","1,639",803,"1,550",179,226,"1,576","1,525","1,049","2,571","2,344","1,409"
2021년02월_여_70~79세,"11,483","3,160","1,386",843,399,798,119,153,815,723,441,"1,053",981,612
2021년02월_여_80~89세,"5,247","1,337",693,508,272,372,80,84,391,305,147,433,400,225
2021년02월_여_90~99세,992,256,132,80,53,74,13,24,68,55,37,67,82,51
2021년02월_여_100세 이상,75,14,4,12,6,5,0,1,8,4,3,14,2,2
