카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년11월_계_총인구수,"30,816","9,965","2,160","2,266","3,575","1,518","1,930","2,336","2,744","2,206","2,116"
2020년11월_계_연령구간인구수,"30,816","9,965","2,160","2,266","3,575","1,518","1,930","2,336","2,744","2,206","2,116"
2020년11월_계_0~9세,"1,269",641,53,78,148,33,53,79,83,56,45
2020년11월_계_10~19세,"2,063","1,000",91,85,273,80,109,110,102,109,104
2020년11월_계_20~29세,"2,610","1,234",155,155,313,90,118,128,171,129,117
2020년11월_계_30~39세,"2,073",905,106,121,268,70,105,114,139,121,124
2020년11월_계_40~49세,"3,102","1,246",176,212,411,127,171,200,226,170,163
2020년11월_계_50~59세,"5,290","1,681",366,424,612,316,313,378,470,348,382
2020년11월_계_60~69세,"6,104","1,531",465,530,663,323,431,525,605,524,507
2020년11월_계_70~79세,"4,536",992,381,342,507,243,351,459,499,402,360
2020년11월_계_80~89세,"3,303",623,330,289,333,204,243,306,404,300,271
2020년11월_계_90~99세,447,105,37,29,45,32,34,35,45,46,39
2020년11월_계_100세 이상,19,7,0,1,2,0,2,2,0,1,4
2020년11월_남_총인구수,"15,624","5,015","1,075","1,192","1,851",794,993,"1,180","1,367","1,113","1,044"
2020년11월_남_연령구간인구수,"15,624","5,015","1,075","1,192","1,851",794,993,"1,180","1,367","1,113","1,044"
2020년11월_남_0~9세,644,324,27,36,77,21,25,42,42,27,23
2020년11월_남_10~19세,"1,097",514,53,53,146,45,61,53,58,55,59
2020년11월_남_20~29세,"1,510",709,90,93,193,50,71,62,98,76,68
2020년11월_남_30~39세,"1,190",471,64,76,161,42,66,72,86,77,75
2020년11월_남_40~49세,"1,810",655,99,137,230,81,114,141,141,109,103
2020년11월_남_50~59세,"2,896",886,201,243,333,179,181,215,269,186,203
2020년11월_남_60~69세,"3,115",742,245,281,345,181,227,264,305,264,261
2020년11월_남_70~79세,"2,049",463,171,160,228,109,159,198,218,192,151
2020년11월_남_80~89세,"1,180",220,114,103,117,77,79,124,142,111,93
2020년11월_남_90~99세,128,27,11,10,21,9,9,9,8,16,8
2020년11월_남_100세 이상,5,4,0,0,0,0,1,0,0,0,0
2020년11월_여_총인구수,"15,192","4,950","1,085","1,074","1,724",724,937,"1,156","1,377","1,093","1,072"
2020년11월_여_연령구간인구수,"15,192","4,950","1,085","1,074","1,724",724,937,"1,156","1,377","1,093","1,072"
2020년11월_여_0~9세,625,317,26,42,71,12,28,37,41,29,22
2020년11월_여_10~19세,966,486,38,32,127,35,48,57,44,54,45
2020년11월_여_20~29세,"1,100",525,65,62,120,40,47,66,73,53,49
2020년11월_여_30~39세,883,434,42,45,107,28,39,42,53,44,49
2020년11월_여_40~49세,"1,292",591,77,75,181,46,57,59,85,61,60
2020년11월_여_50~59세,"2,394",795,165,181,279,137,132,163,201,162,179
2020년11월_여_60~69세,"2,989",789,220,249,318,142,204,261,300,260,246
2020년11월_여_70~79세,"2,487",529,210,182,279,134,192,261,281,210,209
2020년11월_여_80~89세,"2,123",403,216,186,216,127,164,182,262,189,178
2020년11월_여_90~99세,319,78,26,19,24,23,25,26,37,30,31
2020년11월_여_100세 이상,14,3,0,1,2,0,1,2,0,1,4
