,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년12월_계_총인구수,"473,307","36,807","38,518","27,545","21,876","28,240","32,207","26,881","32,960","27,912","24,336","45,384","27,031","20,211","14,909","12,692","55,798"
2021년12월_계_연령구간인구수,"473,307","36,807","38,518","27,545","21,876","28,240","32,207","26,881","32,960","27,912","24,336","45,384","27,031","20,211","14,909","12,692","55,798"
2021년12월_계_0~9세,"27,655","2,364","2,183","1,000",886,"1,380","1,611","1,037","2,508","3,194",937,"2,382","1,459","1,008",665,907,"4,134"
2021년12월_계_10~19세,"37,208","2,180","2,561","1,657","1,416","2,319","2,798","1,542","2,682","2,370","1,456","3,286","1,989","1,567","1,120",886,"7,379"
2021년12월_계_20~29세,"65,282","4,908","5,076","4,182","3,454","4,304","4,325","4,809","4,464","2,618","3,519","6,453","3,806","2,830","1,996","1,650","6,888"
2021년12월_계_30~39세,"67,027","5,978","5,355","3,803","2,885","3,791","4,011","4,239","5,486","4,840","3,301","6,286","3,948","2,719","1,951","1,964","6,470"
2021년12월_계_40~49세,"74,103","5,530","5,673","3,597","3,057","4,477","4,914","3,843","5,555","5,443","3,363","7,315","4,143","3,033","2,165","1,787","10,208"
2021년12월_계_50~59세,"77,244","5,889","6,643","4,779","3,783","4,767","5,636","4,176","4,892","3,793","4,050","7,580","4,365","3,425","2,521","2,231","8,714"
2021년12월_계_60~69세,"67,015","5,305","5,745","4,520","3,546","3,832","4,830","3,689","3,961","3,060","3,808","6,490","4,068","3,204","2,478","1,840","6,639"
2021년12월_계_70~79세,"38,521","3,085","3,421","2,716","1,988","2,275","2,726","2,340","2,291","1,723","2,508","3,843","2,228","1,613","1,374",937,"3,453"
2021년12월_계_80~89세,"17,089","1,382","1,654","1,149",761,990,"1,205","1,076","1,005",770,"1,247","1,562",920,717,570,434,"1,647"
