,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년11월_계_총인구수,"36,887","9,595","2,072","1,901","2,263","3,074","2,164","5,092","3,311","2,699","2,039","2,677"
2021년11월_계_연령구간인구수,"36,887","9,595","2,072","1,901","2,263","3,074","2,164","5,092","3,311","2,699","2,039","2,677"
2021년11월_계_0~9세,"1,187",561,54,46,36,74,50,106,80,66,52,62
2021년11월_계_10~19세,"1,867",844,115,58,74,126,94,192,112,100,58,94
2021년11월_계_20~29세,"2,532","1,074",109,97,117,197,125,231,172,187,95,128
2021년11월_계_30~39세,"2,196",921,96,66,98,174,116,217,152,141,108,107
2021년11월_계_40~49세,"3,577","1,391",169,148,176,277,186,369,247,249,164,201
2021년11월_계_50~59세,"7,025","1,673",398,400,412,656,411,"1,034",674,503,360,504
2021년11월_계_60~69세,"9,249","1,615",571,559,676,766,558,"1,498",943,667,620,776
2021년11월_계_70~79세,"5,301",927,296,285,365,470,359,838,513,456,346,446
2021년11월_계_80~89세,"3,459",532,226,214,270,293,225,521,361,295,199,323
2021년11월_계_90~99세,479,56,38,28,37,41,38,80,56,34,35,36
2021년11월_계_100세 이상,15,1,0,0,2,0,2,6,1,1,2,0
2021년11월_남_총인구수,"18,957","4,900","1,083",973,"1,173","1,556","1,105","2,651","1,684","1,386","1,053","1,393"
2021년11월_남_연령구간인구수,"18,957","4,900","1,083",973,"1,173","1,556","1,105","2,651","1,684","1,386","1,053","1,393"
2021년11월_남_0~9세,599,285,25,27,14,31,28,56,36,36,25,36
2021년11월_남_10~19세,959,429,57,29,44,60,43,110,54,45,31,57
2021년11월_남_20~29세,"1,483",607,63,60,70,102,82,156,100,110,51,82
2021년11월_남_30~39세,"1,253",491,60,36,61,104,64,124,91,83,71,68
2021년11월_남_40~49세,"2,065",750,106,79,110,165,109,212,150,152,103,129
2021년11월_남_50~59세,"3,842",929,223,227,212,368,226,555,373,285,182,262
2021년11월_남_60~69세,"4,929",801,314,310,375,418,287,818,509,355,335,407
2021년11월_남_70~79세,"2,498",399,139,121,176,215,191,415,237,207,181,217
2021년11월_남_80~89세,"1,223",197,88,80,103,84,68,186,121,105,64,127
2021년11월_남_90~99세,103,12,8,4,7,9,7,18,13,7,10,8
2021년11월_남_100세 이상,3,0,0,0,1,0,0,1,0,1,0,0
2021년11월_여_총인구수,"17,930","4,695",989,928,"1,090","1,518","1,059","2,441","1,627","1,313",986,"1,284"
2021년11월_여_연령구간인구수,"17,930","4,695",989,928,"1,090","1,518","1,059","2,441","1,627","1,313",986,"1,284"
2021년11월_여_0~9세,588,276,29,19,22,43,22,50,44,30,27,26
2021년11월_여_10~19세,908,415,58,29,30,66,51,82,58,55,27,37
2021년11월_여_20~29세,"1,049",467,46,37,47,95,43,75,72,77,44,46
2021년11월_여_30~39세,943,430,36,30,37,70,52,93,61,58,37,39
2021년11월_여_40~49세,"1,512",641,63,69,66,112,77,157,97,97,61,72
2021년11월_여_50~59세,"3,183",744,175,173,200,288,185,479,301,218,178,242
2021년11월_여_60~69세,"4,320",814,257,249,301,348,271,680,434,312,285,369
2021년11월_여_70~79세,"2,803",528,157,164,189,255,168,423,276,249,165,229
2021년11월_여_80~89세,"2,236",335,138,134,167,209,157,335,240,190,135,196
2021년11월_여_90~99세,376,44,30,24,30,32,31,62,43,27,25,28
2021년11월_여_100세 이상,12,1,0,0,1,0,2,5,1,0,2,0
