,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년05월_계_총인구수,"223,353","4,717","24,816","12,150","12,403","8,637","21,751","14,997","10,629","13,807","18,252","20,470","12,167","10,970","14,308","2,449","20,830"
2021년05월_계_연령구간인구수,"223,353","4,717","24,816","12,150","12,403","8,637","21,751","14,997","10,629","13,807","18,252","20,470","12,167","10,970","14,308","2,449","20,830"
2021년05월_계_0~9세,"14,792",105,"2,462",879,759,254,"1,681","1,384",375,792,913,"1,049",875,573,773,61,"1,857"
2021년05월_계_10~19세,"19,873",143,"3,338",888,970,372,"1,835","1,385",846,"1,095","1,755","1,474",941,788,"1,240",135,"2,668"
2021년05월_계_20~29세,"30,295",363,"2,563","1,352","1,475",769,"3,343","1,772","2,723","1,959","2,889","3,971","1,338","1,983","1,530",202,"2,063"
2021년05월_계_30~39세,"25,709",374,"2,843","1,578","1,469",726,"2,940","1,998","1,055","1,411","1,875","2,961","1,473","1,273","1,387",155,"2,191"
2021년05월_계_40~49세,"33,926",494,"4,834","1,753","1,707",999,"3,288","2,347","1,236","2,039","2,673","3,131","1,751","1,538","2,137",250,"3,749"
2021년05월_계_50~59세,"36,343",938,"3,544","1,932","2,153","1,501","3,561","2,353","1,545","2,292","3,293","3,279","2,076","1,839","2,518",448,"3,071"
2021년05월_계_60~69세,"33,606","1,151","2,935","1,965","1,996","1,925","2,986","2,011","1,518","2,262","2,734","2,675","1,960","1,667","2,453",582,"2,786"
2021년05월_계_70~79세,"19,042",778,"1,570","1,206","1,200","1,288","1,427","1,137",895,"1,320","1,421","1,358","1,171",858,"1,504",323,"1,586"
2021년05월_계_80~89세,"8,598",331,628,528,594,710,605,526,391,573,618,508,500,402,684,253,747
2021년05월_계_90~99세,"1,130",38,97,67,78,92,81,81,41,60,78,63,79,49,81,40,105
2021년05월_계_100세 이상,39,2,2,2,2,1,4,3,4,4,3,1,3,0,1,0,7
