카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년11월_계_총인구수,"143,645","12,073","9,174","12,680","16,630","11,373","10,300","10,807","11,106","6,411","9,582","15,731","9,143","8,635"
2021년11월_계_연령구간인구수,"143,645","12,073","9,174","12,680","16,630","11,373","10,300","10,807","11,106","6,411","9,582","15,731","9,143","8,635"
2021년11월_계_0~9세,"6,386",708,338,935,805,446,360,334,436,211,494,713,310,296
2021년11월_계_10~19세,"8,983","1,023",495,"1,026","1,267",726,562,564,610,350,620,858,448,434
2021년11월_계_20~29세,"19,908","1,213","1,115","1,237","2,014","1,739","1,988","1,509","1,607","1,322","1,461","2,364","1,304","1,035"
2021년11월_계_30~39세,"16,818","1,176","1,102","1,562","1,786","1,346","1,261","1,145","1,226",761,"1,234","2,115","1,117",987
2021년11월_계_40~49세,"19,523","1,898","1,312","1,800","2,383","1,513","1,278","1,423","1,306",762,"1,405","2,272","1,151","1,020"
2021년11월_계_50~59세,"24,214","1,998","1,604","2,057","2,869","1,998","1,596","1,884","1,999","1,001","1,537","2,617","1,525","1,529"
2021년11월_계_60~69세,"24,364","1,781","1,581","2,053","2,830","1,952","1,585","2,020","2,112","1,033","1,486","2,492","1,691","1,748"
2021년11월_계_70~79세,"14,867","1,371",977,"1,212","1,626","1,096","1,072","1,290","1,203",627,853,"1,508","1,001","1,031"
2021년11월_계_80~89세,"7,599",781,586,702,929,491,543,572,535,306,434,687,535,498
2021년11월_계_90~99세,965,124,63,93,118,65,54,66,70,38,56,103,59,56
2021년11월_계_100세 이상,18,0,1,3,3,1,1,0,2,0,2,2,2,1
2021년11월_남_총인구수,"69,066","5,690","4,414","6,033","7,928","5,573","4,887","5,350","5,397","3,039","4,609","7,697","4,325","4,124"
2021년11월_남_연령구간인구수,"69,066","5,690","4,414","6,033","7,928","5,573","4,887","5,350","5,397","3,039","4,609","7,697","4,325","4,124"
2021년11월_남_0~9세,"3,284",396,172,479,418,237,173,181,208,127,226,373,151,143
2021년11월_남_10~19세,"4,762",562,268,484,670,397,285,314,326,194,330,459,243,230
2021년11월_남_20~29세,"9,914",626,532,655,"1,010",882,931,754,840,570,723,"1,196",635,560
2021년11월_남_30~39세,"8,934",581,600,801,926,720,683,659,691,387,636,"1,102",588,560
2021년11월_남_40~49세,"9,848",928,675,863,"1,125",778,657,783,676,406,682,"1,172",586,517
2021년11월_남_50~59세,"11,877",978,804,963,"1,438",959,783,988,979,490,775,"1,280",720,720
2021년11월_남_60~69세,"11,167",774,744,955,"1,253",913,742,931,971,475,708,"1,169",761,771
2021년11월_남_70~79세,"6,320",541,399,539,698,487,442,533,526,275,369,654,432,425
2021년11월_남_80~89세,"2,753",278,210,266,361,186,181,198,170,106,151,268,196,182
2021년11월_남_90~99세,207,26,10,28,29,14,10,9,10,9,9,24,13,16
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"74,579","6,383","4,760","6,647","8,702","5,800","5,413","5,457","5,709","3,372","4,973","8,034","4,818","4,511"
2021년11월_여_연령구간인구수,"74,579","6,383","4,760","6,647","8,702","5,800","5,413","5,457","5,709","3,372","4,973","8,034","4,818","4,511"
2021년11월_여_0~9세,"3,102",312,166,456,387,209,187,153,228,84,268,340,159,153
2021년11월_여_10~19세,"4,221",461,227,542,597,329,277,250,284,156,290,399,205,204
2021년11월_여_20~29세,"9,994",587,583,582,"1,004",857,"1,057",755,767,752,738,"1,168",669,475
2021년11월_여_30~39세,"7,884",595,502,761,860,626,578,486,535,374,598,"1,013",529,427
2021년11월_여_40~49세,"9,675",970,637,937,"1,258",735,621,640,630,356,723,"1,100",565,503
2021년11월_여_50~59세,"12,337","1,020",800,"1,094","1,431","1,039",813,896,"1,020",511,762,"1,337",805,809
2021년11월_여_60~69세,"13,197","1,007",837,"1,098","1,577","1,039",843,"1,089","1,141",558,778,"1,323",930,977
2021년11월_여_70~79세,"8,547",830,578,673,928,609,630,757,677,352,484,854,569,606
2021년11월_여_80~89세,"4,846",503,376,436,568,305,362,374,365,200,283,419,339,316
2021년11월_여_90~99세,758,98,53,65,89,51,44,57,60,29,47,79,46,40
2021년11월_여_100세 이상,18,0,1,3,3,1,1,0,2,0,2,2,2,1
