,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년05월_계_총인구수,"54,224","8,348","14,899","6,744","1,903","2,062","3,835","3,644","2,305","3,215","1,958","3,005","2,306"
2020년05월_계_연령구간인구수,"54,224","8,348","14,899","6,744","1,903","2,062","3,835","3,644","2,305","3,215","1,958","3,005","2,306"
2020년05월_계_0~9세,"3,833",658,"1,658",696,72,51,121,115,69,108,74,132,79
2020년05월_계_10~19세,"4,592",813,"1,814",736,101,80,203,151,115,176,84,207,112
2020년05월_계_20~29세,"5,017",866,"1,531",884,125,114,283,252,180,244,122,258,158
2020년05월_계_30~39세,"5,107",779,"1,960",967,113,102,254,199,140,161,109,168,155
2020년05월_계_40~49세,"7,629","1,073","2,900","1,330",179,202,396,349,201,312,161,302,224
2020년05월_계_50~59세,"9,429","1,495","2,432","1,285",323,378,692,618,432,551,316,509,398
2020년05월_계_60~69세,"7,782","1,139","1,380",478,332,420,774,800,449,592,379,558,481
2020년05월_계_70~79세,"6,334",912,816,232,324,408,651,680,396,635,389,487,404
2020년05월_계_80~89세,"3,958",514,368,116,299,272,409,421,295,379,284,328,273
2020년05월_계_90~99세,510,95,37,19,31,35,46,57,25,55,36,53,21
2020년05월_계_100세 이상,33,4,3,1,4,0,6,2,3,2,4,3,1
2020년05월_남_총인구수,"27,886","4,124","7,916","3,889",930,"1,035","1,921","1,812","1,172","1,537",933,"1,461","1,156"
2020년05월_남_연령구간인구수,"27,886","4,124","7,916","3,889",930,"1,035","1,921","1,812","1,172","1,537",933,"1,461","1,156"
2020년05월_남_0~9세,"1,925",348,781,358,45,23,49,69,48,67,31,67,39
2020년05월_남_10~19세,"2,463",428,976,392,45,50,110,87,72,97,50,104,52
2020년05월_남_20~29세,"2,856",479,798,547,71,64,191,152,108,140,70,140,96
2020년05월_남_30~39세,"2,822",393,"1,023",587,74,60,148,119,85,88,61,90,94
2020년05월_남_40~49세,"4,531",562,"1,721",816,107,122,233,238,123,190,109,169,141
2020년05월_남_50~59세,"5,390",790,"1,420",797,205,227,373,353,242,299,177,289,218
2020년05월_남_60~69세,"3,920",548,723,263,150,237,395,388,244,280,181,265,246
2020년05월_남_70~79세,"2,639",398,363,97,129,167,268,290,154,246,151,206,170
2020년05월_남_80~89세,"1,225",155,102,28,92,76,142,109,89,120,99,116,97
2020년05월_남_90~99세,108,22,8,4,11,9,9,7,7,10,3,15,3
2020년05월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년05월_여_총인구수,"26,338","4,224","6,983","2,855",973,"1,027","1,914","1,832","1,133","1,678","1,025","1,544","1,150"
2020년05월_여_연령구간인구수,"26,338","4,224","6,983","2,855",973,"1,027","1,914","1,832","1,133","1,678","1,025","1,544","1,150"
2020년05월_여_0~9세,"1,908",310,877,338,27,28,72,46,21,41,43,65,40
2020년05월_여_10~19세,"2,129",385,838,344,56,30,93,64,43,79,34,103,60
2020년05월_여_20~29세,"2,161",387,733,337,54,50,92,100,72,104,52,118,62
2020년05월_여_30~39세,"2,285",386,937,380,39,42,106,80,55,73,48,78,61
2020년05월_여_40~49세,"3,098",511,"1,179",514,72,80,163,111,78,122,52,133,83
2020년05월_여_50~59세,"4,039",705,"1,012",488,118,151,319,265,190,252,139,220,180
2020년05월_여_60~69세,"3,862",591,657,215,182,183,379,412,205,312,198,293,235
2020년05월_여_70~79세,"3,695",514,453,135,195,241,383,390,242,389,238,281,234
2020년05월_여_80~89세,"2,733",359,266,88,207,196,267,312,206,259,185,212,176
2020년05월_여_90~99세,402,73,29,15,20,26,37,50,18,45,33,38,18
2020년05월_여_100세 이상,26,3,2,1,3,0,3,2,3,2,3,3,1
