,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년04월_계_총인구수,"116,332","12,060","2,606","2,893","1,437","2,306","2,485","3,566","1,953","4,643","4,263","3,379","1,873","4,209","7,683","2,697","4,892","8,739","3,252","3,417","37,979"
2021년04월_계_연령구간인구수,"116,332","12,060","2,606","2,893","1,437","2,306","2,485","3,566","1,953","4,643","4,263","3,379","1,873","4,209","7,683","2,697","4,892","8,739","3,252","3,417","37,979"
2021년04월_계_0~9세,"10,106","1,088",47,54,17,82,45,64,34,94,118,83,29,102,609,142,222,704,106,118,"6,348"
2021년04월_계_10~19세,"9,579",780,141,131,48,121,83,158,54,167,208,133,55,196,850,216,358,901,249,204,"4,526"
2021년04월_계_20~29세,"12,438","1,207",188,257,96,146,166,234,123,340,374,302,104,296,"1,191",322,516,"1,292",266,388,"4,630"
2021년04월_계_30~39세,"14,591","1,589",121,153,66,121,116,196,90,271,302,242,93,226,932,267,370,901,212,293,"8,030"
2021년04월_계_40~49세,"16,630","1,685",220,255,125,218,192,302,153,373,432,343,142,363,"1,194",385,592,"1,352",309,418,"7,577"
2021년04월_계_50~59세,"17,343","1,976",471,524,251,356,380,597,338,885,751,677,385,728,"1,304",452,831,"1,436",598,595,"3,808"
2021년04월_계_60~69세,"16,364","1,937",565,629,316,513,573,827,439,"1,097",868,712,446,917,814,422,868,"1,058",642,665,"2,056"
2021년04월_계_70~79세,"11,466","1,129",485,474,280,423,525,656,372,776,747,516,350,803,481,292,732,708,524,456,737
2021년04월_계_80~89세,"6,755",582,313,366,202,292,353,461,304,533,401,327,233,505,272,166,347,327,294,241,236
2021년04월_계_90~99세,"1,029",86,53,48,36,30,52,68,44,105,60,44,34,70,34,33,55,58,52,37,30
2021년04월_계_100세 이상,31,1,2,2,0,4,0,3,2,2,2,0,2,3,2,0,1,2,0,2,1
2021년04월_남_총인구수,"58,605","6,071","1,304","1,521",708,"1,156","1,237","1,790",947,"2,402","2,239","1,764",977,"2,183","3,812","1,337","2,466","4,392","1,637","1,815","18,847"
2021년04월_남_연령구간인구수,"58,605","6,071","1,304","1,521",708,"1,156","1,237","1,790",947,"2,402","2,239","1,764",977,"2,183","3,812","1,337","2,466","4,392","1,637","1,815","18,847"
2021년04월_남_0~9세,"5,163",555,21,30,8,38,19,30,14,57,65,38,18,54,307,67,123,373,61,57,"3,228"
2021년04월_남_10~19세,"4,944",406,72,76,25,64,50,93,28,88,115,69,24,110,418,117,221,480,111,107,"2,270"
2021년04월_남_20~29세,"6,567",639,106,148,60,88,106,137,72,195,211,171,58,176,657,188,289,718,142,221,"2,185"
2021년04월_남_30~39세,"7,608",821,68,104,50,72,68,132,49,161,195,147,58,134,507,134,195,462,116,171,"3,964"
2021년04월_남_40~49세,"9,230",956,158,173,81,135,132,198,104,255,265,228,90,247,591,217,318,694,195,256,"3,937"
2021년04월_남_50~59세,"9,477","1,007",278,323,140,211,219,328,200,519,456,408,236,448,676,238,439,738,354,379,"1,880"
2021년04월_남_60~69세,"8,334",977,300,342,159,277,315,444,235,593,455,370,258,485,388,198,422,490,333,342,951
2021년04월_남_70~79세,"5,027",514,207,212,132,179,213,279,146,349,329,229,152,353,182,123,320,315,226,210,357
2021년04월_남_80~89세,"2,038",177,89,108,46,88,102,137,91,161,134,92,72,160,77,51,126,109,84,67,67
2021년04월_남_90~99세,212,19,5,5,7,4,13,11,8,24,13,12,10,15,9,4,13,13,15,5,7
2021년04월_남_100세 이상,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
2021년04월_여_총인구수,"57,727","5,989","1,302","1,372",729,"1,150","1,248","1,776","1,006","2,241","2,024","1,615",896,"2,026","3,871","1,360","2,426","4,347","1,615","1,602","19,132"
2021년04월_여_연령구간인구수,"57,727","5,989","1,302","1,372",729,"1,150","1,248","1,776","1,006","2,241","2,024","1,615",896,"2,026","3,871","1,360","2,426","4,347","1,615","1,602","19,132"
2021년04월_여_0~9세,"4,943",533,26,24,9,44,26,34,20,37,53,45,11,48,302,75,99,331,45,61,"3,120"
2021년04월_여_10~19세,"4,635",374,69,55,23,57,33,65,26,79,93,64,31,86,432,99,137,421,138,97,"2,256"
2021년04월_여_20~29세,"5,871",568,82,109,36,58,60,97,51,145,163,131,46,120,534,134,227,574,124,167,"2,445"
2021년04월_여_30~39세,"6,983",768,53,49,16,49,48,64,41,110,107,95,35,92,425,133,175,439,96,122,"4,066"
2021년04월_여_40~49세,"7,400",729,62,82,44,83,60,104,49,118,167,115,52,116,603,168,274,658,114,162,"3,640"
2021년04월_여_50~59세,"7,866",969,193,201,111,145,161,269,138,366,295,269,149,280,628,214,392,698,244,216,"1,928"
2021년04월_여_60~69세,"8,030",960,265,287,157,236,258,383,204,504,413,342,188,432,426,224,446,568,309,323,"1,105"
2021년04월_여_70~79세,"6,439",615,278,262,148,244,312,377,226,427,418,287,198,450,299,169,412,393,298,246,380
2021년04월_여_80~89세,"4,717",405,224,258,156,204,251,324,213,372,267,235,161,345,195,115,221,218,210,174,169
2021년04월_여_90~99세,817,67,48,43,29,26,39,57,36,81,47,32,24,55,25,29,42,45,37,32,23
2021년04월_여_100세 이상,26,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,2,0,2,0
