카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년02월_계_총인구수,"130,735","4,863","12,951","2,977","31,146","2,087","2,084","1,521","9,213","3,126","4,202","9,285","10,787","11,736","10,666","14,091"
2020년02월_계_연령구간인구수,"130,735","4,863","12,951","2,977","31,146","2,087","2,084","1,521","9,213","3,126","4,202","9,285","10,787","11,736","10,666","14,091"
2020년02월_계_0~9세,"10,597",139,"1,382",75,"4,126",55,38,19,454,110,146,537,748,"1,037",560,"1,171"
2020년02월_계_10~19세,"13,022",220,"1,437",136,"3,898",105,69,41,860,204,244,686,970,"1,450","1,001","1,701"
2020년02월_계_20~29세,"11,709",352,"1,154",188,"2,707",124,88,76,959,232,328,757,"1,032","1,090","1,017","1,605"
2020년02월_계_30~39세,"15,191",353,"1,606",169,"5,115",130,100,82,809,211,317,993,"1,219","1,302","1,058","1,727"
2020년02월_계_40~49세,"21,773",588,"2,289",306,"6,384",283,199,126,"1,342",401,576,"1,398","1,598","2,067","1,581","2,635"
2020년02월_계_50~59세,"22,950",997,"2,132",532,"4,392",428,352,331,"1,797",626,864,"1,894","1,910","2,061","2,119","2,515"
2020년02월_계_60~69세,"19,407","1,030","1,531",730,"2,717",469,460,353,"1,590",653,900,"1,723","1,928","1,724","1,842","1,757"
2020년02월_계_70~79세,"10,899",719,918,527,"1,233",310,468,281,984,491,574,944,993,707,"1,031",719
2020년02월_계_80~89세,"4,574",406,432,279,502,164,280,191,370,173,230,317,336,265,396,233
2020년02월_계_90~99세,588,57,69,35,72,19,29,19,45,24,22,33,48,32,57,27
2020년02월_계_100세 이상,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
2020년02월_남_총인구수,"65,730","2,576","6,468","1,528","15,790","1,154","1,050",757,"4,577","1,540","2,079","4,751","5,214","5,762","5,455","7,029"
2020년02월_남_연령구간인구수,"65,730","2,576","6,468","1,528","15,790","1,154","1,050",757,"4,577","1,540","2,079","4,751","5,214","5,762","5,455","7,029"
2020년02월_남_0~9세,"5,333",66,671,39,"2,116",26,17,10,218,44,65,262,381,539,267,612
2020년02월_남_10~19세,"6,776",113,742,78,"2,016",68,39,20,415,97,121,362,505,744,532,924
2020년02월_남_20~29세,"6,385",217,604,112,"1,446",69,48,53,550,137,177,411,570,574,584,833
2020년02월_남_30~39세,"7,884",206,765,96,"2,499",87,60,53,446,114,189,569,648,641,600,911
2020년02월_남_40~49세,"11,814",386,"1,244",205,"3,402",184,129,74,736,244,355,836,814,"1,062",861,"1,282"
2020년02월_남_50~59세,"11,649",584,"1,099",296,"2,242",252,224,187,898,321,443,948,844,993,"1,101","1,217"
2020년02월_남_60~69세,"9,508",556,782,358,"1,365",243,243,193,769,325,417,812,849,850,917,829
2020년02월_남_70~79세,"4,875",321,399,251,550,163,202,116,414,199,231,444,471,296,462,356
2020년02월_남_80~89세,"1,395",120,146,88,143,60,81,48,126,55,73,103,121,55,114,62
2020년02월_남_90~99세,103,7,15,5,11,2,7,3,4,4,8,4,8,7,16,2
2020년02월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년02월_여_총인구수,"65,005","2,287","6,483","1,449","15,356",933,"1,034",764,"4,636","1,586","2,123","4,534","5,573","5,974","5,211","7,062"
2020년02월_여_연령구간인구수,"65,005","2,287","6,483","1,449","15,356",933,"1,034",764,"4,636","1,586","2,123","4,534","5,573","5,974","5,211","7,062"
2020년02월_여_0~9세,"5,264",73,711,36,"2,010",29,21,9,236,66,81,275,367,498,293,559
2020년02월_여_10~19세,"6,246",107,695,58,"1,882",37,30,21,445,107,123,324,465,706,469,777
2020년02월_여_20~29세,"5,324",135,550,76,"1,261",55,40,23,409,95,151,346,462,516,433,772
2020년02월_여_30~39세,"7,307",147,841,73,"2,616",43,40,29,363,97,128,424,571,661,458,816
2020년02월_여_40~49세,"9,959",202,"1,045",101,"2,982",99,70,52,606,157,221,562,784,"1,005",720,"1,353"
2020년02월_여_50~59세,"11,301",413,"1,033",236,"2,150",176,128,144,899,305,421,946,"1,066","1,068","1,018","1,298"
2020년02월_여_60~69세,"9,899",474,749,372,"1,352",226,217,160,821,328,483,911,"1,079",874,925,928
2020년02월_여_70~79세,"6,024",398,519,276,683,147,266,165,570,292,343,500,522,411,569,363
2020년02월_여_80~89세,"3,179",286,286,191,359,104,199,143,244,118,157,214,215,210,282,171
2020년02월_여_90~99세,485,50,54,30,61,17,22,16,41,20,14,29,40,25,41,25
2020년02월_여_100세 이상,17,2,0,0,0,0,1,2,2,1,1,3,2,0,3,0
