,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년06월_계_총인구수,"198,461","31,612","38,674","22,725","16,389","22,507","18,732","25,700","22,122"
2020년06월_계_연령구간인구수,"198,461","31,612","38,674","22,725","16,389","22,507","18,732","25,700","22,122"
2020년06월_계_0~9세,"15,746","4,726","2,924","1,721",782,"1,685",811,"1,409","1,688"
2020년06월_계_10~19세,"18,570","2,223","4,193","2,308","1,122","2,838","1,375","2,169","2,342"
2020년06월_계_20~29세,"27,508","3,407","5,668","3,297","2,241","3,083","2,932","3,842","3,038"
2020년06월_계_30~39세,"26,980","6,370","4,769","2,860","2,058","2,600","2,218","3,242","2,863"
2020년06월_계_40~49세,"33,119","5,536","6,553","3,869","2,486","4,000","2,737","3,799","4,139"
2020년06월_계_50~59세,"35,892","4,254","7,320","4,192","3,278","3,936","3,900","5,056","3,956"
2020년06월_계_60~69세,"23,580","3,186","4,109","2,486","2,486","2,574","2,802","3,633","2,304"
2020년06월_계_70~79세,"11,590","1,425","2,044","1,342","1,297","1,196","1,359","1,723","1,204"
2020년06월_계_80~89세,"4,723",408,955,568,536,525,511,712,508
2020년06월_계_90~99세,675,73,133,75,78,65,78,101,72
2020년06월_계_100세 이상,78,4,6,7,25,5,9,14,8
2020년06월_남_총인구수,"98,503","15,704","19,104","11,179","8,306","10,920","9,311","12,837","11,142"
2020년06월_남_연령구간인구수,"98,503","15,704","19,104","11,179","8,306","10,920","9,311","12,837","11,142"
2020년06월_남_0~9세,"8,150","2,469","1,556",878,408,843,430,706,860
2020년06월_남_10~19세,"9,598","1,095","2,222","1,201",539,"1,447",714,"1,153","1,227"
2020년06월_남_20~29세,"14,076","1,693","2,913","1,659","1,158","1,578","1,457","2,011","1,607"
2020년06월_남_30~39세,"13,635","3,104","2,389","1,418","1,128","1,249","1,198","1,710","1,439"
2020년06월_남_40~49세,"16,462","2,933","3,101","1,885","1,335","1,850","1,368","1,956","2,034"
2020년06월_남_50~59세,"17,649","2,021","3,562","2,058","1,655","1,913","1,950","2,467","2,023"
2020년06월_남_60~69세,"11,824","1,544","2,094","1,229","1,255","1,275","1,419","1,807","1,201"
2020년06월_남_70~79세,"5,174",705,863,608,594,544,573,755,532
2020년06월_남_80~89세,"1,738",124,366,212,200,205,181,251,199
2020년06월_남_90~99세,173,15,36,28,23,16,19,17,19
2020년06월_남_100세 이상,24,1,2,3,11,0,2,4,1
2020년06월_여_총인구수,"99,958","15,908","19,570","11,546","8,083","11,587","9,421","12,863","10,980"
2020년06월_여_연령구간인구수,"99,958","15,908","19,570","11,546","8,083","11,587","9,421","12,863","10,980"
2020년06월_여_0~9세,"7,596","2,257","1,368",843,374,842,381,703,828
2020년06월_여_10~19세,"8,972","1,128","1,971","1,107",583,"1,391",661,"1,016","1,115"
2020년06월_여_20~29세,"13,432","1,714","2,755","1,638","1,083","1,505","1,475","1,831","1,431"
2020년06월_여_30~39세,"13,345","3,266","2,380","1,442",930,"1,351","1,020","1,532","1,424"
2020년06월_여_40~49세,"16,657","2,603","3,452","1,984","1,151","2,150","1,369","1,843","2,105"
2020년06월_여_50~59세,"18,243","2,233","3,758","2,134","1,623","2,023","1,950","2,589","1,933"
2020년06월_여_60~69세,"11,756","1,642","2,015","1,257","1,231","1,299","1,383","1,826","1,103"
2020년06월_여_70~79세,"6,416",720,"1,181",734,703,652,786,968,672
2020년06월_여_80~89세,"2,985",284,589,356,336,320,330,461,309
2020년06월_여_90~99세,502,58,97,47,55,49,59,84,53
2020년06월_여_100세 이상,54,3,4,4,14,5,7,10,7
