카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년10월_계_총인구수,"459,418","31,465","31,258","36,266","35,296","20,693","44,060","47,837","37,518","33,939","46,450","27,154","26,119","19,165","22,198"
2020년10월_계_연령구간인구수,"459,418","31,465","31,258","36,266","35,296","20,693","44,060","47,837","37,518","33,939","46,450","27,154","26,119","19,165","22,198"
2020년10월_계_0~9세,"34,472","1,128","1,827","2,337","2,505","1,555","2,841","3,508","2,958","2,902","6,761","1,934","1,520","1,105","1,591"
2020년10월_계_10~19세,"42,593","1,609","2,160","2,815","3,463","2,081","4,107","5,216","3,321","4,346","5,116","2,545","2,027","1,635","2,152"
2020년10월_계_20~29세,"64,160","6,205","5,178","4,748","4,578","2,410","6,197","6,926","5,293","4,578","5,166","3,751","3,588","2,507","3,035"
2020년10월_계_30~39세,"59,855","4,694","4,614","4,655","4,111","2,355","5,238","5,381","5,175","3,798","8,449","3,192","3,318","2,224","2,651"
2020년10월_계_40~49세,"74,664","4,389","4,860","5,855","5,670","3,463","6,883","7,764","5,953","6,442","8,907","4,249","3,842","2,809","3,578"
2020년10월_계_50~59세,"80,168","5,519","5,547","5,846","5,988","3,439","8,565","8,891","6,635","5,922","6,013","5,114","5,101","3,621","3,967"
2020년10월_계_60~69세,"56,373","4,417","3,932","5,141","4,484","2,799","5,785","5,778","4,651","2,973","3,596","3,436","3,680","2,873","2,828"
2020년10월_계_70~79세,"31,156","2,272","2,130","3,430","3,010","1,707","2,976","2,838","2,194","1,915","1,671","1,870","2,071","1,532","1,540"
2020년10월_계_80~89세,"13,892","1,031",886,"1,277","1,324",764,"1,290","1,321","1,173",918,682,925,849,719,733
2020년10월_계_90~99세,"1,861",140,113,143,152,108,167,205,153,141,87,118,109,105,120
2020년10월_계_100세 이상,224,61,11,19,11,12,11,9,12,4,2,20,14,35,3
2020년10월_남_총인구수,"226,232","16,066","15,494","17,696","17,115","9,869","21,698","23,221","18,639","16,778","22,597","13,266","13,037","9,678","11,078"
2020년10월_남_연령구간인구수,"226,232","16,066","15,494","17,696","17,115","9,869","21,698","23,221","18,639","16,778","22,597","13,266","13,037","9,678","11,078"
2020년10월_남_0~9세,"17,801",600,965,"1,220","1,299",769,"1,520","1,824","1,490","1,495","3,451",958,770,583,857
2020년10월_남_10~19세,"21,941",809,"1,162","1,427","1,745","1,061","2,094","2,721","1,736","2,214","2,559","1,338","1,051",864,"1,160"
2020년10월_남_20~29세,"32,662","2,936","2,522","2,334","2,325","1,211","3,231","3,530","2,756","2,427","2,581","1,980","1,873","1,352","1,604"
