,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년06월_계_총인구수,"479,524","37,680","40,123","28,764","23,720","29,334","33,182","27,368","28,210","27,398","25,435","47,308","27,907","21,250","15,678","8,657","57,510"
2020년06월_계_연령구간인구수,"479,524","37,680","40,123","28,764","23,720","29,334","33,182","27,368","28,210","27,398","25,435","47,308","27,907","21,250","15,678","8,657","57,510"
2020년06월_계_0~9세,"30,772","2,601","2,518","1,232","1,058","1,715","1,953","1,251","2,037","3,245","1,047","2,962","1,704","1,184",785,454,"5,026"
2020년06월_계_10~19세,"39,501","2,440","2,772","1,916","1,725","2,527","2,918","1,758","2,548","2,296","1,698","3,671","2,177","1,762","1,279",556,"7,458"
2020년06월_계_20~29세,"66,477","5,066","5,462","4,340","3,802","4,422","4,474","4,740","3,711","2,767","3,631","6,604","3,996","3,007","2,107","1,179","7,169"
2020년06월_계_30~39세,"69,113","6,183","5,583","3,969","3,204","4,093","4,241","4,268","4,500","5,134","3,438","6,989","4,195","2,889","2,084","1,173","7,170"
2020년06월_계_40~49세,"77,391","5,856","6,235","4,108","3,502","4,804","5,267","4,209","4,864","5,134","3,701","7,742","4,292","3,292","2,316","1,132","10,937"
2020년06월_계_50~59세,"77,074","5,962","6,781","5,003","4,053","4,855","5,708","4,191","4,220","3,560","4,313","7,691","4,555","3,570","2,665","1,593","8,354"
2020년06월_계_60~69세,"62,685","4,979","5,482","4,281","3,425","3,640","4,563","3,502","3,295","2,809","3,727","6,179","3,783","3,094","2,394","1,408","6,124"
2020년06월_계_70~79세,"38,790","3,178","3,531","2,749","2,141","2,266","2,769","2,364","2,083","1,685","2,630","3,828","2,254","1,674","1,442",779,"3,417"
2020년06월_계_80~89세,"15,235","1,215","1,532","1,024",691,878,"1,107",953,820,656,"1,100","1,442",840,675,525,335,"1,442"
2020년06월_계_90~99세,"2,072",177,194,130,105,115,162,110,122,92,131,175,101,91,72,43,252
2020년06월_계_100세 이상,414,23,33,12,14,19,20,22,10,20,19,25,10,12,9,5,161
2020년06월_남_총인구수,"230,640","18,017","19,015","14,010","11,559","13,961","16,522","12,808","13,443","13,333","12,448","22,427","13,511","10,606","7,682","4,320","26,978"
2020년06월_남_연령구간인구수,"230,640","18,017","19,015","14,010","11,559","13,961","16,522","12,808","13,443","13,333","12,448","22,427","13,511","10,606","7,682","4,320","26,978"
2020년06월_남_0~9세,"15,758","1,308","1,289",617,563,876,990,646,"1,066","1,685",549,"1,501",823,610,390,240,"2,605"
2020년06월_남_10~19세,"20,129","1,224","1,445",978,878,"1,264","1,390",832,"1,341","1,185",874,"1,835","1,138",977,676,305,"3,787"
2020년06월_남_20~29세,"32,183","2,407","2,696","2,188","1,930","2,131","2,227","2,094","1,689","1,384","1,869","3,178","2,059","1,558","1,055",619,"3,099"
2020년06월_남_30~39세,"34,375","3,104","2,735","2,112","1,676","2,045","2,160","2,145","2,240","2,455","1,804","3,399","2,140","1,523","1,069",626,"3,142"
2020년06월_남_40~49세,"38,262","2,950","3,020","2,119","1,762","2,309","2,641","2,068","2,379","2,622","1,903","3,837","2,111","1,671","1,148",582,"5,140"
