카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년04월_계_총인구수,"504,103","231,264","7,530","30,478","55,437","3,463","9,883","4,095","1,901","24,905","17,207","12,453","4,711","2,885","30,679","25,637","272,839","40,839","2,881","4,783","2,523","4,980","2,115",598,"1,310","15,695","17,089","19,864","22,142","32,376","23,074","73,030","9,540"
2021년04월_계_연령구간인구수,"504,103","231,264","7,530","30,478","55,437","3,463","9,883","4,095","1,901","24,905","17,207","12,453","4,711","2,885","30,679","25,637","272,839","40,839","2,881","4,783","2,523","4,980","2,115",598,"1,310","15,695","17,089","19,864","22,142","32,376","23,074","73,030","9,540"
2021년04월_계_0~9세,"38,829","17,106",138,"2,292","5,551",61,538,64,28,"1,149",615,415,194,149,"3,666","2,246","21,723","3,835",65,106,37,80,40,6,16,566,"1,187",763,"1,427","3,044","1,603","8,057",891
2021년04월_계_10~19세,"46,513","21,163",242,"3,646","5,870",130,771,122,71,"1,488",768,700,264,195,"3,929","2,967","25,350","3,671",79,193,89,194,57,16,40,805,"1,832",913,"1,997","3,074","2,394","8,857","1,139"
2021년04월_계_20~29세,"56,854","26,668",441,"3,562","6,657",270,976,197,98,"3,269","1,660","1,014",635,637,"3,603","3,649","30,186","4,138",172,305,152,287,61,27,53,"1,622","2,105","2,346","2,336","3,788","2,899","8,997",898
2021년04월_계_30~39세,"58,849","26,601",447,"3,006","8,062",249,968,185,86,"2,929","1,592","1,019",485,344,"3,802","3,427","32,248","5,005",129,254,108,231,67,13,61,"1,741","1,844","2,350","2,162","4,483","2,474","10,135","1,191"
2021년04월_계_40~49세,"77,102","35,699",733,"5,130","10,287",305,"1,254",288,184,"3,326","2,187","1,433",537,357,"5,305","4,373","41,403","6,294",212,452,194,368,120,39,95,"1,948","2,642","2,504","3,256","4,874","3,304","13,428","1,673"
2021년04월_계_50~59세,"89,531","41,115","1,411","5,973","8,586",683,"1,811",704,324,"4,465","3,293","2,302",799,493,"5,302","4,969","48,416","7,084",469,895,457,921,388,108,205,"2,722","3,428","3,446","4,090","5,964","4,656","12,136","1,447"
2021년04월_계_60~69세,"80,732","37,498","1,987","4,377","6,520",933,"1,850",995,461,"5,172","4,177","3,177",975,420,"3,808","2,646","43,234","6,051",790,"1,139",640,"1,272",611,205,373,"3,339","2,628","4,257","4,162","4,656","3,727","7,955","1,429"
2021년04월_계_70~79세,"37,543","17,489","1,322","1,708","2,590",540,"1,114",822,385,"2,438","2,212","1,710",597,205,930,916,"20,054","2,965",501,847,475,912,420,115,260,"2,047","1,017","2,378","1,903","1,694","1,432","2,442",646
2021년04월_계_80~89세,"15,860","6,975",719,704,"1,173",247,523,622,229,582,638,596,199,77,273,393,"8,885","1,551",403,511,319,615,311,55,175,791,346,789,713,699,521,882,204
2021년04월_계_90~99세,"2,216",909,88,76,133,43,75,92,34,83,61,86,24,8,58,48,"1,307",242,60,80,52,99,39,14,29,109,57,115,93,98,62,137,21
2021년04월_계_100세 이상,74,41,2,4,8,2,3,4,1,4,4,1,2,0,3,3,33,3,1,1,0,1,1,0,3,5,3,3,3,2,2,4,1
2021년04월_남_총인구수,"255,122","119,459","3,814","15,544","29,496","1,791","4,989","2,010",939,"12,911","8,837","6,244","2,562","1,704","15,605","13,013","135,663","20,502","1,440","2,346","1,228","2,419","1,053",303,637,"7,682","8,457","9,818","10,840","15,828","11,449","36,949","4,712"
2021년04월_남_연령구간인구수,"255,122","119,459","3,814","15,544","29,496","1,791","4,989","2,010",939,"12,911","8,837","6,244","2,562","1,704","15,605","13,013","135,663","20,502","1,440","2,346","1,228","2,419","1,053",303,637,"7,682","8,457","9,818","10,840","15,828","11,449","36,949","4,712"
2021년04월_남_0~9세,"20,124","8,855",72,"1,201","2,844",27,282,40,14,605,328,230,99,92,"1,849","1,172","11,269","2,026",33,56,13,37,19,3,7,276,600,396,735,"1,613",831,"4,169",455
2021년04월_남_10~19세,"24,436","11,146",138,"1,891","3,120",64,389,48,44,789,397,371,133,98,"2,093","1,571","13,290","1,915",49,106,45,86,31,8,26,408,985,477,"1,067","1,621","1,242","4,635",589
