카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년01월_계_총인구수,"32,899","14,940","1,950","1,527","2,258","1,705","2,383","1,961",779,"1,828","1,748","1,820"
2020년01월_계_연령구간인구수,"32,899","14,940","1,950","1,527","2,258","1,705","2,383","1,961",779,"1,828","1,748","1,820"
2020년01월_계_0~9세,"1,554","1,015",39,92,51,28,72,71,30,62,44,50
2020년01월_계_10~19세,"2,225","1,379",94,79,96,66,166,90,23,70,78,84
2020년01월_계_20~29세,"2,518","1,458",129,124,110,83,143,112,33,107,108,111
2020년01월_계_30~39세,"2,370","1,364",92,157,98,78,180,111,28,70,98,94
2020년01월_계_40~49세,"3,500","1,957",187,177,178,127,212,177,62,137,136,150
2020년01월_계_50~59세,"6,059","2,706",404,250,414,274,430,364,144,348,350,375
2020년01월_계_60~69세,"6,506","2,409",466,260,547,404,495,463,234,433,380,415
2020년01월_계_70~79세,"4,613","1,548",345,215,432,353,384,306,133,311,299,287
2020년01월_계_80~89세,"3,061",961,151,144,290,260,281,220,82,251,208,213
2020년01월_계_90~99세,470,134,40,28,41,30,18,46,10,38,46,39
2020년01월_계_100세 이상,23,9,3,1,1,2,2,1,0,1,1,2
2020년01월_남_총인구수,"16,535","7,449",999,788,"1,098",828,"1,209",980,409,914,895,966
2020년01월_남_연령구간인구수,"16,535","7,449",999,788,"1,098",828,"1,209",980,409,914,895,966
2020년01월_남_0~9세,805,520,20,45,24,19,35,33,20,30,26,33
2020년01월_남_10~19세,"1,183",741,46,31,52,36,89,47,12,38,44,47
2020년01월_남_20~29세,"1,446",818,78,80,62,49,94,62,12,60,59,72
2020년01월_남_30~39세,"1,314",691,61,103,58,47,119,64,14,39,61,57
2020년01월_남_40~49세,"1,957","1,030",113,106,109,77,130,102,37,93,76,84
2020년01월_남_50~59세,"3,329","1,436",216,144,228,158,230,206,88,202,214,207
2020년01월_남_60~69세,"3,304","1,173",249,126,269,187,255,249,126,223,206,241
2020년01월_남_70~79세,"2,039",681,145,94,192,154,155,141,71,140,123,143
2020년01월_남_80~89세,"1,041",320,62,52,94,89,99,72,29,80,73,71
2020년01월_남_90~99세,116,39,8,7,10,12,3,4,0,9,13,11
2020년01월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"16,364","7,491",951,739,"1,160",877,"1,174",981,370,914,853,854
2020년01월_여_연령구간인구수,"16,364","7,491",951,739,"1,160",877,"1,174",981,370,914,853,854
2020년01월_여_0~9세,749,495,19,47,27,9,37,38,10,32,18,17
2020년01월_여_10~19세,"1,042",638,48,48,44,30,77,43,11,32,34,37
2020년01월_여_20~29세,"1,072",640,51,44,48,34,49,50,21,47,49,39
2020년01월_여_30~39세,"1,056",673,31,54,40,31,61,47,14,31,37,37
2020년01월_여_40~49세,"1,543",927,74,71,69,50,82,75,25,44,60,66
2020년01월_여_50~59세,"2,730","1,270",188,106,186,116,200,158,56,146,136,168
2020년01월_여_60~69세,"3,202","1,236",217,134,278,217,240,214,108,210,174,174
2020년01월_여_70~79세,"2,574",867,200,121,240,199,229,165,62,171,176,144
2020년01월_여_80~89세,"2,020",641,89,92,196,171,182,148,53,171,135,142
2020년01월_여_90~99세,354,95,32,21,31,18,15,42,10,29,33,28
2020년01월_여_100세 이상,22,9,2,1,1,2,2,1,0,1,1,2
