,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년03월_계_총인구수,"104,557","10,720","2,450","1,454","1,998","2,248","3,112","2,840","2,063","1,945","3,177","8,122","6,259","4,199","3,653","6,730","8,387","8,178","19,039","7,983"
2020년03월_계_연령구간인구수,"104,557","10,720","2,450","1,454","1,998","2,248","3,112","2,840","2,063","1,945","3,177","8,122","6,259","4,199","3,653","6,730","8,387","8,178","19,039","7,983"
2020년03월_계_0~9세,"6,468",496,60,27,66,62,83,80,45,38,57,533,365,173,189,499,473,500,"2,166",556
2020년03월_계_10~19세,"9,212",738,108,62,93,121,135,144,89,74,138,"1,019",640,315,274,888,640,754,"2,125",855
2020년03월_계_20~29세,"9,975",953,224,77,160,158,239,186,142,124,145,812,612,332,322,711,992,995,"1,975",816
2020년03월_계_30~39세,"8,979",758,127,57,103,122,171,136,98,85,150,630,479,324,278,579,723,691,"2,668",800
2020년03월_계_40~49세,"14,220","1,286",201,103,195,204,259,286,148,162,227,"1,342",892,501,441,"1,158","1,084","1,101","3,357","1,273"
2020년03월_계_50~59세,"18,348","1,933",498,265,334,381,542,537,396,361,631,"1,376","1,118",733,655,"1,199","1,632","1,623","2,739","1,395"
2020년03월_계_60~69세,"17,810","2,215",538,331,434,491,712,707,530,451,817,"1,133","1,021",861,718,838,"1,422","1,310","2,108","1,173"
2020년03월_계_70~79세,"11,865","1,428",364,288,324,394,534,456,354,339,588,802,719,595,515,558,926,787,"1,224",670
2020년03월_계_80~89세,"6,667",774,292,209,241,261,381,260,216,275,374,395,369,323,232,267,441,361,602,394
2020년03월_계_90~99세,956,128,36,34,45,51,55,41,44,35,46,78,41,38,29,31,50,54,73,47
2020년03월_계_100세 이상,57,11,2,1,3,3,1,7,1,1,4,2,3,4,0,2,4,2,2,4
2020년03월_남_총인구수,"51,833","5,262","1,261",736,"1,015","1,142","1,576","1,454","1,036",966,"1,580","4,029","2,990","2,029","1,752","3,369","4,125","4,099","9,555","3,857"
2020년03월_남_연령구간인구수,"51,833","5,262","1,261",736,"1,015","1,142","1,576","1,454","1,036",966,"1,580","4,029","2,990","2,029","1,752","3,369","4,125","4,099","9,555","3,857"
2020년03월_남_0~9세,"3,346",264,30,16,36,31,48,41,27,19,32,273,184,98,105,254,215,257,"1,124",292
2020년03월_남_10~19세,"4,815",376,47,32,52,66,70,75,46,42,76,543,326,143,147,473,355,406,"1,106",434
2020년03월_남_20~29세,"5,845",592,147,49,97,102,151,116,94,81,74,480,350,196,183,438,559,589,"1,101",446
2020년03월_남_30~39세,"4,794",395,78,30,64,78,108,77,59,58,90,327,257,185,143,287,384,370,"1,383",421
2020년03월_남_40~49세,"7,362",688,113,74,122,117,162,182,82,95,141,644,431,255,222,562,554,540,"1,746",632
2020년03월_남_50~59세,"9,313",936,282,152,178,203,282,285,208,192,343,717,567,396,319,618,780,816,"1,381",658
2020년03월_남_60~69세,"8,546","1,095",279,163,231,259,367,354,272,238,407,544,459,387,315,374,649,617,976,560
2020년03월_남_70~79세,"5,276",622,173,140,152,177,248,227,161,143,278,348,281,247,228,261,437,361,511,281
2020년03월_남_80~89세,"2,317",263,102,71,75,97,134,84,77,89,132,144,126,109,85,92,177,127,209,124
2020년03월_남_90~99세,205,27,9,9,8,12,6,11,9,8,6,9,8,12,5,10,14,16,17,9
2020년03월_남_100세 이상,14,4,1,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년03월_여_총인구수,"52,724","5,458","1,189",718,983,"1,106","1,536","1,386","1,027",979,"1,597","4,093","3,269","2,170","1,901","3,361","4,262","4,079","9,484","4,126"
2020년03월_여_연령구간인구수,"52,724","5,458","1,189",718,983,"1,106","1,536","1,386","1,027",979,"1,597","4,093","3,269","2,170","1,901","3,361","4,262","4,079","9,484","4,126"
2020년03월_여_0~9세,"3,122",232,30,11,30,31,35,39,18,19,25,260,181,75,84,245,258,243,"1,042",264
2020년03월_여_10~19세,"4,397",362,61,30,41,55,65,69,43,32,62,476,314,172,127,415,285,348,"1,019",421
2020년03월_여_20~29세,"4,130",361,77,28,63,56,88,70,48,43,71,332,262,136,139,273,433,406,874,370
2020년03월_여_30~39세,"4,185",363,49,27,39,44,63,59,39,27,60,303,222,139,135,292,339,321,"1,285",379
2020년03월_여_40~49세,"6,858",598,88,29,73,87,97,104,66,67,86,698,461,246,219,596,530,561,"1,611",641
2020년03월_여_50~59세,"9,035",997,216,113,156,178,260,252,188,169,288,659,551,337,336,581,852,807,"1,358",737
2020년03월_여_60~69세,"9,264","1,120",259,168,203,232,345,353,258,213,410,589,562,474,403,464,773,693,"1,132",613
2020년03월_여_70~79세,"6,589",806,191,148,172,217,286,229,193,196,310,454,438,348,287,297,489,426,713,389
2020년03월_여_80~89세,"4,350",511,190,138,166,164,247,176,139,186,242,251,243,214,147,175,264,234,393,270
2020년03월_여_90~99세,751,101,27,25,37,39,49,30,35,27,40,69,33,26,24,21,36,38,56,38
2020년03월_여_100세 이상,43,7,1,1,3,3,1,5,0,0,3,2,2,3,0,2,3,2,1,4
