카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년11월_계_총인구수,"424,947","16,395","15,989","16,475","19,016","23,248","11,513","20,520","18,837","12,194","15,241","24,436","11,194","11,523","16,895","12,897","14,255","22,631","19,200","11,694","16,780","31,645","27,952","34,417"
2020년11월_계_연령구간인구수,"424,947","16,395","15,989","16,475","19,016","23,248","11,513","20,520","18,837","12,194","15,241","24,436","11,194","11,523","16,895","12,897","14,255","22,631","19,200","11,694","16,780","31,645","27,952","34,417"
2020년11월_계_0~9세,"29,716","1,326","1,093","1,950","1,504","1,833",526,"1,370","1,306","1,107",867,"2,072",546,751,"1,048","1,013",922,"1,029","1,102",357,"1,231","2,233","1,995","2,535"
2020년11월_계_10~19세,"51,693","2,135","1,842","2,052","4,275","2,553","1,180","4,040","2,244","1,748","1,456","4,249",872,756,"1,324","1,001","1,152","1,916","1,875",698,"1,897","4,788","3,336","4,304"
2020년11월_계_20~29세,"55,634","2,069","2,351","2,106","1,896","2,974","1,906","2,491","2,231","1,264","2,145","2,724","1,768","1,483","2,110","1,236","2,232","3,303","2,559","1,374","2,074","4,472","3,907","4,959"
2020년11월_계_30~39세,"42,953","1,572","2,072","2,120","1,298","2,376","1,210","1,443","1,670","1,161","1,500","2,012","1,381","1,556","2,062","1,533","1,860","2,311","1,945",952,"1,726","2,795","2,938","3,460"
2020년11월_계_40~49세,"73,100","2,937","2,711","3,248","4,699","3,707","1,720","4,593","3,216","2,431","2,243","4,926","1,795","1,874","2,495","1,960","2,317","3,190","2,847","1,329","2,783","5,704","4,595","5,780"
2020년11월_계_50~59세,"75,289","2,904","2,659","2,591","2,747","4,100","2,108","3,413","3,226","1,827","2,922","4,216","1,939","1,977","2,902","2,030","2,751","4,235","3,613","2,214","3,070","5,904","5,146","6,795"
2020년11월_계_60~69세,"51,992","1,751","1,833","1,293","1,348","2,992","1,525","1,666","2,285","1,410","2,146","2,388","1,497","1,641","2,632","2,151","1,814","3,463","2,928","2,394","2,488","3,328","3,416","3,603"
2020년11월_계_70~79세,"28,749","1,099",953,727,836,"1,744",855,"1,019","1,674",851,"1,232","1,180",950,964,"1,519","1,328",817,"2,081","1,434","1,513","1,007","1,516","1,650","1,800"
2020년11월_계_80~89세,"13,888",538,427,326,363,860,439,433,868,358,637,573,393,455,685,552,337,959,798,757,434,792,848,"1,056"
2020년11월_계_90~99세,"1,833",58,46,54,48,106,42,50,112,32,86,90,51,63,113,86,50,138,97,102,67,108,115,119
2020년11월_계_100세 이상,100,6,2,8,2,3,2,2,5,5,7,6,2,3,5,7,3,6,2,4,3,5,6,6
2020년11월_남_총인구수,"205,632","7,821","7,754","7,902","9,297","11,337","5,762","10,774","8,714","5,924","7,124","11,733","5,370","5,679","8,174","6,222","6,931","10,774","9,066","5,321","8,119","15,346","13,885","16,603"
2020년11월_남_연령구간인구수,"205,632","7,821","7,754","7,902","9,297","11,337","5,762","10,774","8,714","5,924","7,124","11,733","5,370","5,679","8,174","6,222","6,931","10,774","9,066","5,321","8,119","15,346","13,885","16,603"
2020년11월_남_0~9세,"15,284",674,549,985,795,946,269,796,633,588,433,"1,051",270,395,562,504,457,541,585,175,613,"1,142",996,"1,325"
2020년11월_남_10~19세,"27,292","1,026",971,997,"2,243","1,340",664,"2,644","1,048",875,709,"2,178",431,391,680,555,581,"1,095",942,357,"1,009","2,451","1,834","2,271"
2020년11월_남_20~29세,"29,885","1,085","1,185","1,077","1,036","1,632","1,074","1,475","1,178",681,"1,109","1,473",871,758,"1,084",697,"1,193","1,776","1,367",730,"1,129","2,416","2,208","2,651"
2020년11월_남_30~39세,"20,890",722,991,939,577,"1,141",656,635,811,536,729,898,698,799,"1,062",763,913,"1,202",947,497,859,"1,351","1,475","1,689"
2020년11월_남_40~49세,"33,288","1,330","1,246","1,524","2,079","1,710",783,"2,003","1,457","1,153",968,"2,175",869,948,"1,210",961,"1,098","1,446","1,292",649,"1,272","2,492","2,096","2,527"
2020년11월_남_50~59세,"36,467","1,435","1,296","1,308","1,455","1,990","1,041","1,824","1,548",937,"1,362","2,097",957,995,"1,393",947,"1,326","1,943","1,624",991,"1,425","2,834","2,502","3,237"
2020년11월_남_60~69세,"24,502",826,886,616,617,"1,415",720,787,996,647,996,"1,122",680,776,"1,243",938,855,"1,563","1,361","1,103","1,174","1,673","1,686","1,822"
2020년11월_남_70~79세,"12,517",476,456,313,347,788,394,429,679,360,540,517,416,420,685,637,377,864,629,594,491,668,735,702
