카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년07월_계_총인구수,"3,402,776","41,633","107,934","89,721","114,873","357,695","272,554","270,125","287,736","403,878","316,705","235,155","131,979","209,345","176,742","215,332","171,369"
2020년07월_계_연령구간인구수,"3,402,776","41,633","107,934","89,721","114,873","357,695","272,554","270,125","287,736","403,878","316,705","235,155","131,979","209,345","176,742","215,332","171,369"
2020년07월_계_0~9세,"237,611","1,398","5,641","4,219","5,455","21,668","20,038","18,620","19,735","29,023","21,035","13,502","19,392","15,050","10,458","13,080","19,297"
2020년07월_계_10~19세,"275,948","2,114","7,341","5,255","7,658","25,370","25,197","23,550","24,083","38,726","26,165","18,230","10,949","16,599","11,997","15,588","17,126"
2020년07월_계_20~29세,"433,694","5,596","13,549","10,702","12,172","51,999","33,343","35,369","38,535","49,558","40,741","33,716","11,868","26,292","24,273","29,372","16,609"
2020년07월_계_30~39세,"426,595","4,516","11,427","10,604","11,102","47,642","33,917","31,117","34,742","47,608","38,596","26,001","26,310","27,687","24,108","26,059","25,159"
2020년07월_계_40~49세,"514,314","5,546","14,685","12,168","15,534","51,569","43,453","42,521","41,301","66,552","47,027","32,727","22,183","31,963","25,589","30,046","31,450"
2020년07월_계_50~59세,"574,793","7,123","18,168","15,031","19,968","58,857","44,955","43,293","55,079","70,818","55,982","41,408","16,473","34,342","27,764","42,050","23,482"
2020년07월_계_60~69세,"519,969","7,784","18,719","15,882","21,854","54,617","40,305","40,405","44,163","56,586","50,195","38,109","15,094","31,861","28,035","35,896","20,464"
2020년07월_계_70~79세,"290,977","5,045","12,291","10,701","14,552","31,671","22,120","24,812","21,064","30,602","26,034","21,589","6,631","17,962","17,022","16,825","12,056"
2020년07월_계_80~89세,"112,311","2,068","5,254","4,486","5,716","12,577","8,011","9,166","7,929","12,576","9,460","8,544","2,600","6,685","6,560","5,701","4,978"
2020년07월_계_90~99세,"14,715",362,738,574,731,"1,499","1,079","1,136","1,005","1,670","1,305","1,133",435,823,873,647,705
2020년07월_계_100세 이상,"1,849",81,121,99,131,226,136,136,100,159,165,196,44,81,63,68,43
2020년07월_남_총인구수,"1,667,613","20,380","52,313","44,016","56,583","172,953","132,823","132,209","142,426","194,573","157,896","114,941","68,208","100,984","83,573","108,906","84,829"
2020년07월_남_연령구간인구수,"1,667,613","20,380","52,313","44,016","56,583","172,953","132,823","132,209","142,426","194,573","157,896","114,941","68,208","100,984","83,573","108,906","84,829"
2020년07월_남_0~9세,"121,904",735,"2,928","2,242","2,754","11,005","10,363","9,482","10,157","15,062","10,770","6,959","9,961","7,674","5,375","6,647","9,790"
2020년07월_남_10~19세,"142,681","1,068","3,692","2,718","3,967","12,953","13,188","12,153","12,538","19,975","13,639","9,337","5,577","8,561","6,192","8,168","8,955"
2020년07월_남_20~29세,"226,299","2,799","6,710","5,418","6,628","25,613","17,501","18,770","20,704","25,931","21,911","18,234","6,360","13,347","11,837","15,752","8,784"
2020년07월_남_30~39세,"218,081","2,438","5,909","5,705","5,970","24,284","17,032","15,932","18,012","23,190","20,380","13,460","13,438","13,897","11,996","13,996","12,442"
2020년07월_남_40~49세,"258,735","3,008","7,605","6,498","8,156","26,023","21,154","21,308","20,418","31,610","24,067","16,292","12,422","15,648","12,581","15,726","16,219"
2020년07월_남_50~59세,"278,739","3,570","9,282","7,628","10,138","28,477","21,333","21,058","26,357","33,705","27,354","19,639","8,475","16,225","12,693","20,967","11,838"
2020년07월_남_60~69세,"246,463","3,672","8,732","7,550","10,453","25,749","18,771","18,641","21,761","26,755","24,290","17,807","7,694","14,698","12,512","17,863","9,515"
2020년07월_남_70~79세,"130,920","2,202","5,350","4,527","6,320","13,903","10,193","11,104","9,619","13,487","11,931","9,829","3,317","8,182","7,679","7,805","5,472"
2020년07월_남_80~89세,"40,176",770,"1,897","1,548","2,021","4,550","3,023","3,491","2,645","4,447","3,257","3,069",876,"2,542","2,487","1,871","1,682"
2020년07월_남_90~99세,"3,208",100,174,153,143,349,243,246,194,368,261,275,76,191,208,102,125
2020년07월_남_100세 이상,407,18,34,29,33,47,22,24,21,43,36,40,12,19,13,9,7
2020년07월_여_총인구수,"1,735,163","21,253","55,621","45,705","58,290","184,742","139,731","137,916","145,310","209,305","158,809","120,214","63,771","108,361","93,169","106,426","86,540"
2020년07월_여_연령구간인구수,"1,735,163","21,253","55,621","45,705","58,290","184,742","139,731","137,916","145,310","209,305","158,809","120,214","63,771","108,361","93,169","106,426","86,540"
2020년07월_여_0~9세,"115,707",663,"2,713","1,977","2,701","10,663","9,675","9,138","9,578","13,961","10,265","6,543","9,431","7,376","5,083","6,433","9,507"
2020년07월_여_10~19세,"133,267","1,046","3,649","2,537","3,691","12,417","12,009","11,397","11,545","18,751","12,526","8,893","5,372","8,038","5,805","7,420","8,171"
2020년07월_여_20~29세,"207,395","2,797","6,839","5,284","5,544","26,386","15,842","16,599","17,831","23,627","18,830","15,482","5,508","12,945","12,436","13,620","7,825"
2020년07월_여_30~39세,"208,514","2,078","5,518","4,899","5,132","23,358","16,885","15,185","16,730","24,418","18,216","12,541","12,872","13,790","12,112","12,063","12,717"
2020년07월_여_40~49세,"255,579","2,538","7,080","5,670","7,378","25,546","22,299","21,213","20,883","34,942","22,960","16,435","9,761","16,315","13,008","14,320","15,231"
2020년07월_여_50~59세,"296,054","3,553","8,886","7,403","9,830","30,380","23,622","22,235","28,722","37,113","28,628","21,769","7,998","18,117","15,071","21,083","11,644"
2020년07월_여_60~69세,"273,506","4,112","9,987","8,332","11,401","28,868","21,534","21,764","22,402","29,831","25,905","20,302","7,400","17,163","15,523","18,033","10,949"
2020년07월_여_70~79세,"160,057","2,843","6,941","6,174","8,232","17,768","11,927","13,708","11,445","17,115","14,103","11,760","3,314","9,780","9,343","9,020","6,584"
2020년07월_여_80~89세,"72,135","1,298","3,357","2,938","3,695","8,027","4,988","5,675","5,284","8,129","6,203","5,475","1,724","4,143","4,073","3,830","3,296"
2020년07월_여_90~99세,"11,507",262,564,421,588,"1,150",836,890,811,"1,302","1,044",858,359,632,665,545,580
2020년07월_여_100세 이상,"1,442",63,87,70,98,179,114,112,79,116,129,156,32,62,50,59,36
