카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년06월_계_총인구수,"22,240","7,440","2,109","2,382","4,388","2,141","2,196","1,584"
2020년06월_계_연령구간인구수,"22,240","7,440","2,109","2,382","4,388","2,141","2,196","1,584"
2020년06월_계_0~9세,"1,207",580,81,76,246,59,95,70
2020년06월_계_10~19세,"1,663",734,117,125,350,101,148,88
2020년06월_계_20~29세,"1,693",653,143,154,370,133,160,80
2020년06월_계_30~39세,"1,628",708,117,131,324,124,131,93
2020년06월_계_40~49세,"2,638","1,057",202,221,569,199,236,154
2020년06월_계_50~59세,"3,718","1,155",339,402,779,374,412,257
2020년06월_계_60~69세,"4,166","1,176",400,531,769,502,412,376
2020년06월_계_70~79세,"3,135",834,376,438,548,353,342,244
2020년06월_계_80~89세,"2,087",478,291,263,381,250,233,191
2020년06월_계_90~99세,283,62,42,39,43,43,23,31
2020년06월_계_100세 이상,22,3,1,2,9,3,4,0
2020년06월_남_총인구수,"11,073","3,675","1,039","1,210","2,220","1,058","1,078",793
2020년06월_남_연령구간인구수,"11,073","3,675","1,039","1,210","2,220","1,058","1,078",793
2020년06월_남_0~9세,621,293,47,48,120,27,53,33
2020년06월_남_10~19세,837,349,62,66,202,50,63,45
2020년06월_남_20~29세,961,354,91,84,215,82,89,46
2020년06월_남_30~39세,848,344,64,80,171,69,74,46
2020년06월_남_40~49세,"1,503",594,118,137,309,116,130,99
2020년06월_남_50~59세,"2,093",629,197,219,448,217,239,144
2020년06월_남_60~69세,"2,101",572,191,287,384,256,209,202
2020년06월_남_70~79세,"1,353",354,168,196,242,145,139,109
2020년06월_남_80~89세,691,172,90,88,120,85,75,61
2020년06월_남_90~99세,61,13,11,5,8,11,5,8
2020년06월_남_100세 이상,4,1,0,0,1,0,2,0
2020년06월_여_총인구수,"11,167","3,765","1,070","1,172","2,168","1,083","1,118",791
2020년06월_여_연령구간인구수,"11,167","3,765","1,070","1,172","2,168","1,083","1,118",791
2020년06월_여_0~9세,586,287,34,28,126,32,42,37
2020년06월_여_10~19세,826,385,55,59,148,51,85,43
2020년06월_여_20~29세,732,299,52,70,155,51,71,34
2020년06월_여_30~39세,780,364,53,51,153,55,57,47
2020년06월_여_40~49세,"1,135",463,84,84,260,83,106,55
2020년06월_여_50~59세,"1,625",526,142,183,331,157,173,113
2020년06월_여_60~69세,"2,065",604,209,244,385,246,203,174
2020년06월_여_70~79세,"1,782",480,208,242,306,208,203,135
2020년06월_여_80~89세,"1,396",306,201,175,261,165,158,130
2020년06월_여_90~99세,222,49,31,34,35,32,18,23
2020년06월_여_100세 이상,18,2,1,2,8,3,2,0
