,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년06월_계_총인구수,"111,184","18,682","10,680","16,096","7,840","1,654","3,530","2,914","3,562","6,336","5,313","6,343","15,614","6,882","5,461",277
2020년06월_계_연령구간인구수,"111,184","18,682","10,680","16,096","7,840","1,654","3,530","2,914","3,562","6,336","5,313","6,343","15,614","6,882","5,461",277
2020년06월_계_0~9세,"8,434","1,533","1,075","2,127",723,49,106,84,70,185,243,438,"1,117",348,329,7
2020년06월_계_10~19세,"10,368","1,978","1,293","2,051",643,56,169,97,147,323,339,480,"1,690",659,435,8
2020년06월_계_20~29세,"10,852","2,393","1,128","1,631",549,127,289,174,269,427,501,572,"1,642",668,472,10
2020년06월_계_30~39세,"12,260","2,545","1,304","2,624",972,99,206,155,162,470,480,679,"1,475",585,486,18
2020년06월_계_40~49세,"17,789","3,354","1,965","3,097","1,239",186,358,279,343,760,729,989,"2,542","1,163",753,32
2020년06월_계_50~59세,"18,511","3,102","1,667","1,903","1,260",300,633,547,709,"1,129","1,004","1,082","2,916","1,302",910,47
2020년06월_계_60~69세,"15,862","1,924","1,077","1,284","1,192",384,728,665,763,"1,422",998,"1,059","2,216","1,095",992,63
2020년06월_계_70~79세,"10,721","1,125",710,856,774,244,610,516,651,"1,082",669,732,"1,343",678,664,67
2020년06월_계_80~89세,"5,580",624,396,460,422,188,385,355,381,468,313,273,610,325,355,25
2020년06월_계_90~99세,780,97,65,62,65,21,43,40,66,68,37,33,62,58,63,0
2020년06월_계_100세 이상,27,7,0,1,1,0,3,2,1,2,0,6,1,1,2,0
2020년06월_남_총인구수,"56,072","9,717","5,322","8,416","3,902",875,"1,799","1,440","1,767","3,093","2,626","3,125","7,618","3,552","2,678",142
2020년06월_남_연령구간인구수,"56,072","9,717","5,322","8,416","3,902",875,"1,799","1,440","1,767","3,093","2,626","3,125","7,618","3,552","2,678",142
2020년06월_남_0~9세,"4,396",792,556,"1,145",350,29,61,47,38,101,120,220,582,172,179,4
2020년06월_남_10~19세,"5,351",985,666,"1,045",341,32,97,57,76,165,189,259,872,346,217,4
2020년06월_남_20~29세,"6,488","1,402",644,"1,024",322,75,183,104,168,260,315,340,945,418,280,8
2020년06월_남_30~39세,"6,527","1,429",642,"1,386",486,58,117,84,98,291,260,355,738,318,255,10
2020년06월_남_40~49세,"9,508","1,795",988,"1,656",697,116,212,183,222,440,402,542,"1,214",617,399,25
2020년06월_남_50~59세,"9,747","1,654",883,"1,048",641,189,358,314,399,581,497,528,"1,461",709,456,29
2020년06월_남_60~69세,"7,652",970,533,609,584,202,365,320,368,647,464,465,"1,053",559,484,29
2020년06월_남_70~79세,"4,560",479,277,366,338,107,273,217,290,451,274,317,551,301,292,27
2020년06월_남_80~89세,"1,717",194,122,128,130,62,121,106,103,149,99,93,194,103,107,6
2020년06월_남_90~99세,120,17,11,9,13,5,11,7,4,8,6,4,8,8,9,0
2020년06월_남_100세 이상,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년06월_여_총인구수,"55,112","8,965","5,358","7,680","3,938",779,"1,731","1,474","1,795","3,243","2,687","3,218","7,996","3,330","2,783",135
2020년06월_여_연령구간인구수,"55,112","8,965","5,358","7,680","3,938",779,"1,731","1,474","1,795","3,243","2,687","3,218","7,996","3,330","2,783",135
2020년06월_여_0~9세,"4,038",741,519,982,373,20,45,37,32,84,123,218,535,176,150,3
2020년06월_여_10~19세,"5,017",993,627,"1,006",302,24,72,40,71,158,150,221,818,313,218,4
2020년06월_여_20~29세,"4,364",991,484,607,227,52,106,70,101,167,186,232,697,250,192,2
2020년06월_여_30~39세,"5,733","1,116",662,"1,238",486,41,89,71,64,179,220,324,737,267,231,8
2020년06월_여_40~49세,"8,281","1,559",977,"1,441",542,70,146,96,121,320,327,447,"1,328",546,354,7
2020년06월_여_50~59세,"8,764","1,448",784,855,619,111,275,233,310,548,507,554,"1,455",593,454,18
2020년06월_여_60~69세,"8,210",954,544,675,608,182,363,345,395,775,534,594,"1,163",536,508,34
2020년06월_여_70~79세,"6,161",646,433,490,436,137,337,299,361,631,395,415,792,377,372,40
2020년06월_여_80~89세,"3,863",430,274,332,292,126,264,249,278,319,214,180,416,222,248,19
2020년06월_여_90~99세,660,80,54,53,52,16,32,33,62,60,31,29,54,50,54,0
2020년06월_여_100세 이상,21,7,0,1,1,0,2,1,0,2,0,4,1,0,2,0
