카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년03월_남_총인구수,"161,879","12,374","14,755","7,276","13,297","12,276","11,137","13,920","10,621","9,527","8,259","9,367","14,680","10,525","13,865"
2020년03월_남_연령구간인구수,"161,879","12,374","14,755","7,276","13,297","12,276","11,137","13,920","10,621","9,527","8,259","9,367","14,680","10,525","13,865"
2020년03월_남_0~9세,"10,350",862,"1,018",446,953,840,468,882,652,613,454,685,819,541,"1,117"
2020년03월_남_10~19세,"13,889","1,173","1,245",585,"1,419","1,060",693,951,838,769,550,"1,063","1,190",810,"1,543"
2020년03월_남_20~29세,"22,805","1,708","2,100",989,"1,964","1,804","1,458","1,751","1,494","1,334","1,245","1,376","2,101","1,538","1,943"
2020년03월_남_30~39세,"21,825","1,743","2,219",968,"1,692","1,900","1,372","1,945","1,352","1,441","1,269","1,169","1,802","1,291","1,662"
2020년03월_남_40~49세,"24,940","2,104","2,384","1,140","2,152","1,739","1,658","2,026","1,706","1,441","1,312","1,434","2,187","1,586","2,071"
2020년03월_남_50~59세,"27,733","1,988","2,495","1,354","2,369","2,074","1,945","2,239","1,800","1,535","1,305","1,604","2,778","1,929","2,318"
2020년03월_남_60~69세,"23,084","1,602","1,902",988,"1,617","1,700","1,845","2,329","1,504","1,373","1,141","1,297","2,138","1,642","2,006"
2020년03월_남_70~79세,"12,532",846,"1,000",595,781,823,"1,259","1,316",941,718,717,523,"1,295",873,845
2020년03월_남_80~89세,"4,245",312,372,195,301,298,396,429,304,269,246,190,336,278,319
2020년03월_남_90~99세,434,34,19,13,46,34,41,47,23,27,20,26,34,32,38
2020년03월_남_100세 이상,42,2,1,3,3,4,2,5,7,7,0,0,0,5,3
2020년03월_여_총인구수,"169,359","13,542","15,362","7,267","14,296","13,288","10,852","14,449","11,379","10,155","8,762","10,290","14,844","10,293","14,580"
2020년03월_여_연령구간인구수,"169,359","13,542","15,362","7,267","14,296","13,288","10,852","14,449","11,379","10,155","8,762","10,290","14,844","10,293","14,580"
2020년03월_여_0~9세,"9,749",798,959,420,919,795,478,868,601,525,434,623,844,524,961
2020년03월_여_10~19세,"13,081","1,142","1,121",543,"1,354","1,042",593,871,889,712,524,"1,060","1,145",737,"1,348"
2020년03월_여_20~29세,"21,914","1,728","2,123",910,"1,890","1,902","1,274","1,734","1,621","1,290","1,337","1,279","1,936","1,269","1,621"
2020년03월_여_30~39세,"20,807","1,813","2,157",823,"1,764","1,772","1,109","1,861","1,298","1,300","1,178","1,283","1,689","1,105","1,655"
2020년03월_여_40~49세,"25,445","2,221","2,322","1,092","2,429","1,964","1,413","1,926","1,652","1,445","1,208","1,686","2,234","1,501","2,352"
2020년03월_여_50~59세,"30,440","2,287","2,754","1,324","2,636","2,439","1,970","2,373","1,932","1,856","1,534","1,922","2,760","1,944","2,709"
2020년03월_여_60~69세,"24,998","1,802","2,081","1,050","1,720","1,852","1,983","2,516","1,705","1,566","1,260","1,374","2,297","1,623","2,169"
2020년03월_여_70~79세,"14,722","1,128","1,240",742,924,929,"1,372","1,476","1,095",918,897,631,"1,287","1,056","1,027"
2020년03월_여_80~89세,"6,902",539,531,306,564,493,572,678,489,452,329,351,529,444,625
2020년03월_여_90~99세,"1,177",77,73,50,90,92,74,124,86,82,55,77,113,77,107
2020년03월_여_100세 이상,124,7,1,7,6,8,14,22,11,9,6,4,10,13,6
