,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년07월_계_총인구수,"114,369","12,183","2,731","3,013","1,504","2,388","2,532","3,628","1,997","4,750","4,450","3,473","1,927","4,329","7,800","2,810","5,135","9,101","3,438","3,544","33,636"
2020년07월_계_연령구간인구수,"114,369","12,183","2,731","3,013","1,504","2,388","2,532","3,628","1,997","4,750","4,450","3,473","1,927","4,329","7,800","2,810","5,135","9,101","3,438","3,544","33,636"
2020년07월_계_0~9세,"10,113","1,158",60,82,24,87,51,70,37,107,147,92,43,131,673,159,253,802,120,143,"5,874"
2020년07월_계_10~19세,"9,355",794,158,149,56,131,90,165,61,177,223,146,54,211,876,237,382,979,294,218,"3,954"
2020년07월_계_20~29세,"12,146","1,229",215,270,108,155,183,254,125,356,400,326,116,330,"1,175",366,549,"1,320",287,380,"4,002"
2020년07월_계_30~39세,"14,545","1,695",140,179,80,135,126,216,94,274,355,248,102,252,"1,002",270,430,"1,034",242,308,"7,363"
2020년07월_계_40~49세,"16,251","1,735",230,267,123,241,197,309,166,436,454,388,164,389,"1,254",433,632,"1,409",335,451,"6,638"
2020년07월_계_50~59세,"17,231","1,971",498,563,273,388,417,643,355,901,801,699,390,728,"1,273",462,897,"1,470",655,625,"3,222"
2020년07월_계_60~69세,"15,676","1,854",564,615,327,500,562,784,437,"1,072",870,697,440,896,796,399,850,"1,017",635,652,"1,709"
2020년07월_계_70~79세,"11,527","1,111",498,508,278,425,523,657,384,801,757,516,364,831,459,302,754,708,533,483,635
2020년07월_계_80~89세,"6,491",552,310,336,201,292,342,457,291,526,372,311,223,483,259,152,336,310,293,232,213
2020년07월_계_90~99세,975,81,54,42,34,29,41,70,46,95,65,50,30,73,32,30,48,52,40,38,25
2020년07월_계_100세 이상,59,3,4,2,0,5,0,3,1,5,6,0,1,5,1,0,4,0,4,14,1
2020년07월_남_총인구수,"57,573","6,120","1,367","1,566",740,"1,183","1,248","1,817",975,"2,441","2,335","1,802","1,003","2,229","3,884","1,400","2,583","4,575","1,750","1,863","16,692"
2020년07월_남_연령구간인구수,"57,573","6,120","1,367","1,566",740,"1,183","1,248","1,817",975,"2,441","2,335","1,802","1,003","2,229","3,884","1,400","2,583","4,575","1,750","1,863","16,692"
2020년07월_남_0~9세,"5,175",598,30,37,11,41,23,37,17,64,80,44,26,67,345,78,147,418,70,66,"2,976"
2020년07월_남_10~19세,"4,811",406,84,83,29,69,53,101,33,84,122,76,25,120,452,126,224,522,130,105,"1,967"
2020년07월_남_20~29세,"6,417",656,120,151,70,88,111,146,72,195,225,192,68,181,635,207,301,733,158,219,"1,889"
2020년07월_남_30~39세,"7,570",863,80,119,53,75,76,145,56,172,218,145,58,140,527,141,233,516,139,186,"3,628"
2020년07월_남_40~49세,"9,124",986,156,178,80,150,133,200,114,295,289,246,112,259,642,242,342,726,206,284,"3,484"
2020년07월_남_50~59세,"9,410",978,297,349,155,229,232,361,209,524,474,417,236,454,653,246,470,769,392,377,"1,588"
2020년07월_남_60~69세,"7,958",950,298,328,160,265,311,405,230,572,465,360,245,470,376,183,414,468,331,337,790
