카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년09월_계_총인구수,"77,030","8,650","6,747","5,105","4,600","5,226","8,181","5,048","4,304","7,074","11,968","7,634","2,493"
2020년09월_계_연령구간인구수,"77,030","8,650","6,747","5,105","4,600","5,226","8,181","5,048","4,304","7,074","11,968","7,634","2,493"
2020년09월_계_0~9세,"5,262",341,467,167,135,575,897,275,250,595,941,536,83
2020년09월_계_10~19세,"5,111",491,378,241,203,231,562,309,280,532,"1,089",634,161
2020년09월_계_20~29세,"11,976","1,475","1,887","1,460",836,656,848,844,646,709,"1,339","1,018",258
2020년09월_계_30~39세,"10,974","1,169","1,244",775,546,"1,054","1,401",664,616,969,"1,392",930,214
2020년09월_계_40~49세,"10,772","1,134",889,565,499,694,"1,175",649,595,"1,139","1,914","1,151",368
2020년09월_계_50~59세,"11,457","1,345",712,626,756,742,"1,254",807,673,"1,098","1,826","1,208",410
2020년09월_계_60~69세,"10,166","1,245",581,582,772,664,"1,074",700,532,978,"1,687",940,411
2020년09월_계_70~79세,"7,354",940,367,439,565,414,651,536,444,700,"1,146",750,402
2020년09월_계_80~89세,"3,379",432,188,199,232,166,269,245,221,312,555,404,156
2020년09월_계_90~99세,478,66,26,44,42,25,39,17,33,37,70,55,24
2020년09월_계_100세 이상,101,12,8,7,14,5,11,2,14,5,9,8,6
2020년09월_남_총인구수,"37,052","4,302","3,183","2,433","2,338","2,620","3,977","2,412","2,057","3,276","5,639","3,603","1,212"
2020년09월_남_연령구간인구수,"37,052","4,302","3,183","2,433","2,338","2,620","3,977","2,412","2,057","3,276","5,639","3,603","1,212"
2020년09월_남_0~9세,"2,716",164,234,87,73,283,437,151,122,329,507,288,41
2020년09월_남_10~19세,"2,612",243,182,116,104,124,309,148,139,272,580,303,92
2020년09월_남_20~29세,"5,732",729,817,610,400,337,445,395,308,335,697,522,137
2020년09월_남_30~39세,"5,668",641,651,442,336,532,684,323,316,484,695,448,116
2020년09월_남_40~49세,"5,481",624,475,288,270,374,607,347,293,548,916,555,184
2020년09월_남_50~59세,"5,664",711,337,349,398,375,597,406,348,517,844,571,211
2020년09월_남_60~69세,"4,690",609,246,285,397,334,517,324,244,398,715,431,190
2020년09월_남_70~79세,"3,111",400,160,174,255,197,271,231,195,282,482,292,172
2020년09월_남_80~89세,"1,246",163,74,66,94,57,101,82,85,102,186,173,63
2020년09월_남_90~99세,111,16,6,12,8,6,8,4,4,9,14,18,6
2020년09월_남_100세 이상,21,2,1,4,3,1,1,1,3,0,3,2,0
2020년09월_여_총인구수,"39,978","4,348","3,564","2,672","2,262","2,606","4,204","2,636","2,247","3,798","6,329","4,031","1,281"
2020년09월_여_연령구간인구수,"39,978","4,348","3,564","2,672","2,262","2,606","4,204","2,636","2,247","3,798","6,329","4,031","1,281"
2020년09월_여_0~9세,"2,546",177,233,80,62,292,460,124,128,266,434,248,42
2020년09월_여_10~19세,"2,499",248,196,125,99,107,253,161,141,260,509,331,69
2020년09월_여_20~29세,"6,244",746,"1,070",850,436,319,403,449,338,374,642,496,121
2020년09월_여_30~39세,"5,306",528,593,333,210,522,717,341,300,485,697,482,98
2020년09월_여_40~49세,"5,291",510,414,277,229,320,568,302,302,591,998,596,184
2020년09월_여_50~59세,"5,793",634,375,277,358,367,657,401,325,581,982,637,199
2020년09월_여_60~69세,"5,476",636,335,297,375,330,557,376,288,580,972,509,221
2020년09월_여_70~79세,"4,243",540,207,265,310,217,380,305,249,418,664,458,230
2020년09월_여_80~89세,"2,133",269,114,133,138,109,168,163,136,210,369,231,93
2020년09월_여_90~99세,367,50,20,32,34,19,31,13,29,28,56,37,18
2020년09월_여_100세 이상,80,10,7,3,11,4,10,1,11,5,6,6,6
