카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년02월_계_총인구수,"213,273","16,360","3,425","1,617","4,062","4,396","3,644","4,521","6,605","15,558","5,116","3,392","26,089","7,971","10,592","13,425","4,884","8,788","16,923","18,485","28,845","8,575"
2020년02월_계_연령구간인구수,"213,273","16,360","3,425","1,617","4,062","4,396","3,644","4,521","6,605","15,558","5,116","3,392","26,089","7,971","10,592","13,425","4,884","8,788","16,923","18,485","28,845","8,575"
2020년02월_계_0~9세,"13,992",632,128,33,197,103,132,193,399,"1,441",194,109,"1,896",408,460,669,293,764,"1,537","1,033","2,631",740
2020년02월_계_10~19세,"19,954","1,024",203,44,265,223,176,226,498,"1,587",323,177,"3,265",682,805,"1,316",443,934,"1,691","1,705","3,603",764
2020년02월_계_20~29세,"25,188","1,486",305,105,345,439,279,445,494,"1,828",606,307,"3,460",916,"1,296","1,720",604,990,"2,700","2,046","3,413","1,404"
2020년02월_계_30~39세,"22,133","1,172",214,79,331,295,250,384,602,"2,187",467,298,"2,635",777,978,"1,303",542,"1,110","2,290","1,746","3,436","1,037"
2020년02월_계_40~49세,"32,846","2,064",404,126,468,473,341,592,986,"2,660",638,424,"4,683","1,099","1,455","2,027",772,"1,475","2,652","2,725","5,398","1,384"
2020년02월_계_50~59세,"36,776","3,095",701,341,751,816,728,849,"1,164","2,411",828,615,"4,419","1,466","2,032","2,548",963,"1,448","2,524","3,221","4,550","1,306"
2020년02월_계_60~69세,"31,922","3,305",670,449,828,912,817,925,"1,267","1,824",978,693,"3,001","1,398","1,898","2,203",665,"1,178","1,981","2,804","3,118","1,008"
2020년02월_계_70~79세,"19,386","2,269",435,281,518,668,566,538,755,"1,057",670,527,"1,776",799,"1,130","1,076",358,561,"1,002","2,088","1,701",611
2020년02월_계_80~89세,"9,437","1,095",311,138,291,393,311,311,378,481,324,217,825,367,465,483,210,277,472,963,866,259
2020년02월_계_90~99세,"1,540",197,50,21,63,67,41,54,58,78,82,25,123,51,69,80,33,50,71,142,123,62
2020년02월_계_100세 이상,99,21,4,0,5,7,3,4,4,4,6,0,6,8,4,0,1,1,3,12,6,0
