카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년09월_계_총인구수,"117,226","8,441","13,809","4,179","4,291","3,058","3,627","3,593","6,147","2,510","6,342","3,481","3,970","2,272","34,962","16,544"
2020년09월_계_연령구간인구수,"117,226","8,441","13,809","4,179","4,291","3,058","3,627","3,593","6,147","2,510","6,342","3,481","3,970","2,272","34,962","16,544"
2020년09월_계_0~9세,"7,340",352,906,117,117,126,77,92,193,62,400,61,104,55,"3,371","1,307"
2020년09월_계_10~19세,"9,939",689,"1,114",183,239,149,171,155,330,131,416,134,209,143,"3,969","1,907"
2020년09월_계_20~29세,"11,515",743,"1,316",300,305,207,226,274,380,119,448,245,432,145,"4,549","1,826"
2020년09월_계_30~39세,"10,902",567,"1,319",245,253,231,222,215,339,119,565,169,247,130,"4,617","1,664"
2020년09월_계_40~49세,"15,582","1,007","1,702",365,417,306,403,360,573,251,666,316,443,219,"5,889","2,665"
2020년09월_계_50~59세,"19,839","1,514","2,221",703,784,483,698,685,"1,225",444,"1,067",595,743,373,"5,423","2,881"
2020년09월_계_60~69세,"19,767","1,647","2,384",933,953,644,827,819,"1,462",606,"1,162",870,807,531,"3,898","2,224"
2020년09월_계_70~79세,"13,030","1,164","1,625",732,699,510,559,570,955,444,899,613,542,372,"2,050","1,296"
2020년09월_계_80~89세,"8,037",629,"1,053",539,479,347,386,361,591,274,622,409,375,253,"1,034",685
2020년09월_계_90~99세,"1,184",113,160,60,42,51,52,58,92,54,92,65,63,48,150,84
2020년09월_계_100세 이상,91,16,9,2,3,4,6,4,7,6,5,4,5,3,12,5
2020년09월_남_총인구수,"58,593","4,109","6,892","2,104","2,177","1,543","1,805","1,840","3,201","1,278","3,233","1,770","2,095","1,095","17,416","8,035"
2020년09월_남_연령구간인구수,"58,593","4,109","6,892","2,104","2,177","1,543","1,805","1,840","3,201","1,278","3,233","1,770","2,095","1,095","17,416","8,035"
2020년09월_남_0~9세,"3,766",186,460,59,55,68,37,51,108,28,220,38,49,27,"1,713",667
2020년09월_남_10~19세,"5,147",350,571,98,120,76,93,73,181,73,237,74,98,66,"2,062",975
2020년09월_남_20~29세,"6,416",420,753,173,173,115,115,160,232,66,257,143,265,85,"2,457","1,002"
2020년09월_남_30~39세,"5,769",296,724,155,153,135,117,128,187,75,298,99,162,74,"2,354",812
2020년09월_남_40~49세,"8,281",533,953,233,257,175,222,223,331,154,370,180,282,120,"2,928","1,320"
2020년09월_남_50~59세,"10,421",770,"1,159",374,426,281,390,383,677,247,565,322,433,201,"2,735","1,458"
2020년09월_남_60~69세,"9,932",788,"1,189",476,508,325,430,431,785,320,612,466,416,275,"1,880","1,031"
2020년09월_남_70~79세,"5,753",495,707,303,319,240,257,261,454,209,407,286,248,148,892,527
2020년09월_남_80~89세,"2,782",234,337,213,156,113,126,120,222,89,239,139,129,84,352,229
2020년09월_남_90~99세,305,30,38,20,9,14,18,10,23,16,27,22,12,15,39,12
2020년09월_남_100세 이상,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020년09월_여_총인구수,"58,633","4,332","6,917","2,075","2,114","1,515","1,822","1,753","2,946","1,232","3,109","1,711","1,875","1,177","17,546","8,509"
2020년09월_여_연령구간인구수,"58,633","4,332","6,917","2,075","2,114","1,515","1,822","1,753","2,946","1,232","3,109","1,711","1,875","1,177","17,546","8,509"
2020년09월_여_0~9세,"3,574",166,446,58,62,58,40,41,85,34,180,23,55,28,"1,658",640
2020년09월_여_10~19세,"4,792",339,543,85,119,73,78,82,149,58,179,60,111,77,"1,907",932
2020년09월_여_20~29세,"5,099",323,563,127,132,92,111,114,148,53,191,102,167,60,"2,092",824
2020년09월_여_30~39세,"5,133",271,595,90,100,96,105,87,152,44,267,70,85,56,"2,263",852
2020년09월_여_40~49세,"7,301",474,749,132,160,131,181,137,242,97,296,136,161,99,"2,961","1,345"
2020년09월_여_50~59세,"9,418",744,"1,062",329,358,202,308,302,548,197,502,273,310,172,"2,688","1,423"
2020년09월_여_60~69세,"9,835",859,"1,195",457,445,319,397,388,677,286,550,404,391,256,"2,018","1,193"
2020년09월_여_70~79세,"7,277",669,918,429,380,270,302,309,501,235,492,327,294,224,"1,158",769
2020년09월_여_80~89세,"5,255",395,716,326,323,234,260,241,369,185,383,270,246,169,682,456
2020년09월_여_90~99세,879,83,122,40,33,37,34,48,69,38,65,43,51,33,111,72
2020년09월_여_100세 이상,70,9,8,2,2,3,6,4,6,5,4,3,4,3,8,3
