카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년10월_계_총인구수,"432,081","16,613","22,960","15,557","14,759","24,022","14,995","15,406","18,245","23,022","15,088","24,964","35,562","16,648","38,945","26,473","19,551","24,354","13,783","15,974","35,160"
2021년10월_계_연령구간인구수,"432,081","16,613","22,960","15,557","14,759","24,022","14,995","15,406","18,245","23,022","15,088","24,964","35,562","16,648","38,945","26,473","19,551","24,354","13,783","15,974","35,160"
2021년10월_계_0~9세,"27,677",741,"1,028",535,785,"1,911",424,943,"1,399","1,414",562,"1,496","3,669","1,419","2,510","1,942","1,001","1,736",578,"1,681","1,903"
2021년10월_계_10~19세,"36,249","1,139","1,807",929,"1,229","2,763",799,915,"1,716","1,776",926,"2,067","4,934","1,425","3,614","2,560","1,431","1,891",860,"1,350","2,118"
2021년10월_계_20~29세,"65,978","2,746","4,203","4,573","1,970","2,871","5,226","2,608","2,255","3,217","3,104","3,266","3,373","2,021","5,606","2,991","3,498","3,369","1,962","2,006","5,113"
2021년10월_계_30~39세,"58,729","2,488","3,220","2,515","1,931","2,931","2,048","2,560","2,541","3,067","1,829","3,065","4,279","2,411","5,044","3,516","2,709","3,377","1,803","2,502","4,893"
2021년10월_계_40~49세,"67,840","2,510","3,442","1,956","2,071","4,278","1,583","2,312","3,129","3,440","1,800","4,050","7,746","2,861","6,210","4,460","2,743","3,725","1,886","2,627","5,011"
2021년10월_계_50~59세,"69,248","2,746","3,700","1,946","2,649","4,138","1,962","2,518","2,845","3,762","2,332","4,179","5,139","2,753","6,344","4,239","3,004","4,213","2,384","2,523","5,872"
2021년10월_계_60~69세,"56,748","2,100","2,797","1,524","2,228","2,803","1,509","1,958","2,281","3,438","2,288","3,652","3,369","2,174","4,982","3,666","2,755","3,460","2,262","1,964","5,538"
2021년10월_계_70~79세,"32,589","1,283","1,778","1,027","1,245","1,448",932,"1,058","1,346","1,941","1,427","2,138","2,060","1,072","2,855","2,109","1,595","1,742","1,378",927,"3,228"
2021년10월_계_80~89세,"14,929",716,869,478,579,742,451,471,652,849,711,910,864,448,"1,535",888,717,754,598,352,"1,345"
2021년10월_계_90~99세,"2,017",137,105,69,67,134,57,59,79,114,106,139,124,62,238,102,97,85,70,37,136
2021년10월_계_100세 이상,77,7,11,5,5,3,4,4,2,4,3,2,5,2,7,0,1,2,2,5,3
2021년10월_남_총인구수,"208,308","7,771","10,933","6,526","6,913","11,367","7,524","7,440","8,794","11,133","7,500","12,041","16,888","7,988","19,292","12,788","9,418","11,907","6,814","7,876","17,395"
2021년10월_남_연령구간인구수,"208,308","7,771","10,933","6,526","6,913","11,367","7,524","7,440","8,794","11,133","7,500","12,041","16,888","7,988","19,292","12,788","9,418","11,907","6,814","7,876","17,395"
2021년10월_남_0~9세,"14,134",357,537,258,385,964,217,466,734,731,294,785,"1,886",728,"1,288",983,530,872,295,854,970
2021년10월_남_10~19세,"18,406",592,928,391,602,"1,364",408,440,859,931,481,"1,077","2,410",759,"1,983","1,236",729,980,431,678,"1,127"
2021년10월_남_20~29세,"31,567","1,263","1,884","1,506",901,"1,402","2,686","1,245","1,126","1,586","1,732","1,675","1,614",940,"2,962","1,412","1,483","1,697",968,971,"2,514"
2021년10월_남_30~39세,"29,334","1,201","1,582","1,152",948,"1,376","1,146","1,329","1,256","1,574","1,044","1,487","1,912","1,166","2,559","1,739","1,422","1,750",940,"1,206","2,545"
2021년10월_남_40~49세,"33,464","1,204","1,690",929,977,"2,014",816,"1,163","1,502","1,702",889,"1,992","3,701","1,364","3,052","2,226","1,385","1,873","1,023","1,355","2,607"
2021년10월_남_50~59세,"34,106","1,295","1,836",965,"1,274","1,984",979,"1,225","1,402","1,798","1,141","2,018","2,644","1,350","3,146","2,118","1,521","2,042","1,208","1,269","2,891"
2021년10월_남_60~69세,"26,720",987,"1,367",687,"1,034","1,316",705,926,"1,070","1,597","1,023","1,647","1,502","1,025","2,411","1,757","1,330","1,626","1,070",948,"2,692"
2021년10월_남_70~79세,"14,209",529,749,436,560,624,387,456,564,862,608,961,865,471,"1,224",929,711,759,621,448,"1,445"
2021년10월_남_80~89세,"5,847",301,328,180,214,288,168,184,263,324,264,364,331,172,589,360,284,287,238,140,568
2021년10월_남_90~99세,504,40,30,22,18,35,10,5,18,26,24,35,23,12,75,28,23,20,20,6,34
2021년10월_남_100세 이상,17,2,2,0,0,0,2,1,0,2,0,0,0,1,3,0,0,1,0,1,2
2021년10월_여_총인구수,"223,773","8,842","12,027","9,031","7,846","12,655","7,471","7,966","9,451","11,889","7,588","12,923","18,674","8,660","19,653","13,685","10,133","12,447","6,969","8,098","17,765"
2021년10월_여_연령구간인구수,"223,773","8,842","12,027","9,031","7,846","12,655","7,471","7,966","9,451","11,889","7,588","12,923","18,674","8,660","19,653","13,685","10,133","12,447","6,969","8,098","17,765"
2021년10월_여_0~9세,"13,543",384,491,277,400,947,207,477,665,683,268,711,"1,783",691,"1,222",959,471,864,283,827,933
2021년10월_여_10~19세,"17,843",547,879,538,627,"1,399",391,475,857,845,445,990,"2,524",666,"1,631","1,324",702,911,429,672,991
2021년10월_여_20~29세,"34,411","1,483","2,319","3,067","1,069","1,469","2,540","1,363","1,129","1,631","1,372","1,591","1,759","1,081","2,644","1,579","2,015","1,672",994,"1,035","2,599"
2021년10월_여_30~39세,"29,395","1,287","1,638","1,363",983,"1,555",902,"1,231","1,285","1,493",785,"1,578","2,367","1,245","2,485","1,777","1,287","1,627",863,"1,296","2,348"
2021년10월_여_40~49세,"34,376","1,306","1,752","1,027","1,094","2,264",767,"1,149","1,627","1,738",911,"2,058","4,045","1,497","3,158","2,234","1,358","1,852",863,"1,272","2,404"
2021년10월_여_50~59세,"35,142","1,451","1,864",981,"1,375","2,154",983,"1,293","1,443","1,964","1,191","2,161","2,495","1,403","3,198","2,121","1,483","2,171","1,176","1,254","2,981"
2021년10월_여_60~69세,"30,028","1,113","1,430",837,"1,194","1,487",804,"1,032","1,211","1,841","1,265","2,005","1,867","1,149","2,571","1,909","1,425","1,834","1,192","1,016","2,846"
2021년10월_여_70~79세,"18,380",754,"1,029",591,685,824,545,602,782,"1,079",819,"1,177","1,195",601,"1,631","1,180",884,983,757,479,"1,783"
2021년10월_여_80~89세,"9,082",415,541,298,365,454,283,287,389,525,447,546,533,276,946,528,433,467,360,212,777
2021년10월_여_90~99세,"1,513",97,75,47,49,99,47,54,61,88,82,104,101,50,163,74,74,65,50,31,102
2021년10월_여_100세 이상,60,5,9,5,5,3,2,3,2,2,3,2,5,1,4,0,1,1,2,4,1
