,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년10월_계_총인구수,"222,850","5,023","25,632","12,419","12,709","8,854","16,843","15,306","10,605","14,064","18,574","20,739","12,393","11,125","14,703","2,523","21,338"
2020년10월_계_연령구간인구수,"222,850","5,023","25,632","12,419","12,709","8,854","16,843","15,306","10,605","14,064","18,574","20,739","12,393","11,125","14,703","2,523","21,338"
2020년10월_계_0~9세,"15,094",112,"2,697",932,834,297,978,"1,491",393,810,"1,004","1,139",899,597,820,82,"2,009"
2020년10월_계_10~19세,"20,039",144,"3,385",912,"1,015",410,"1,511","1,394",815,"1,139","1,808","1,528",946,833,"1,318",143,"2,738"
2020년10월_계_20~29세,"30,203",390,"2,672","1,395","1,526",840,"2,746","1,840","2,638","2,051","2,941","3,904","1,433","1,948","1,580",207,"2,092"
2020년10월_계_30~39세,"25,850",415,"3,129","1,680","1,536",765,"1,736","2,118","1,101","1,444","1,971","3,114","1,521","1,322","1,451",166,"2,381"
2020년10월_계_40~49세,"34,106",564,"4,925","1,827","1,784","1,031","2,509","2,358","1,279","2,090","2,797","3,157","1,809","1,627","2,230",277,"3,842"
2020년10월_계_50~59세,"36,807","1,010","3,632","1,985","2,219","1,588","3,002","2,442","1,552","2,423","3,308","3,388","2,133","1,880","2,619",474,"3,152"
2020년10월_계_60~69세,"32,182","1,173","2,873","1,884","1,957","1,884","2,426","1,915","1,500","2,184","2,638","2,611","1,919","1,612","2,396",544,"2,666"
2020년10월_계_70~79세,"19,083",814,"1,605","1,216","1,175","1,271","1,312","1,160",922,"1,297","1,453","1,336","1,168",880,"1,531",343,"1,600"
2020년10월_계_80~89세,"8,272",345,614,498,588,679,542,505,361,557,588,485,477,374,666,252,741
2020년10월_계_90~99세,"1,118",44,92,78,71,87,74,75,39,63,66,75,78,50,85,33,108
2020년10월_계_100세 이상,96,12,8,12,4,2,7,8,5,6,0,2,10,2,7,2,9
2020년10월_남_총인구수,"112,333","2,819","12,616","6,112","6,184","4,337","8,491","7,672","5,566","7,250","9,282","10,707","6,126","5,663","7,481","1,318","10,709"
2020년10월_남_연령구간인구수,"112,333","2,819","12,616","6,112","6,184","4,337","8,491","7,672","5,566","7,250","9,282","10,707","6,126","5,663","7,481","1,318","10,709"
2020년10월_남_0~9세,"7,771",56,"1,342",479,447,142,503,801,208,407,508,588,473,330,391,42,"1,054"
2020년10월_남_10~19세,"10,373",80,"1,782",492,525,215,738,731,393,572,939,787,480,421,708,71,"1,439"
2020년10월_남_20~29세,"15,984",212,"1,409",703,784,486,"1,479",963,"1,424","1,132","1,524","2,008",752,999,862,122,"1,125"
2020년10월_남_30~39세,"13,961",253,"1,506",892,820,453,950,"1,101",680,793,"1,110","1,801",807,738,778,102,"1,177"
2020년10월_남_40~49세,"17,934",370,"2,482",971,887,581,"1,290","1,201",751,"1,160","1,404","1,688",947,897,"1,191",157,"1,957"
2020년10월_남_50~59세,"18,868",655,"1,800",951,"1,066",806,"1,532","1,224",789,"1,292","1,670","1,770","1,056",957,"1,373",276,"1,651"
2020년10월_남_60~69세,"15,594",659,"1,339",830,927,908,"1,182",936,746,"1,088","1,254","1,260",907,790,"1,176",297,"1,295"
2020년10월_남_70~79세,"8,566",387,717,570,504,513,602,512,432,577,646,606,513,386,708,162,731
2020년10월_남_80~89세,"2,979",129,220,204,196,212,191,180,134,212,217,178,168,141,265,79,253
2020년10월_남_90~99세,274,11,18,16,26,21,20,22,9,16,10,21,20,3,27,10,24
2020년10월_남_100세 이상,29,7,1,4,2,0,4,1,0,1,0,0,3,1,2,0,3
2020년10월_여_총인구수,"110,517","2,204","13,016","6,307","6,525","4,517","8,352","7,634","5,039","6,814","9,292","10,032","6,267","5,462","7,222","1,205","10,629"
2020년10월_여_연령구간인구수,"110,517","2,204","13,016","6,307","6,525","4,517","8,352","7,634","5,039","6,814","9,292","10,032","6,267","5,462","7,222","1,205","10,629"
2020년10월_여_0~9세,"7,323",56,"1,355",453,387,155,475,690,185,403,496,551,426,267,429,40,955
2020년10월_여_10~19세,"9,666",64,"1,603",420,490,195,773,663,422,567,869,741,466,412,610,72,"1,299"
2020년10월_여_20~29세,"14,219",178,"1,263",692,742,354,"1,267",877,"1,214",919,"1,417","1,896",681,949,718,85,967
2020년10월_여_30~39세,"11,889",162,"1,623",788,716,312,786,"1,017",421,651,861,"1,313",714,584,673,64,"1,204"
2020년10월_여_40~49세,"16,172",194,"2,443",856,897,450,"1,219","1,157",528,930,"1,393","1,469",862,730,"1,039",120,"1,885"
2020년10월_여_50~59세,"17,939",355,"1,832","1,034","1,153",782,"1,470","1,218",763,"1,131","1,638","1,618","1,077",923,"1,246",198,"1,501"
2020년10월_여_60~69세,"16,588",514,"1,534","1,054","1,030",976,"1,244",979,754,"1,096","1,384","1,351","1,012",822,"1,220",247,"1,371"
2020년10월_여_70~79세,"10,517",427,888,646,671,758,710,648,490,720,807,730,655,494,823,181,869
2020년10월_여_80~89세,"5,293",216,394,294,392,467,351,325,227,345,371,307,309,233,401,173,488
2020년10월_여_90~99세,844,33,74,62,45,66,54,53,30,47,56,54,58,47,58,23,84
2020년10월_여_100세 이상,67,5,7,8,2,2,3,7,5,5,0,2,7,1,5,2,6
