,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년05월_계_총인구수,"405,030","36,384","21,376","24,860","24,040","20,693","29,757","9,348","23,527","27,907","32,085","32,101","21,429","22,684","39,626","24,208","15,005"
2020년05월_계_연령구간인구수,"405,030","36,384","21,376","24,860","24,040","20,693","29,757","9,348","23,527","27,907","32,085","32,101","21,429","22,684","39,626","24,208","15,005"
2020년05월_계_0~9세,"29,415","3,689","1,974",976,"1,442",906,"1,940",267,"1,419","1,934","2,069","2,394","1,357","1,293","3,694","1,552","2,509"
2020년05월_계_10~19세,"30,812","3,549","2,017","1,461","1,474","1,167","1,720",323,"2,047","2,353","2,415","2,434","1,543","1,276","3,913","2,071","1,049"
2020년05월_계_20~29세,"55,544","4,416","2,905","3,277","4,174","2,933","5,135","1,406","3,304","3,710","4,214","3,858","2,687","3,973","4,720","3,141","1,691"
2020년05월_계_30~39세,"63,724","6,351","3,906","2,946","5,102","3,032","5,532","1,219","2,997","3,435","4,417","4,858","3,097","4,396","5,398","3,385","3,653"
2020년05월_계_40~49세,"63,915","6,551","3,675","3,668","4,062","3,093","4,239","1,243","3,649","4,439","4,797","4,928","3,315","3,199","6,835","3,913","2,309"
2020년05월_계_50~59세,"63,568","5,159","3,042","4,805","3,032","3,559","4,639","1,975","3,997","4,914","5,543","4,928","3,549","3,074","5,714","3,998","1,640"
2020년05월_계_60~69세,"54,322","3,948","2,490","3,935","2,560","3,050","3,650","1,600","3,481","3,884","4,793","4,915","3,377","2,915","4,886","3,491","1,347"
2020년05월_계_70~79세,"31,169","1,940",951,"2,682","1,535","2,077","2,081",874,"1,911","2,275","2,772","2,802","1,769","1,810","3,181","1,955",554
2020년05월_계_80~89세,"10,946",680,347,960,576,774,729,364,626,855,935,854,650,654,"1,125",606,211
2020년05월_계_90~99세,"1,446",93,66,120,62,85,92,54,91,100,122,119,76,88,152,85,41
2020년05월_계_100세 이상,169,8,3,30,21,17,0,23,5,8,8,11,9,6,8,11,1
2020년05월_남_총인구수,"200,098","17,798","10,491","12,505","12,241","10,084","14,367","5,077","11,759","13,847","16,073","15,713","10,493","11,123","19,147","11,994","7,386"
2020년05월_남_연령구간인구수,"200,098","17,798","10,491","12,505","12,241","10,084","14,367","5,077","11,759","13,847","16,073","15,713","10,493","11,123","19,147","11,994","7,386"
2020년05월_남_0~9세,"15,030","1,849","1,028",504,759,458,982,146,740,964,"1,017","1,250",677,652,"1,898",787,"1,319"
2020년05월_남_10~19세,"15,878","1,839","1,062",771,745,581,880,168,"1,066","1,220","1,216","1,212",808,656,"1,986","1,146",522
2020년05월_남_20~29세,"27,275","2,158","1,382","1,683","2,006","1,419","2,215",755,"1,729","1,909","2,199","1,944","1,381","1,793","2,291","1,620",791
2020년05월_남_30~39세,"32,548","3,018","1,963","1,609","2,786","1,581","2,748",711,"1,568","1,756","2,307","2,465","1,596","2,270","2,636","1,767","1,767"
