,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년06월_계_총인구수,"126,413","4,602","12,473","2,850","30,948","1,984","1,986","1,463","8,802","2,873","3,907","8,869","10,517","11,129","10,214","13,796"
2021년06월_계_연령구간인구수,"126,413","4,602","12,473","2,850","30,948","1,984","1,986","1,463","8,802","2,873","3,907","8,869","10,517","11,129","10,214","13,796"
2021년06월_계_0~9세,"9,062",105,"1,154",67,"3,669",44,27,17,383,86,112,440,668,816,448,"1,026"
2021년06월_계_10~19세,"12,669",205,"1,427",113,"4,035",92,54,28,806,164,213,657,962,"1,361",947,"1,605"
2021년06월_계_20~29세,"10,848",289,"1,041",159,"2,707",105,83,64,863,209,262,636,937,"1,001",931,"1,561"
2021년06월_계_30~39세,"12,995",296,"1,367",141,"4,479",103,75,67,675,158,259,810,"1,045","1,058",921,"1,541"
2021년06월_계_40~49세,"20,954",526,"2,216",264,"6,568",260,160,105,"1,239",353,498,"1,296","1,544","1,909","1,473","2,543"
2021년06월_계_50~59세,"22,044",904,"2,118",494,"4,519",405,337,294,"1,628",528,790,"1,791","1,783","2,012","1,981","2,460"
2021년06월_계_60~69세,"21,041","1,079","1,691",751,"3,082",492,484,404,"1,701",669,924,"1,843","2,097","1,890","1,945","1,989"
2021년06월_계_70~79세,"11,214",712,930,522,"1,289",286,433,258,"1,043",484,577,995,"1,052",767,"1,066",800
2021년06월_계_80~89세,"4,916",428,460,300,520,180,302,196,411,190,252,359,368,280,436,234
2021년06월_계_90~99세,653,55,69,39,80,17,30,29,53,30,20,39,57,34,66,35
2021년06월_계_100세 이상,17,3,0,0,0,0,1,1,0,2,0,3,4,1,0,2
2021년06월_남_총인구수,"63,516","2,428","6,248","1,458","15,648","1,107","1,031",727,"4,382","1,398","1,928","4,503","5,044","5,467","5,252","6,895"
2021년06월_남_연령구간인구수,"63,516","2,428","6,248","1,458","15,648","1,107","1,031",727,"4,382","1,398","1,928","4,503","5,044","5,467","5,252","6,895"
2021년06월_남_0~9세,"4,560",42,553,38,"1,867",24,16,8,185,35,49,222,339,420,208,554
2021년06월_남_10~19세,"6,544",110,723,61,"2,103",54,26,14,385,77,102,333,499,716,499,842
2021년06월_남_20~29세,"6,064",174,574,99,"1,426",62,53,39,514,121,158,367,525,544,556,852
2021년06월_남_30~39세,"6,666",174,664,81,"2,172",68,44,51,366,87,145,449,556,504,508,797
2021년06월_남_40~49세,"11,256",347,"1,164",170,"3,462",175,105,62,681,208,307,774,778,967,816,"1,240"
2021년06월_남_50~59세,"11,405",532,"1,118",290,"2,354",240,220,173,837,288,410,911,799,980,"1,055","1,198"
2021년06월_남_60~69세,"10,244",586,863,368,"1,501",260,268,217,821,319,428,851,907,935,977,943
2021년06월_남_70~79세,"5,096",333,410,251,593,150,199,108,451,191,243,470,495,332,477,393
2021년06월_남_80~89세,"1,553",122,162,94,155,72,94,51,137,65,80,118,131,64,137,71
2021년06월_남_90~99세,125,8,17,6,15,2,6,4,5,7,6,8,12,5,19,5
2021년06월_남_100세 이상,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021년06월_여_총인구수,"62,897","2,174","6,225","1,392","15,300",877,955,736,"4,420","1,475","1,979","4,366","5,473","5,662","4,962","6,901"
2021년06월_여_연령구간인구수,"62,897","2,174","6,225","1,392","15,300",877,955,736,"4,420","1,475","1,979","4,366","5,473","5,662","4,962","6,901"
2021년06월_여_0~9세,"4,502",63,601,29,"1,802",20,11,9,198,51,63,218,329,396,240,472
2021년06월_여_10~19세,"6,125",95,704,52,"1,932",38,28,14,421,87,111,324,463,645,448,763
2021년06월_여_20~29세,"4,784",115,467,60,"1,281",43,30,25,349,88,104,269,412,457,375,709
2021년06월_여_30~39세,"6,329",122,703,60,"2,307",35,31,16,309,71,114,361,489,554,413,744
2021년06월_여_40~49세,"9,698",179,"1,052",94,"3,106",85,55,43,558,145,191,522,766,942,657,"1,303"
2021년06월_여_50~59세,"10,639",372,"1,000",204,"2,165",165,117,121,791,240,380,880,984,"1,032",926,"1,262"
2021년06월_여_60~69세,"10,797",493,828,383,"1,581",232,216,187,880,350,496,992,"1,190",955,968,"1,046"
2021년06월_여_70~79세,"6,118",379,520,271,696,136,234,150,592,293,334,525,557,435,589,407
2021년06월_여_80~89세,"3,363",306,298,206,365,108,208,145,274,125,172,241,237,216,299,163
2021년06월_여_90~99세,528,47,52,33,65,15,24,25,48,23,14,31,45,29,47,30
2021년06월_여_100세 이상,14,3,0,0,0,0,1,1,0,2,0,3,1,1,0,2
