,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년01월_계_총인구수,"107,978","4,541","7,607","7,809","13,747","8,646","7,861","7,813","7,062","4,641","10,093","5,055","9,572","13,531"
2021년01월_계_연령구간인구수,"107,978","4,541","7,607","7,809","13,747","8,646","7,861","7,813","7,062","4,641","10,093","5,055","9,572","13,531"
2021년01월_계_0~9세,"5,557",207,332,428,"1,114",591,619,447,98,123,494,129,326,649
2021년01월_계_10~19세,"7,296",282,514,536,"1,091",842,783,554,309,178,523,197,517,970
2021년01월_계_20~29세,"13,482",583,766,"1,202","1,729","1,019",937,"1,546",767,427,"1,397",460,899,"1,750"
2021년01월_계_30~39세,"11,123",471,649,871,"1,861",894,838,961,546,361,"1,198",455,745,"1,273"
2021년01월_계_40~49세,"14,695",597,"1,001","1,059","2,127","1,350","1,240","1,054",814,606,"1,314",595,"1,219","1,719"
2021년01월_계_50~59세,"17,924",760,"1,302","1,142","2,094","1,425","1,287","1,118","1,238",819,"1,729",932,"1,672","2,406"
2021년01월_계_60~69세,"19,178",797,"1,444","1,314","1,858","1,335","1,145","1,151","1,545",979,"1,773","1,137","2,087","2,613"
2021년01월_계_70~79세,"12,400",528,"1,039",816,"1,245",768,650,616,"1,097",747,"1,137",784,"1,485","1,488"
2021년01월_계_80~89세,"5,466",278,494,376,538,369,313,305,544,348,461,315,543,582
2021년01월_계_90~99세,734,34,62,56,85,50,45,53,75,43,53,44,67,67
2021년01월_계_100세 이상,123,4,4,9,5,3,4,8,29,10,14,7,12,14
2021년01월_남_총인구수,"52,295","2,167","3,707","3,660","6,487","3,995","3,820","3,735","3,575","2,329","4,813","2,571","4,775","6,661"
2021년01월_남_연령구간인구수,"52,295","2,167","3,707","3,660","6,487","3,995","3,820","3,735","3,575","2,329","4,813","2,571","4,775","6,661"
2021년01월_남_0~9세,"2,897",107,176,224,569,312,339,230,49,63,255,66,171,336
2021년01월_남_10~19세,"3,705",131,248,257,563,392,405,288,169,89,269,102,277,515
2021년01월_남_20~29세,"6,648",296,418,548,820,486,490,698,400,233,616,251,485,907
2021년01월_남_30~39세,"5,730",252,338,447,891,425,400,476,307,207,620,266,414,687
2021년01월_남_40~49세,"7,597",318,522,532,"1,043",628,590,523,474,361,675,352,668,911
2021년01월_남_50~59세,"9,160",387,646,561,"1,025",663,629,573,690,457,883,513,921,"1,212"
2021년01월_남_60~69세,"8,946",346,684,589,838,616,552,544,776,471,817,536,993,"1,184"
2021년01월_남_70~79세,"5,407",227,459,353,534,340,284,269,479,328,473,347,646,668
2021년01월_남_80~89세,"1,996",93,205,131,182,120,122,121,201,104,182,126,187,222
2021년01월_남_90~99세,174,10,10,16,20,13,9,10,20,13,19,10,11,13
2021년01월_남_100세 이상,35,0,1,2,2,0,0,3,10,3,4,2,2,6
2021년01월_여_총인구수,"55,683","2,374","3,900","4,149","7,260","4,651","4,041","4,078","3,487","2,312","5,280","2,484","4,797","6,870"
2021년01월_여_연령구간인구수,"55,683","2,374","3,900","4,149","7,260","4,651","4,041","4,078","3,487","2,312","5,280","2,484","4,797","6,870"
2021년01월_여_0~9세,"2,660",100,156,204,545,279,280,217,49,60,239,63,155,313
2021년01월_여_10~19세,"3,591",151,266,279,528,450,378,266,140,89,254,95,240,455
2021년01월_여_20~29세,"6,834",287,348,654,909,533,447,848,367,194,781,209,414,843
2021년01월_여_30~39세,"5,393",219,311,424,970,469,438,485,239,154,578,189,331,586
2021년01월_여_40~49세,"7,098",279,479,527,"1,084",722,650,531,340,245,639,243,551,808
2021년01월_여_50~59세,"8,764",373,656,581,"1,069",762,658,545,548,362,846,419,751,"1,194"
2021년01월_여_60~69세,"10,232",451,760,725,"1,020",719,593,607,769,508,956,601,"1,094","1,429"
2021년01월_여_70~79세,"6,993",301,580,463,711,428,366,347,618,419,664,437,839,820
2021년01월_여_80~89세,"3,470",185,289,245,356,249,191,184,343,244,279,189,356,360
2021년01월_여_90~99세,560,24,52,40,65,37,36,43,55,30,34,34,56,54
2021년01월_여_100세 이상,88,4,3,7,3,3,4,5,19,7,10,5,10,8
