카테고리,제주특별자치도 제주시,제주특별자치도 제주시 한림읍,제주특별자치도 제주시 애월읍,제주특별자치도 제주시 구좌읍,제주특별자치도 제주시 조천읍,제주특별자치도 제주시 한경면,제주특별자치도 제주시 추자면,제주특별자치도 제주시 우도면,제주특별자치도 제주시 일도1동,제주특별자치도 제주시 일도2동,제주특별자치도 제주시 이도1동,제주특별자치도 제주시 이도2동,제주특별자치도 제주시 삼도1동,제주특별자치도 제주시 삼도2동,제주특별자치도 제주시 용담1동,제주특별자치도 제주시 용담2동,제주특별자치도 제주시 건입동,제주특별자치도 제주시 화북동,제주특별자치도 제주시 삼양동,제주특별자치도 제주시 봉개동,제주특별자치도 제주시 아라동,제주특별자치도 제주시 오라동,제주특별자치도 제주시 연동,제주특별자치도 제주시 노형동,제주특별자치도 제주시 외도동,제주특별자치도 제주시 이호동,제주특별자치도 제주시 도두동
2020년01월_여_연령구간인구수,"243,813","10,369","17,489","7,545","12,056","4,485",788,888,"1,288","17,063","3,904","25,428","7,013","3,912","3,516","7,486","4,509","12,442","12,764","2,534","17,514","7,627","21,129","27,558","10,784","2,205","1,517"
2020년01월_여_0~9세,"22,814",740,"1,592",431,984,261,31,50,56,"1,467",253,"2,348",585,220,213,582,354,"1,273","1,844",256,"2,213","1,136","1,599","2,544","1,434",199,149
2020년01월_여_10~19세,"25,877",809,"1,602",556,"1,064",286,43,62,77,"1,900",361,"3,118",769,331,312,710,366,"1,449","1,470",204,"2,196",768,"2,053","3,647","1,359",203,162
2020년01월_여_20~29세,"29,628",954,"1,645",642,"1,247",345,53,83,123,"2,121",562,"3,642",815,444,422,902,514,"1,553","1,369",349,"2,314",835,"3,374","3,736","1,135",286,163
2020년01월_여_30~39세,"31,439","1,116","2,111",770,"1,467",390,42,87,109,"1,967",424,"3,436",769,414,332,778,500,"1,536","2,120",374,"2,767","1,345","2,916","3,540","1,659",275,195
2020년01월_여_40~49세,"40,839","1,548","2,948",961,"1,820",567,77,107,148,"2,637",518,"4,350","1,125",570,506,"1,058",611,"2,092","2,295",365,"3,173","1,335","3,826","5,470","2,163",334,235
2020년01월_여_50~59세,"38,539","1,709","2,893","1,165","1,989",698,108,167,223,"2,925",715,"3,908","1,063",687,646,"1,260",734,"2,066","1,616",340,"2,267","1,055","3,636","4,589","1,416",391,273
2020년01월_여_60~69세,"26,068","1,430","1,979","1,111","1,496",722,162,108,272,"2,072",498,"2,535",837,562,496,"1,016",716,"1,243","1,065",262,"1,325",573,"2,200","2,233",769,236,150
2020년01월_여_70~79세,"16,142","1,098","1,392",894,"1,072",556,141,103,175,"1,238",308,"1,282",677,408,355,706,424,699,579,206,714,331,973,"1,087",467,162,95
2020년01월_여_80~89세,"10,063",815,"1,038",844,745,543,104,96,80,614,217,661,311,220,190,379,225,421,309,141,430,187,448,567,305,96,77
2020년01월_여_90~99세,"2,258",126,279,166,168,109,27,25,19,110,44,139,57,46,40,86,60,104,96,36,105,57,101,143,76,23,16
2020년01월_여_100세 이상,146,24,10,5,4,8,0,0,6,12,4,9,5,10,4,9,5,6,1,1,10,5,3,2,1,0,2
