카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년01월_계_총인구수,"545,938","17,257","23,243","21,658","27,582","29,948","14,654","30,510","25,279","38,531","20,514","35,976","37,132","22,514","34,378","6,900","22,241","18,199","44,856","24,382","16,322","18,045","15,817"
2020년01월_계_연령구간인구수,"545,938","17,257","23,243","21,658","27,582","29,948","14,654","30,510","25,279","38,531","20,514","35,976","37,132","22,514","34,378","6,900","22,241","18,199","44,856","24,382","16,322","18,045","15,817"
2020년01월_계_0~9세,"38,734","1,045",757,"1,222","2,279","2,475",964,"2,592","2,077","2,029",814,"1,164","3,106","1,855","2,984",388,"1,656","1,161","4,971","2,385",822,"1,283",705
2020년01월_계_10~19세,"60,401","1,786",938,"1,324","2,885","2,550","1,414","3,471","5,655","6,671","2,630","1,485","5,511","2,366","4,865",622,"2,653","1,680","4,547","3,476","1,297","1,889",686
2020년01월_계_20~29세,"75,871","2,366","4,664","3,535","3,254","4,295","2,107","4,002","2,546","5,253","3,411","7,692","4,779","3,160","4,139",847,"2,991","2,679","5,386","2,680","2,390","1,990","1,705"
2020년01월_계_30~39세,"85,483","2,531","6,031","4,735","3,640","4,979","2,193","5,319","1,693","3,455","3,405","10,170","5,443","3,414","3,855",731,"2,908","2,837","7,312","3,177","2,402","2,693","2,560"
2020년01월_계_40~49세,"100,391","3,163","3,825","3,715","5,013","5,123","2,421","6,507","6,269","7,671","4,173","5,969","8,699","3,896","6,696",973,"3,697","3,023","7,711","4,673","2,276","3,156","1,742"
2020년01월_계_50~59세,"80,401","2,483","2,820","2,873","3,932","4,536","2,411","3,989","3,762","6,804","3,202","4,200","4,658","3,533","5,462","1,163","3,873","3,146","6,078","3,700","2,668","2,672","2,436"
2020년01월_계_60~69세,"58,005","1,806","2,306","2,223","3,121","3,336","1,751","2,419","1,904","3,984","1,529","2,972","2,563","2,507","3,487","1,203","2,852","2,259","4,725","2,770","2,497","2,464","3,327"
2020년01월_계_70~79세,"33,036","1,400","1,357","1,472","2,401","1,873","1,027","1,634",985,"1,966","1,027","1,669","1,735","1,251","2,046",693,"1,191","1,018","2,651","1,023","1,371","1,417","1,829"
2020년01월_계_80~89세,"11,145",577,455,460,873,609,296,482,324,565,284,543,515,434,681,215,338,321,"1,208",394,493,412,666
2020년01월_계_90~99세,"2,198",90,71,79,167,148,64,83,49,112,29,90,103,90,146,55,73,70,261,99,101,64,154
2020년01월_계_100세 이상,273,10,19,20,17,24,6,12,15,21,10,22,20,8,17,10,9,5,6,5,5,5,7
2020년01월_남_총인구수,"261,190","8,020","10,818","10,075","12,674","14,085","7,292","14,522","12,687","19,570","9,692","17,351","17,425","10,664","15,959","3,336","10,740","8,935","21,370","11,981","8,002","8,726","7,266"
2020년01월_남_연령구간인구수,"261,190","8,020","10,818","10,075","12,674","14,085","7,292","14,522","12,687","19,570","9,692","17,351","17,425","10,664","15,959","3,336","10,740","8,935","21,370","11,981","8,002","8,726","7,266"
2020년01월_남_0~9세,"20,037",539,376,624,"1,103","1,314",528,"1,378","1,142","1,110",408,578,"1,612",890,"1,540",196,824,602,"2,507","1,299",417,686,364
2020년01월_남_10~19세,"31,554",902,452,700,"1,387","1,336",831,"1,906","3,165","3,939","1,440",720,"2,617","1,089","2,157",301,"1,313",864,"2,246","1,976",733,"1,147",333
2020년01월_남_20~29세,"36,393","1,079","2,080","1,580","1,524","2,026","1,148","1,921","1,282","2,832","1,630","3,359","2,069","1,499","1,891",428,"1,502","1,375","2,591","1,395","1,234","1,058",890
2020년01월_남_30~39세,"39,126","1,109","2,805","2,106","1,563","2,169","1,042","2,225",647,"1,604","1,535","4,980","2,353","1,554","1,592",336,"1,405","1,434","3,375","1,447","1,259","1,272","1,314"
2020년01월_남_40~49세,"46,773","1,423","1,853","1,796","2,277","2,377","1,104","2,999","2,769","3,286","1,804","3,053","4,055","1,846","2,959",472,"1,655","1,463","3,830","2,159","1,156","1,523",914
2020년01월_남_50~59세,"39,994","1,223","1,363","1,393","1,916","2,112","1,156","2,021","2,095","3,565","1,591","2,181","2,522","1,694","2,775",582,"1,909","1,508","2,959","1,777","1,268","1,304","1,080"
2020년01월_남_60~69세,"26,493",818,"1,017",962,"1,338","1,545",816,"1,094",935,"1,982",696,"1,408","1,130","1,248","1,634",559,"1,354","1,055","2,095","1,288","1,113","1,018","1,388"
2020년01월_남_70~79세,"15,714",626,655,685,"1,112",897,518,740,500,999,461,807,798,641,"1,051",348,641,484,"1,289",491,650,580,741
2020년01월_남_80~89세,"4,530",271,191,200,418,265,132,217,142,227,123,239,237,172,316,101,124,134,410,133,148,126,204
2020년01월_남_90~99세,524,29,23,23,34,39,15,19,7,22,2,21,30,28,42,13,12,15,67,15,23,12,33
2020년01월_남_100세 이상,52,1,3,6,2,5,2,2,3,4,2,5,2,3,2,0,1,1,1,1,1,0,5
2020년01월_여_총인구수,"284,748","9,237","12,425","11,583","14,908","15,863","7,362","15,988","12,592","18,961","10,822","18,625","19,707","11,850","18,419","3,564","11,501","9,264","23,486","12,401","8,320","9,319","8,551"
2020년01월_여_연령구간인구수,"284,748","9,237","12,425","11,583","14,908","15,863","7,362","15,988","12,592","18,961","10,822","18,625","19,707","11,850","18,419","3,564","11,501","9,264","23,486","12,401","8,320","9,319","8,551"
2020년01월_여_0~9세,"18,697",506,381,598,"1,176","1,161",436,"1,214",935,919,406,586,"1,494",965,"1,444",192,832,559,"2,464","1,086",405,597,341
2020년01월_여_10~19세,"28,847",884,486,624,"1,498","1,214",583,"1,565","2,490","2,732","1,190",765,"2,894","1,277","2,708",321,"1,340",816,"2,301","1,500",564,742,353
2020년01월_여_20~29세,"39,478","1,287","2,584","1,955","1,730","2,269",959,"2,081","1,264","2,421","1,781","4,333","2,710","1,661","2,248",419,"1,489","1,304","2,795","1,285","1,156",932,815
2020년01월_여_30~39세,"46,357","1,422","3,226","2,629","2,077","2,810","1,151","3,094","1,046","1,851","1,870","5,190","3,090","1,860","2,263",395,"1,503","1,403","3,937","1,730","1,143","1,421","1,246"
2020년01월_여_40~49세,"53,618","1,740","1,972","1,919","2,736","2,746","1,317","3,508","3,500","4,385","2,369","2,916","4,644","2,050","3,737",501,"2,042","1,560","3,881","2,514","1,120","1,633",828
2020년01월_여_50~59세,"40,407","1,260","1,457","1,480","2,016","2,424","1,255","1,968","1,667","3,239","1,611","2,019","2,136","1,839","2,687",581,"1,964","1,638","3,119","1,923","1,400","1,368","1,356"
2020년01월_여_60~69세,"31,512",988,"1,289","1,261","1,783","1,791",935,"1,325",969,"2,002",833,"1,564","1,433","1,259","1,853",644,"1,498","1,204","2,630","1,482","1,384","1,446","1,939"
2020년01월_여_70~79세,"17,322",774,702,787,"1,289",976,509,894,485,967,566,862,937,610,995,345,550,534,"1,362",532,721,837,"1,088"
2020년01월_여_80~89세,"6,615",306,264,260,455,344,164,265,182,338,161,304,278,262,365,114,214,187,798,261,345,286,462
2020년01월_여_90~99세,"1,674",61,48,56,133,109,49,64,42,90,27,69,73,62,104,42,61,55,194,84,78,52,121
2020년01월_여_100세 이상,221,9,16,14,15,19,4,10,12,17,8,17,18,5,15,10,8,4,5,4,4,5,2
