카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년02월_계_총인구수,"81,301","30,171","25,177",0,"3,240","3,610","2,092","6,292","10,719"
2020년02월_계_연령구간인구수,"81,301","30,171","25,177",0,"3,240","3,610","2,092","6,292","10,719"
2020년02월_계_0~9세,"7,712","2,445","3,945",0,85,141,59,249,788
2020년02월_계_10~19세,"7,877","3,329","2,552",0,192,148,73,423,"1,160"
2020년02월_계_20~29세,"8,937","3,808","2,688",0,210,297,112,563,"1,259"
2020년02월_계_30~39세,"11,327","3,431","5,444",0,197,276,120,518,"1,341"
2020년02월_계_40~49세,"13,122","5,097","4,472",0,327,373,184,752,"1,917"
2020년02월_계_50~59세,"13,464","5,291","2,997",0,636,788,411,"1,293","2,048"
2020년02월_계_60~69세,"9,590","3,483","1,702",0,716,754,503,"1,229","1,203"
2020년02월_계_70~79세,"5,455","2,013",821,0,477,475,348,707,614
2020년02월_계_80~89세,"3,363","1,125",492,0,363,316,246,484,337
2020년02월_계_90~99세,436,144,60,0,37,42,34,67,52
2020년02월_계_100세 이상,18,5,4,0,0,0,2,7,0
2020년02월_남_총인구수,"42,535","15,487","13,282",0,"1,644","1,906","1,055","3,328","5,833"
2020년02월_남_연령구간인구수,"42,535","15,487","13,282",0,"1,644","1,906","1,055","3,328","5,833"
2020년02월_남_0~9세,"3,972","1,272","2,018",0,41,71,25,129,416
2020년02월_남_10~19세,"4,134","1,753","1,292",0,97,73,46,224,649
2020년02월_남_20~29세,"5,152","2,177","1,519",0,118,172,65,355,746
2020년02월_남_30~39세,"6,174","1,801","2,925",0,121,166,69,309,783
2020년02월_남_40~49세,"7,188","2,674","2,495",0,194,236,106,437,"1,046"
2020년02월_남_50~59세,"7,334","2,820","1,621",0,373,438,235,715,"1,132"
2020년02월_남_60~69세,"4,893","1,677",852,0,370,411,256,668,659
2020년02월_남_70~79세,"2,481",906,367,0,220,231,158,326,273
2020년02월_남_80~89세,"1,118",378,176,0,103,97,90,155,119
2020년02월_남_90~99세,84,27,17,0,7,11,5,7,10
2020년02월_남_100세 이상,5,2,0,0,0,0,0,3,0
2020년02월_여_총인구수,"38,766","14,684","11,895",0,"1,596","1,704","1,037","2,964","4,886"
2020년02월_여_연령구간인구수,"38,766","14,684","11,895",0,"1,596","1,704","1,037","2,964","4,886"
2020년02월_여_0~9세,"3,740","1,173","1,927",0,44,70,34,120,372
2020년02월_여_10~19세,"3,743","1,576","1,260",0,95,75,27,199,511
2020년02월_여_20~29세,"3,785","1,631","1,169",0,92,125,47,208,513
2020년02월_여_30~39세,"5,153","1,630","2,519",0,76,110,51,209,558
2020년02월_여_40~49세,"5,934","2,423","1,977",0,133,137,78,315,871
2020년02월_여_50~59세,"6,130","2,471","1,376",0,263,350,176,578,916
2020년02월_여_60~69세,"4,697","1,806",850,0,346,343,247,561,544
2020년02월_여_70~79세,"2,974","1,107",454,0,257,244,190,381,341
2020년02월_여_80~89세,"2,245",747,316,0,260,219,156,329,218
2020년02월_여_90~99세,352,117,43,0,30,31,29,60,42
2020년02월_여_100세 이상,13,3,4,0,0,0,2,4,0
