,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년09월_계_총인구수,"283,312","7,607","19,639","1,443","2,575","1,076","3,764","2,513",950,"17,257","3,431","3,540","2,729","2,723","8,564","9,397","11,631","14,688","21,015","4,440","12,049","4,388","34,845","49,228","20,831","22,989"
2021년09월_계_연령구간인구수,"283,312","7,607","19,639","1,443","2,575","1,076","3,764","2,513",950,"17,257","3,431","3,540","2,729","2,723","8,564","9,397","11,631","14,688","21,015","4,440","12,049","4,388","34,845","49,228","20,831","22,989"
2021년09월_계_0~9세,"20,894",329,"2,026",27,99,19,100,68,14,"1,350",71,100,83,145,893,721,494,"1,260","1,714",317,393,139,"2,309","4,248","1,750","2,225"
2021년09월_계_10~19세,"26,576",449,"2,469",57,134,27,180,138,20,"1,711",153,159,120,147,644,754,833,"1,407","1,914",371,647,224,"4,255","5,757","1,731","2,275"
2021년09월_계_20~29세,"37,399",725,"1,939",112,241,46,230,171,31,"2,126",220,899,340,338,998,"1,190","1,836","2,140","2,630",519,"2,820",967,"5,065","6,368","2,605","2,843"
2021년09월_계_30~39세,"34,048",648,"2,293",92,189,51,220,114,37,"2,300",236,417,294,300,"1,421","1,184","1,350","2,055","2,707",468,"1,323",577,"3,622","6,079","2,989","3,082"
2021년09월_계_40~49세,"41,860",861,"3,595",112,242,86,333,209,59,"2,821",343,366,346,330,"1,143","1,329","1,483","2,123","3,062",652,"1,374",458,"5,662","8,230","3,079","3,562"
2021년09월_계_50~59세,"46,588","1,399","3,027",229,491,201,659,445,189,"2,796",654,485,462,468,"1,187","1,607","1,889","2,322","3,424",744,"1,787",655,"6,239","8,283","3,443","3,503"
2021년09월_계_60~69세,"41,049","1,561","2,632",432,641,299,996,703,299,"2,394",925,518,499,461,"1,137","1,370","1,973","1,784","3,047",703,"1,804",685,"4,228","5,953","3,039","2,966"
2021년09월_계_70~79세,"20,541",895,989,202,280,196,574,372,188,"1,031",491,366,330,316,658,756,"1,053",931,"1,496",385,"1,122",383,"2,087","2,520","1,393","1,527"
