카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년04월_계_총인구수,"23,534","8,292","2,284","3,817","2,037","2,080","2,449","1,209","1,366"
2020년04월_계_연령구간인구수,"23,534","8,292","2,284","3,817","2,037","2,080","2,449","1,209","1,366"
2020년04월_계_0~9세,724,452,35,94,38,25,45,17,18
2020년04월_계_10~19세,"1,006",598,51,137,55,53,67,24,21
2020년04월_계_20~29세,"1,597",734,111,276,141,124,113,31,67
2020년04월_계_30~39세,"1,419",694,111,193,97,93,118,58,55
2020년04월_계_40~49세,"2,257","1,111",150,324,158,162,184,82,86
2020년04월_계_50~59세,"4,411","1,528",445,744,410,375,421,220,268
2020년04월_계_60~69세,"5,171","1,422",525,935,496,501,596,307,389
2020년04월_계_70~79세,"4,046","1,053",459,681,367,417,513,270,286
2020년04월_계_80~89세,"2,579",613,349,399,239,300,349,179,151
2020년04월_계_90~99세,310,80,46,33,36,27,42,21,25
2020년04월_계_100세 이상,14,7,2,1,0,3,1,0,0
2020년04월_남_총인구수,"12,018","4,295","1,161","1,960","1,040","1,041","1,187",615,719
2020년04월_남_연령구간인구수,"12,018","4,295","1,161","1,960","1,040","1,041","1,187",615,719
2020년04월_남_0~9세,391,250,17,50,23,13,14,12,12
2020년04월_남_10~19세,548,331,28,63,36,28,37,12,13
2020년04월_남_20~29세,973,445,65,173,90,73,67,20,40
2020년04월_남_30~39세,795,372,63,99,60,56,68,40,37
2020년04월_남_40~49세,"1,340",607,100,205,94,106,120,56,52
2020년04월_남_50~59세,"2,478",842,254,415,234,207,232,138,156
2020년04월_남_60~69세,"2,692",726,277,504,250,262,292,157,224
2020년04월_남_70~79세,"1,852",488,212,317,161,190,229,119,136
2020년04월_남_80~89세,885,215,134,128,84,99,120,57,48
2020년04월_남_90~99세,63,18,11,6,8,7,8,4,1
2020년04월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년04월_여_총인구수,"11,516","3,997","1,123","1,857",997,"1,039","1,262",594,647
2020년04월_여_연령구간인구수,"11,516","3,997","1,123","1,857",997,"1,039","1,262",594,647
2020년04월_여_0~9세,333,202,18,44,15,12,31,5,6
2020년04월_여_10~19세,458,267,23,74,19,25,30,12,8
2020년04월_여_20~29세,624,289,46,103,51,51,46,11,27
2020년04월_여_30~39세,624,322,48,94,37,37,50,18,18
2020년04월_여_40~49세,917,504,50,119,64,56,64,26,34
2020년04월_여_50~59세,"1,933",686,191,329,176,168,189,82,112
2020년04월_여_60~69세,"2,479",696,248,431,246,239,304,150,165
2020년04월_여_70~79세,"2,194",565,247,364,206,227,284,151,150
2020년04월_여_80~89세,"1,694",398,215,271,155,201,229,122,103
2020년04월_여_90~99세,247,62,35,27,28,20,34,17,24
2020년04월_여_100세 이상,13,6,2,1,0,3,1,0,0
