카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년06월_계_총인구수,"25,509","10,179",829,"1,070","1,410",881,"1,976","1,786","1,874","2,903","1,094","1,507"
2020년06월_계_연령구간인구수,"25,509","10,179",829,"1,070","1,410",881,"1,976","1,786","1,874","2,903","1,094","1,507"
2020년06월_계_0~9세,"1,352",725,16,51,67,35,83,78,59,139,60,39
2020년06월_계_10~19세,"1,672",844,26,66,83,39,90,84,90,222,60,68
2020년06월_계_20~29세,"1,982",939,38,64,70,54,156,128,146,235,70,82
2020년06월_계_30~39세,"1,739",883,37,54,63,63,108,96,101,196,83,55
2020년06월_계_40~49세,"2,820","1,367",66,87,127,82,200,182,155,319,97,138
2020년06월_계_50~59세,"4,596","1,717",180,205,259,169,357,313,340,564,212,280
2020년06월_계_60~69세,"4,712","1,557",212,207,292,196,398,372,373,582,212,311
2020년06월_계_70~79세,"3,823","1,242",161,182,243,138,319,310,353,395,163,317
2020년06월_계_80~89세,"2,424",791,80,133,168,98,229,192,222,209,117,185
2020년06월_계_90~99세,362,105,11,21,35,7,34,25,32,41,19,32
2020년06월_계_100세 이상,27,9,2,0,3,0,2,6,3,1,1,0
2020년06월_남_총인구수,"12,876","5,114",417,519,669,451,"1,021",895,917,"1,520",575,778
2020년06월_남_연령구간인구수,"12,876","5,114",417,519,669,451,"1,021",895,917,"1,520",575,778
2020년06월_남_0~9세,678,356,7,23,29,15,45,41,31,75,33,23
2020년06월_남_10~19세,884,430,16,35,39,20,53,46,49,124,34,38
2020년06월_남_20~29세,"1,124",534,23,36,46,33,87,64,67,144,45,45
2020년06월_남_30~39세,842,401,23,27,25,32,67,42,45,95,50,35
2020년06월_남_40~49세,"1,651",777,41,47,65,47,130,116,99,183,58,88
2020년06월_남_50~59세,"2,596",956,99,108,143,95,206,186,198,325,107,173
2020년06월_남_60~69세,"2,469",821,108,110,156,105,196,198,186,309,119,161
2020년06월_남_70~79세,"1,742",547,73,81,111,68,151,143,154,193,79,142
2020년06월_남_80~89세,790,257,24,47,44,34,82,52,78,62,44,66
2020년06월_남_90~99세,91,31,2,5,10,2,4,5,9,10,6,7
2020년06월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년06월_여_총인구수,"12,633","5,065",412,551,741,430,955,891,957,"1,383",519,729
2020년06월_여_연령구간인구수,"12,633","5,065",412,551,741,430,955,891,957,"1,383",519,729
2020년06월_여_0~9세,674,369,9,28,38,20,38,37,28,64,27,16
2020년06월_여_10~19세,788,414,10,31,44,19,37,38,41,98,26,30
2020년06월_여_20~29세,858,405,15,28,24,21,69,64,79,91,25,37
2020년06월_여_30~39세,897,482,14,27,38,31,41,54,56,101,33,20
2020년06월_여_40~49세,"1,169",590,25,40,62,35,70,66,56,136,39,50
2020년06월_여_50~59세,"2,000",761,81,97,116,74,151,127,142,239,105,107
2020년06월_여_60~69세,"2,243",736,104,97,136,91,202,174,187,273,93,150
2020년06월_여_70~79세,"2,081",695,88,101,132,70,168,167,199,202,84,175
2020년06월_여_80~89세,"1,634",534,56,86,124,64,147,140,144,147,73,119
2020년06월_여_90~99세,271,74,9,16,25,5,30,20,23,31,13,25
2020년06월_여_100세 이상,18,5,1,0,2,0,2,4,2,1,1,0
