,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년09월_계_총인구수,"3,358,763","40,708","105,813","87,595","111,210","354,924","267,425","263,262","283,937","397,918","306,843","229,350","142,104","205,676","175,799","209,410","176,789"
2021년09월_계_연령구간인구수,"3,358,763","40,708","105,813","87,595","111,210","354,924","267,425","263,262","283,937","397,918","306,843","229,350","142,104","205,676","175,799","209,410","176,789"
2021년09월_계_0~9세,"222,742","1,180","5,390","4,002","4,963","20,409","18,835","16,929","18,610","27,468","18,649","12,389","19,871","13,883","10,027","11,562","18,575"
2021년09월_계_10~19세,"267,044","1,911","7,159","4,859","7,112","24,280","24,602","22,606","22,645","37,127","24,673","17,255","12,659","16,200","11,507","14,546","17,903"
2021년09월_계_20~29세,"420,631","5,832","13,228","10,260","11,634","51,768","31,650","34,568","36,260","47,441","38,656","32,471","12,715","25,016","23,996","28,126","17,010"
2021년09월_계_30~39세,"408,295","4,523","10,678","10,347","10,327","47,325","31,890","28,586","33,752","45,595","35,268","24,511","27,103","25,958","23,603","24,479","24,350"
2021년09월_계_40~49세,"503,507","5,176","14,260","11,587","14,700","50,377","42,462","40,735","39,976","64,512","44,932","31,395","25,451","31,319","25,115","28,628","32,882"
2021년09월_계_50~59세,"555,964","6,800","17,197","14,268","18,704","56,913","43,490","42,248","52,677","69,414","53,367","39,241","17,058","33,342","27,164","39,312","24,769"
2021년09월_계_60~69세,"546,976","7,877","19,348","16,126","22,393","57,198","41,920","41,385","48,209","59,856","53,017","39,768","16,880","33,301","29,113","38,259","22,326"
2021년09월_계_70~79세,"296,080","4,943","12,223","10,646","14,505","31,563","22,672","25,019","21,969","31,036","26,698","21,828","7,084","18,373","17,219","17,559","12,743"
2021년09월_계_80~89세,"121,655","2,126","5,606","4,846","6,121","13,534","8,753","9,960","8,718","13,585","10,200","9,231","2,797","7,380","7,114","6,237","5,447"
2021년09월_계_90~99세,"15,114",322,696,584,697,"1,496","1,084","1,159","1,085","1,810","1,340","1,195",463,864,907,657,755
2021년09월_계_100세 이상,755,18,28,70,54,61,67,67,36,74,43,66,23,40,34,45,29
2021년09월_남_총인구수,"1,643,690","19,863","51,212","42,854","54,786","171,079","130,024","128,663","140,255","191,304","152,726","112,095","73,623","99,000","83,017","105,690","87,499"
2021년09월_남_연령구간인구수,"1,643,690","19,863","51,212","42,854","54,786","171,079","130,024","128,663","140,255","191,304","152,726","112,095","73,623","99,000","83,017","105,690","87,499"
2021년09월_남_0~9세,"114,306",621,"2,825","2,119","2,525","10,331","9,732","8,605","9,579","14,184","9,594","6,348","10,300","6,994","5,151","5,920","9,478"
2021년09월_남_10~19세,"137,532",948,"3,647","2,516","3,629","12,288","12,786","11,650","11,781","19,125","12,738","8,889","6,451","8,333","5,915","7,557","9,279"
2021년09월_남_20~29세,"218,348","2,833","6,439","5,163","6,397","25,081","16,515","18,288","19,416","24,721","20,731","17,520","6,939","12,707","11,588","14,987","9,023"
