카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년08월_계_총인구수,"175,272","13,865","7,402","5,384","3,363","8,125","14,875","9,531","5,155","7,457","6,437","19,565","19,187","9,024","16,333","29,569"
2020년08월_계_연령구간인구수,"175,272","13,865","7,402","5,384","3,363","8,125","14,875","9,531","5,155","7,457","6,437","19,565","19,187","9,024","16,333","29,569"
2020년08월_계_0~9세,"15,680",747,546,122,64,645,"2,799",568,145,275,403,"1,790","1,805",616,"1,469","3,686"
2020년08월_계_10~19세,"17,334","1,101",712,218,113,737,"1,119",795,280,463,512,"2,111","2,374",910,"2,016","3,873"
2020년08월_계_20~29세,"19,151","1,860",638,285,173,661,"1,623",869,291,742,577,"2,626","2,234","1,121","2,024","3,427"
2020년08월_계_30~39세,"22,340","1,505",686,275,154,982,"3,807",878,276,497,596,"2,795","2,286",914,"2,062","4,627"
2020년08월_계_40~49세,"27,880","2,012","1,133",501,303,"1,247","2,179","1,436",564,889,910,"3,332","3,531","1,478","2,915","5,450"
2020년08월_계_50~59세,"28,244","3,109","1,293",906,606,"1,345","1,556","1,682",906,"1,357",838,"3,187","3,186","1,551","2,567","4,155"
2020년08월_계_60~69세,"21,468","1,845","1,062","1,296",838,"1,186",927,"1,480","1,089","1,405","1,078","1,988","1,959","1,296","1,717","2,302"
2020년08월_계_70~79세,"13,841",982,743,"1,030",672,771,505,"1,035",927,"1,131",844,"1,070","1,146",749,979,"1,257"
2020년08월_계_80~89세,"8,090",612,514,667,385,472,317,703,594,611,589,559,570,323,505,669
2020년08월_계_90~99세,"1,183",89,71,83,51,79,40,81,81,83,84,97,88,59,77,120
2020년08월_계_100세 이상,61,3,4,1,4,0,3,4,2,4,6,10,8,7,2,3
2020년08월_남_총인구수,"91,076","7,981","3,775","2,746","1,712","4,351","7,769","4,897","2,606","3,856","3,327","10,132","9,989","4,581","8,241","15,113"
2020년08월_남_연령구간인구수,"91,076","7,981","3,775","2,746","1,712","4,351","7,769","4,897","2,606","3,856","3,327","10,132","9,989","4,581","8,241","15,113"
2020년08월_남_0~9세,"8,068",392,288,57,37,321,"1,457",288,77,146,220,954,927,318,733,"1,853"
2020년08월_남_10~19세,"9,204",592,379,120,56,388,547,435,146,259,272,"1,104","1,401",475,982,"2,048"
2020년08월_남_20~29세,"11,296","1,274",381,176,107,417,899,514,176,447,371,"1,482","1,315",648,"1,134","1,955"
2020년08월_남_30~39세,"12,327","1,001",357,171,89,608,"2,040",474,154,299,349,"1,552","1,221",505,"1,142","2,365"
2020년08월_남_40~49세,"14,893","1,176",595,323,188,731,"1,200",803,345,520,532,"1,729","1,758",767,"1,467","2,759"
2020년08월_남_50~59세,"15,081","1,855",721,481,342,720,805,897,504,724,444,"1,642","1,655",797,"1,328","2,166"
2020년08월_남_60~69세,"10,684","1,010",532,659,418,623,477,739,523,710,515,957,945,610,830,"1,136"
2020년08월_남_70~79세,"6,453",466,335,496,333,362,233,486,453,526,377,485,541,326,440,594
2020년08월_남_80~89세,"2,827",189,170,245,130,169,105,249,213,212,227,208,207,118,169,216
2020년08월_남_90~99세,234,26,17,18,10,12,5,12,14,13,19,19,17,16,16,20
2020년08월_남_100세 이상,9,0,0,0,2,0,1,0,1,0,1,0,2,1,0,1
2020년08월_여_총인구수,"84,196","5,884","3,627","2,638","1,651","3,774","7,106","4,634","2,549","3,601","3,110","9,433","9,198","4,443","8,092","14,456"
2020년08월_여_연령구간인구수,"84,196","5,884","3,627","2,638","1,651","3,774","7,106","4,634","2,549","3,601","3,110","9,433","9,198","4,443","8,092","14,456"
2020년08월_여_0~9세,"7,612",355,258,65,27,324,"1,342",280,68,129,183,836,878,298,736,"1,833"
2020년08월_여_10~19세,"8,130",509,333,98,57,349,572,360,134,204,240,"1,007",973,435,"1,034","1,825"
2020년08월_여_20~29세,"7,855",586,257,109,66,244,724,355,115,295,206,"1,144",919,473,890,"1,472"
2020년08월_여_30~39세,"10,013",504,329,104,65,374,"1,767",404,122,198,247,"1,243","1,065",409,920,"2,262"
2020년08월_여_40~49세,"12,987",836,538,178,115,516,979,633,219,369,378,"1,603","1,773",711,"1,448","2,691"
2020년08월_여_50~59세,"13,163","1,254",572,425,264,625,751,785,402,633,394,"1,545","1,531",754,"1,239","1,989"
2020년08월_여_60~69세,"10,784",835,530,637,420,563,450,741,566,695,563,"1,031","1,014",686,887,"1,166"
2020년08월_여_70~79세,"7,388",516,408,534,339,409,272,549,474,605,467,585,605,423,539,663
2020년08월_여_80~89세,"5,263",423,344,422,255,303,212,454,381,399,362,351,363,205,336,453
2020년08월_여_90~99세,949,63,54,65,41,67,35,69,67,70,65,78,71,43,61,100
2020년08월_여_100세 이상,52,3,4,1,2,0,2,4,1,4,5,10,6,6,2,2
