,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년12월_계_총인구수,"30,440","9,914","2,104","2,215","3,560","1,504","1,895","2,277","2,713","2,178","2,080"
2021년12월_계_연령구간인구수,"30,440","9,914","2,104","2,215","3,560","1,504","1,895","2,277","2,713","2,178","2,080"
2021년12월_계_0~9세,"1,175",608,47,66,131,38,49,76,72,44,44
2021년12월_계_10~19세,"1,936",932,85,83,264,82,98,99,100,106,87
2021년12월_계_20~29세,"2,513","1,216",137,149,320,86,99,117,169,118,102
2021년12월_계_30~39세,"1,936",872,91,94,254,69,105,94,131,105,121
2021년12월_계_40~49세,"2,950","1,218",158,208,376,119,155,189,189,180,158
2021년12월_계_50~59세,"5,057","1,669",335,409,602,285,293,344,452,316,352
2021년12월_계_60~69세,"6,548","1,652",509,553,723,350,463,556,649,550,543
2021년12월_계_70~79세,"4,435","1,013",361,336,491,237,337,446,469,390,355
2021년12월_계_80~89세,"3,387",619,336,276,353,209,257,319,421,316,281
2021년12월_계_90~99세,494,112,45,40,46,29,38,37,61,51,35
2021년12월_계_100세 이상,9,3,0,1,0,0,1,0,0,2,2
2021년12월_남_총인구수,"15,472","5,010","1,058","1,156","1,862",789,981,"1,159","1,348","1,092","1,017"
2021년12월_남_연령구간인구수,"15,472","5,010","1,058","1,156","1,862",789,981,"1,159","1,348","1,092","1,017"
2021년12월_남_0~9세,604,316,23,34,65,24,26,39,37,22,18
2021년12월_남_10~19세,"1,017",474,53,45,145,49,51,47,56,50,47
2021년12월_남_20~29세,"1,486",693,85,88,208,54,65,61,98,74,60
2021년12월_남_30~39세,"1,090",459,56,56,150,38,66,56,75,66,68
2021년12월_남_40~49세,"1,711",638,91,130,213,70,103,137,115,113,101
2021년12월_남_50~59세,"2,797",892,174,235,327,170,179,201,261,171,187
2021년12월_남_60~69세,"3,367",803,278,291,386,190,240,283,344,276,276
2021년12월_남_70~79세,"2,059",487,165,169,225,111,159,199,203,185,156
2021년12월_남_80~89세,"1,204",217,122,101,122,77,81,126,143,118,97
2021년12월_남_90~99세,134,29,11,7,21,6,10,10,16,17,7
2021년12월_남_100세 이상,3,2,0,0,0,0,1,0,0,0,0
2021년12월_여_총인구수,"14,968","4,904","1,046","1,059","1,698",715,914,"1,118","1,365","1,086","1,063"
2021년12월_여_연령구간인구수,"14,968","4,904","1,046","1,059","1,698",715,914,"1,118","1,365","1,086","1,063"
2021년12월_여_0~9세,571,292,24,32,66,14,23,37,35,22,26
2021년12월_여_10~19세,919,458,32,38,119,33,47,52,44,56,40
2021년12월_여_20~29세,"1,027",523,52,61,112,32,34,56,71,44,42
2021년12월_여_30~39세,846,413,35,38,104,31,39,38,56,39,53
2021년12월_여_40~49세,"1,239",580,67,78,163,49,52,52,74,67,57
2021년12월_여_50~59세,"2,260",777,161,174,275,115,114,143,191,145,165
2021년12월_여_60~69세,"3,181",849,231,262,337,160,223,273,305,274,267
2021년12월_여_70~79세,"2,376",526,196,167,266,126,178,247,266,205,199
2021년12월_여_80~89세,"2,183",402,214,175,231,132,176,193,278,198,184
2021년12월_여_90~99세,360,83,34,33,25,23,28,27,45,34,28
2021년12월_여_100세 이상,6,1,0,1,0,0,0,0,0,2,2
