카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년12월_계_총인구수,"31,361","10,077","1,433","1,883","2,594","8,445","1,941","1,591","3,397"
2020년12월_계_연령구간인구수,"31,361","10,077","1,433","1,883","2,594","8,445","1,941","1,591","3,397"
2020년12월_계_0~9세,"1,418",598,33,48,63,493,42,32,109
2020년12월_계_10~19세,"2,041",912,45,51,80,768,33,47,105
2020년12월_계_20~29세,"2,541",969,92,123,206,756,134,70,191
2020년12월_계_30~39세,"2,265",812,63,112,171,751,111,74,171
2020년12월_계_40~49세,"3,822","1,536",102,149,247,"1,229",147,141,271
2020년12월_계_50~59세,"5,899","1,838",261,345,563,"1,597",406,281,608
2020년12월_계_60~69세,"6,267","1,665",356,448,602,"1,524",466,366,840
2020년12월_계_70~79세,"4,109","1,078",239,343,380,849,342,310,568
2020년12월_계_80~89세,"2,674",598,216,235,249,438,226,248,464
2020년12월_계_90~99세,314,68,24,28,32,40,34,21,67
2020년12월_계_100세 이상,11,3,2,1,1,0,0,1,3
2020년12월_남_총인구수,"16,074","5,068",708,940,"1,423","4,388","1,034",822,"1,691"
2020년12월_남_연령구간인구수,"16,074","5,068",708,940,"1,423","4,388","1,034",822,"1,691"
2020년12월_남_0~9세,728,319,17,22,26,249,23,17,55
2020년12월_남_10~19세,"1,091",490,23,29,41,411,19,20,58
2020년12월_남_20~29세,"1,478",563,50,69,125,433,82,49,107
2020년12월_남_30~39세,"1,244",415,40,65,110,402,69,49,94
2020년12월_남_40~49세,"2,148",796,58,93,166,668,100,93,174
2020년12월_남_50~59세,"3,320","1,011",139,189,328,890,254,167,342
2020년12월_남_60~69세,"3,285",816,202,235,344,791,257,188,452
2020년12월_남_70~79세,"1,821",448,95,154,183,382,158,151,250
2020년12월_남_80~89세,879,198,76,76,91,151,62,83,142
2020년12월_남_90~99세,75,11,7,7,9,11,10,4,16
2020년12월_남_100세 이상,5,1,1,1,0,0,0,1,1
2020년12월_여_총인구수,"15,287","5,009",725,943,"1,171","4,057",907,769,"1,706"
2020년12월_여_연령구간인구수,"15,287","5,009",725,943,"1,171","4,057",907,769,"1,706"
2020년12월_여_0~9세,690,279,16,26,37,244,19,15,54
2020년12월_여_10~19세,950,422,22,22,39,357,14,27,47
2020년12월_여_20~29세,"1,063",406,42,54,81,323,52,21,84
2020년12월_여_30~39세,"1,021",397,23,47,61,349,42,25,77
2020년12월_여_40~49세,"1,674",740,44,56,81,561,47,48,97
2020년12월_여_50~59세,"2,579",827,122,156,235,707,152,114,266
2020년12월_여_60~69세,"2,982",849,154,213,258,733,209,178,388
2020년12월_여_70~79세,"2,288",630,144,189,197,467,184,159,318
2020년12월_여_80~89세,"1,795",400,140,159,158,287,164,165,322
2020년12월_여_90~99세,239,57,17,21,23,29,24,17,51
2020년12월_여_100세 이상,6,2,1,0,1,0,0,0,2
