카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년09월_계_총인구수,"106,951","5,382","4,224","2,819","2,078","2,774","1,758","1,772","2,056","2,529","3,364","2,790","1,656","2,300","1,197","2,097","17,173","2,967","20,420","3,235","10,278","6,077","4,071","3,934"
2021년09월_계_연령구간인구수,"106,951","5,382","4,224","2,819","2,078","2,774","1,758","1,772","2,056","2,529","3,364","2,790","1,656","2,300","1,197","2,097","17,173","2,967","20,420","3,235","10,278","6,077","4,071","3,934"
2021년09월_계_0~9세,"5,953",225,166,57,59,70,47,34,36,72,64,61,45,77,27,58,"1,330",142,"1,535",150,929,464,183,122
2021년09월_계_10~19세,"9,365",346,270,135,79,113,71,98,91,105,143,63,67,141,50,87,"1,929",273,"2,700",247,"1,318",514,304,221
2021년09월_계_20~29세,"10,297",366,368,179,109,149,103,127,113,147,223,129,76,142,64,111,"2,149",322,"2,439",328,"1,208",605,404,436
2021년09월_계_30~39세,"8,480",347,295,135,118,180,85,82,95,141,160,162,100,106,46,98,"1,856",231,"1,787",231,"1,016",609,284,316
2021년09월_계_40~49세,"14,205",594,451,232,167,253,146,175,171,212,309,212,140,229,78,182,"3,009",463,"3,357",350,"1,678",921,467,409
2021년09월_계_50~59세,"18,146",861,821,523,348,433,245,324,323,445,546,419,255,399,233,359,"3,025",540,"3,400",520,"1,710",969,762,686
2021년09월_계_60~69세,"17,676","1,035",831,619,427,627,392,378,443,547,739,685,359,448,287,459,"2,050",429,"2,631",635,"1,245",909,780,721
2021년09월_계_70~79세,"13,128",936,565,478,400,515,363,297,395,460,600,588,320,400,234,403,"1,175",329,"1,632",488,774,716,509,551
2021년09월_계_80~89세,"8,421",590,396,405,334,376,261,214,337,349,500,405,247,314,156,298,574,211,818,238,365,304,332,397
2021년09월_계_90~99세,"1,219",78,56,54,36,56,44,42,51,49,77,61,45,41,20,42,68,26,117,48,34,64,40,70
2021년09월_계_100세 이상,61,4,5,2,1,2,1,1,1,2,3,5,2,3,2,0,8,1,4,0,1,2,6,5
2021년09월_남_총인구수,"53,127","2,643","2,143","1,414","1,076","1,383",868,892,"1,019","1,273","1,678","1,405",842,"1,181",607,"1,053","8,697","1,448","9,847","1,565","5,080","3,034","1,950","2,029"
2021년09월_남_연령구간인구수,"53,127","2,643","2,143","1,414","1,076","1,383",868,892,"1,019","1,273","1,678","1,405",842,"1,181",607,"1,053","8,697","1,448","9,847","1,565","5,080","3,034","1,950","2,029"
2021년09월_남_0~9세,"3,052",108,74,31,34,32,27,16,20,42,37,38,22,32,14,27,674,68,783,80,507,233,86,67
2021년09월_남_10~19세,"4,974",205,142,79,45,55,38,57,62,48,81,40,36,90,28,39,"1,039",132,"1,349",125,736,265,162,121
2021년09월_남_20~29세,"5,715",207,215,108,70,99,55,73,71,94,126,70,42,88,38,55,"1,208",169,"1,284",194,666,322,220,241
2021년09월_남_30~39세,"4,525",205,166,77,70,117,55,57,57,78,104,101,68,71,31,59,973,113,872,109,497,316,142,187
2021년09월_남_40~49세,"7,461",341,253,141,109,171,94,104,110,137,197,147,95,134,46,115,"1,529",243,"1,557",192,779,491,246,230
2021년09월_남_50~59세,"9,774",469,455,308,215,252,143,183,191,266,318,250,151,243,138,234,"1,585",286,"1,707",257,824,510,397,392
2021년09월_남_60~69세,"8,837",520,441,327,222,320,206,196,229,288,372,337,185,244,164,239,999,227,"1,250",285,595,435,375,381
2021년09월_남_70~79세,"5,734",388,262,202,189,216,160,136,171,198,252,283,144,170,95,178,502,135,736,208,330,323,210,246
2021년09월_남_80~89세,"2,792",178,128,132,112,111,84,58,95,113,164,126,90,105,50,96,175,72,288,102,141,127,99,146
2021년09월_남_90~99세,253,22,7,9,10,9,6,12,13,9,25,13,9,4,2,11,13,3,19,13,5,11,11,17
2021년09월_남_100세 이상,10,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,2,1
2021년09월_여_총인구수,"53,824","2,739","2,081","1,405","1,002","1,391",890,880,"1,037","1,256","1,686","1,385",814,"1,119",590,"1,044","8,476","1,519","10,573","1,670","5,198","3,043","2,121","1,905"
2021년09월_여_연령구간인구수,"53,824","2,739","2,081","1,405","1,002","1,391",890,880,"1,037","1,256","1,686","1,385",814,"1,119",590,"1,044","8,476","1,519","10,573","1,670","5,198","3,043","2,121","1,905"
2021년09월_여_0~9세,"2,901",117,92,26,25,38,20,18,16,30,27,23,23,45,13,31,656,74,752,70,422,231,97,55
2021년09월_여_10~19세,"4,391",141,128,56,34,58,33,41,29,57,62,23,31,51,22,48,890,141,"1,351",122,582,249,142,100
2021년09월_여_20~29세,"4,582",159,153,71,39,50,48,54,42,53,97,59,34,54,26,56,941,153,"1,155",134,542,283,184,195
2021년09월_여_30~39세,"3,955",142,129,58,48,63,30,25,38,63,56,61,32,35,15,39,883,118,915,122,519,293,142,129
2021년09월_여_40~49세,"6,744",253,198,91,58,82,52,71,61,75,112,65,45,95,32,67,"1,480",220,"1,800",158,899,430,221,179
2021년09월_여_50~59세,"8,372",392,366,215,133,181,102,141,132,179,228,169,104,156,95,125,"1,440",254,"1,693",263,886,459,365,294
2021년09월_여_60~69세,"8,839",515,390,292,205,307,186,182,214,259,367,348,174,204,123,220,"1,051",202,"1,381",350,650,474,405,340
2021년09월_여_70~79세,"7,394",548,303,276,211,299,203,161,224,262,348,305,176,230,139,225,673,194,896,280,444,393,299,305
2021년09월_여_80~89세,"5,629",412,268,273,222,265,177,156,242,236,336,279,157,209,106,202,399,139,530,136,224,177,233,251
2021년09월_여_90~99세,966,56,49,45,26,47,38,30,38,40,52,48,36,37,18,31,55,23,98,35,29,53,29,53
2021년09월_여_100세 이상,51,4,5,2,1,1,1,1,1,2,1,5,2,3,1,0,8,1,2,0,1,1,4,4
