,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년04월_계_총인구수,"24,127","9,522","2,272","4,029","2,593","4,311","1,400"
2020년04월_계_연령구간인구수,"24,127","9,522","2,272","4,029","2,593","4,311","1,400"
2020년04월_계_0~9세,"1,267",776,63,195,67,136,30
2020년04월_계_10~19세,"1,810",964,110,294,123,264,55
2020년04월_계_20~29세,"1,861",895,157,327,151,263,68
2020년04월_계_30~39세,"1,765",934,131,257,126,254,63
2020년04월_계_40~49세,"2,941","1,474",204,520,242,393,108
2020년04월_계_50~59세,"4,243","1,472",462,794,454,807,254
2020년04월_계_60~69세,"4,225","1,259",490,721,529,888,338
2020년04월_계_70~79세,"3,404","1,001",379,540,490,716,278
2020년04월_계_80~89세,"2,262",625,244,335,365,517,176
2020년04월_계_90~99세,333,113,32,46,43,69,30
2020년04월_계_100세 이상,16,9,0,0,3,4,0
2020년04월_남_총인구수,"11,995","4,738","1,118","2,035","1,271","2,147",686
2020년04월_남_연령구간인구수,"11,995","4,738","1,118","2,035","1,271","2,147",686
2020년04월_남_0~9세,677,409,36,116,32,69,15
2020년04월_남_10~19세,915,480,64,155,59,130,27
2020년04월_남_20~29세,"1,039",495,78,176,90,158,42
2020년04월_남_30~39세,964,481,79,146,71,151,36
2020년04월_남_40~49세,"1,650",778,118,300,144,242,68
2020년04월_남_50~59세,"2,335",826,237,437,257,439,139
2020년04월_남_60~69세,"2,139",595,254,370,274,469,177
2020년04월_남_70~79세,"1,410",432,166,210,199,288,115
2020년04월_남_80~89세,789,221,78,118,131,182,59
2020년04월_남_90~99세,73,20,8,7,13,17,8
2020년04월_남_100세 이상,4,1,0,0,1,2,0
2020년04월_여_총인구수,"12,132","4,784","1,154","1,994","1,322","2,164",714
2020년04월_여_연령구간인구수,"12,132","4,784","1,154","1,994","1,322","2,164",714
2020년04월_여_0~9세,590,367,27,79,35,67,15
2020년04월_여_10~19세,895,484,46,139,64,134,28
2020년04월_여_20~29세,822,400,79,151,61,105,26
2020년04월_여_30~39세,801,453,52,111,55,103,27
2020년04월_여_40~49세,"1,291",696,86,220,98,151,40
2020년04월_여_50~59세,"1,908",646,225,357,197,368,115
2020년04월_여_60~69세,"2,086",664,236,351,255,419,161
2020년04월_여_70~79세,"1,994",569,213,330,291,428,163
2020년04월_여_80~89세,"1,473",404,166,217,234,335,117
2020년04월_여_90~99세,260,93,24,39,30,52,22
2020년04월_여_100세 이상,12,8,0,0,2,2,0
