카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년10월_계_총인구수,"171,576","8,680","10,218","17,060","9,838","9,721","10,117","6,423","7,868","11,169","7,983","8,208","10,217","18,360","1,886","5,320","20,607","7,901"
2020년10월_계_연령구간인구수,"171,576","8,680","10,218","17,060","9,838","9,721","10,117","6,423","7,868","11,169","7,983","8,208","10,217","18,360","1,886","5,320","20,607","7,901"
2020년10월_계_0~9세,"7,675",329,331,740,307,295,396,195,221,398,295,640,360,"1,353",80,162,"1,300",273
2020년10월_계_10~19세,"11,053",513,551,"1,268",637,496,627,347,502,615,484,584,620,"1,241",110,337,"1,701",420
2020년10월_계_20~29세,"21,816","1,337","1,297","2,446","1,156","1,051","1,317",675,"1,039","1,355","1,035",928,"1,313","2,340",226,636,"2,685",980
2020년10월_계_30~39세,"17,666",943,968,"1,989",874,809,985,615,701,"1,063",749,990,"1,013","2,313",198,491,"2,249",716
2020년10월_계_40~49세,"23,134","1,099","1,312","2,295","1,347","1,170","1,317",789,"1,021","1,479","1,051","1,248","1,351","2,631",245,676,"3,018","1,085"
2020년10월_계_50~59세,"34,562","1,688","2,010","3,176","2,130","1,956","2,033","1,312","1,696","2,467","1,655","1,478","2,232","3,547",395,"1,169","4,000","1,618"
2020년10월_계_60~69세,"30,833","1,549","1,945","2,884","1,789","1,902","1,916","1,281","1,485","2,092","1,461","1,341","1,877","2,931",359,"1,098","3,456","1,467"
2020년10월_계_70~79세,"17,167",835,"1,241","1,567","1,119","1,377","1,030",834,816,"1,233",842,709,"1,018","1,385",201,510,"1,533",917
2020년10월_계_80~89세,"6,810",344,510,615,421,583,442,343,351,429,366,264,383,530,61,222,558,388
2020년10월_계_90~99세,758,33,46,78,50,63,43,31,29,34,39,25,47,85,4,19,95,37
2020년10월_계_100세 이상,102,10,7,2,8,19,11,1,7,4,6,1,3,4,7,0,12,0
2020년10월_남_총인구수,"86,015","4,291","4,995","8,254","5,019","4,840","4,981","3,284","3,869","5,932","4,055","4,007","5,153","9,115",989,"2,821","10,389","4,021"
2020년10월_남_연령구간인구수,"86,015","4,291","4,995","8,254","5,019","4,840","4,981","3,284","3,869","5,932","4,055","4,007","5,153","9,115",989,"2,821","10,389","4,021"
2020년10월_남_0~9세,"3,959",180,166,372,154,162,196,104,110,214,150,334,191,679,46,85,691,125
2020년10월_남_10~19세,"5,764",280,292,654,344,272,327,180,265,311,269,279,344,631,60,172,882,202
2020년10월_남_20~29세,"12,026",702,688,"1,314",655,580,716,371,569,804,599,492,699,"1,288",135,373,"1,480",561
2020년10월_남_30~39세,"10,016",528,574,"1,132",515,472,586,380,407,593,442,514,593,"1,221",106,309,"1,231",413
2020년10월_남_40~49세,"12,392",568,733,"1,112",765,672,707,438,512,881,589,648,740,"1,366",139,393,"1,513",616
2020년10월_남_50~59세,"17,379",799,"1,000","1,446","1,106","1,027",969,724,863,"1,390",857,714,"1,117","1,724",203,611,"1,986",843
2020년10월_남_60~69세,"14,448",712,874,"1,290",856,895,873,591,666,"1,028",675,615,901,"1,375",173,574,"1,656",694
2020년10월_남_70~79세,"7,523",390,490,703,465,554,448,364,348,561,343,313,439,642,95,224,730,414
2020년10월_남_80~89세,"2,342",122,167,210,150,194,151,122,122,144,122,93,121,177,30,74,197,146
2020년10월_남_90~99세,143,8,9,21,6,12,5,10,5,5,6,4,8,12,1,6,18,7
2020년10월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년10월_여_총인구수,"85,561","4,389","5,223","8,806","4,819","4,881","5,136","3,139","3,999","5,237","3,928","4,201","5,064","9,245",897,"2,499","10,218","3,880"
2020년10월_여_연령구간인구수,"85,561","4,389","5,223","8,806","4,819","4,881","5,136","3,139","3,999","5,237","3,928","4,201","5,064","9,245",897,"2,499","10,218","3,880"
2020년10월_여_0~9세,"3,716",149,165,368,153,133,200,91,111,184,145,306,169,674,34,77,609,148
2020년10월_여_10~19세,"5,289",233,259,614,293,224,300,167,237,304,215,305,276,610,50,165,819,218
2020년10월_여_20~29세,"9,790",635,609,"1,132",501,471,601,304,470,551,436,436,614,"1,052",91,263,"1,205",419
2020년10월_여_30~39세,"7,650",415,394,857,359,337,399,235,294,470,307,476,420,"1,092",92,182,"1,018",303
2020년10월_여_40~49세,"10,742",531,579,"1,183",582,498,610,351,509,598,462,600,611,"1,265",106,283,"1,505",469
2020년10월_여_50~59세,"17,183",889,"1,010","1,730","1,024",929,"1,064",588,833,"1,077",798,764,"1,115","1,823",192,558,"2,014",775
2020년10월_여_60~69세,"16,385",837,"1,071","1,594",933,"1,007","1,043",690,819,"1,064",786,726,976,"1,556",186,524,"1,800",773
2020년10월_여_70~79세,"9,644",445,751,864,654,823,582,470,468,672,499,396,579,743,106,286,803,503
2020년10월_여_80~89세,"4,468",222,343,405,271,389,291,221,229,285,244,171,262,353,31,148,361,242
2020년10월_여_90~99세,615,25,37,57,44,51,38,21,24,29,33,21,39,73,3,13,77,30
2020년10월_여_100세 이상,79,8,5,2,5,19,8,1,5,3,3,0,3,4,6,0,7,0
