,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년10월_계_총인구수,"50,739","13,005","1,922","1,606","1,742","1,552","1,450","1,461","4,187","3,861","2,561","1,761","1,718","1,793","4,556","3,775",825,"2,144",820
2021년10월_계_연령구간인구수,"50,739","13,005","1,922","1,606","1,742","1,552","1,450","1,461","4,187","3,861","2,561","1,761","1,718","1,793","4,556","3,775",825,"2,144",820
2021년10월_계_0~9세,"1,823",746,30,39,27,18,40,36,121,148,91,45,36,42,230,91,20,49,14
2021년10월_계_10~19세,"2,177",991,56,32,53,36,49,40,137,119,43,44,56,49,244,120,12,77,19
2021년10월_계_20~29세,"2,878","1,061",79,68,75,56,49,49,206,243,106,66,85,101,361,164,21,63,25
2021년10월_계_30~39세,"3,016","1,097",79,71,59,41,68,71,210,256,132,94,91,81,343,176,27,83,37
2021년10월_계_40~49세,"4,444","1,695",144,93,116,102,67,89,337,334,179,105,115,115,473,258,42,130,50
2021년10월_계_50~59세,"8,243","2,095",297,244,332,275,240,234,627,659,405,288,284,306,753,610,151,322,121
2021년10월_계_60~69세,"12,130","2,564",562,434,502,426,449,426,"1,058",964,671,468,398,430,858,923,190,597,210
2021년10월_계_70~79세,"8,880","1,701",351,328,339,307,275,276,840,637,507,341,340,348,731,780,186,423,170
2021년10월_계_80~89세,"6,284",935,293,258,213,245,183,211,557,426,377,276,286,291,489,580,155,355,154
2021년10월_계_90~99세,838,119,30,39,25,46,29,27,89,72,48,34,26,29,71,70,21,44,19
2021년10월_계_100세 이상,26,1,1,0,1,0,1,2,5,3,2,0,1,1,3,3,0,1,1
2021년10월_남_총인구수,"24,813","6,353",955,786,867,751,738,734,"2,050","1,878","1,248",877,851,863,"2,168","1,835",395,"1,071",393
2021년10월_남_연령구간인구수,"24,813","6,353",955,786,867,751,738,734,"2,050","1,878","1,248",877,851,863,"2,168","1,835",395,"1,071",393
2021년10월_남_0~9세,962,403,19,23,18,11,16,23,72,67,42,18,20,25,111,49,8,27,10
2021년10월_남_10~19세,"1,140",523,33,17,24,23,29,18,75,66,22,26,29,24,110,63,8,40,10
2021년10월_남_20~29세,"1,666",601,52,44,39,28,38,28,114,131,65,38,57,60,210,97,9,37,18
2021년10월_남_30~39세,"1,672",553,52,47,41,26,39,36,122,139,78,57,52,45,191,114,15,44,21
2021년10월_남_40~49세,"2,593",880,95,63,75,72,38,55,198,206,119,74,76,75,251,166,23,94,33
2021년10월_남_50~59세,"4,487","1,104",176,134,182,147,118,125,342,368,226,161,158,183,395,322,92,184,70
2021년10월_남_60~69세,"6,139","1,212",285,219,263,217,256,244,547,466,334,252,197,228,425,464,103,312,115
2021년10월_남_70~79세,"3,896",748,141,146,147,142,130,121,380,280,235,150,148,136,311,347,70,196,68
2021년10월_남_80~89세,"2,073",304,97,86,72,74,68,79,174,136,118,95,110,80,154,190,61,128,47
2021년10월_남_90~99세,182,25,5,7,6,11,6,5,25,19,9,6,4,7,10,21,6,9,1
2021년10월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년10월_여_총인구수,"25,926","6,652",967,820,875,801,712,727,"2,137","1,983","1,313",884,867,930,"2,388","1,940",430,"1,073",427
2021년10월_여_연령구간인구수,"25,926","6,652",967,820,875,801,712,727,"2,137","1,983","1,313",884,867,930,"2,388","1,940",430,"1,073",427
2021년10월_여_0~9세,861,343,11,16,9,7,24,13,49,81,49,27,16,17,119,42,12,22,4
2021년10월_여_10~19세,"1,037",468,23,15,29,13,20,22,62,53,21,18,27,25,134,57,4,37,9
2021년10월_여_20~29세,"1,212",460,27,24,36,28,11,21,92,112,41,28,28,41,151,67,12,26,7
2021년10월_여_30~39세,"1,344",544,27,24,18,15,29,35,88,117,54,37,39,36,152,62,12,39,16
2021년10월_여_40~49세,"1,851",815,49,30,41,30,29,34,139,128,60,31,39,40,222,92,19,36,17
2021년10월_여_50~59세,"3,756",991,121,110,150,128,122,109,285,291,179,127,126,123,358,288,59,138,51
2021년10월_여_60~69세,"5,991","1,352",277,215,239,209,193,182,511,498,337,216,201,202,433,459,87,285,95
2021년10월_여_70~79세,"4,984",953,210,182,192,165,145,155,460,357,272,191,192,212,420,433,116,227,102
2021년10월_여_80~89세,"4,211",631,196,172,141,171,115,132,383,290,259,181,176,211,335,390,94,227,107
2021년10월_여_90~99세,656,94,25,32,19,35,23,22,64,53,39,28,22,22,61,49,15,35,18
2021년10월_여_100세 이상,23,1,1,0,1,0,1,2,4,3,2,0,1,1,3,1,0,1,1
