,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년06월_계_총인구수,"83,327","2,737","2,538","2,556","3,705","3,889","1,358","2,591","1,799","1,850","2,718","5,040","2,244","1,914","4,658","1,372","11,337","12,792","11,633","6,596"
2020년06월_계_연령구간인구수,"83,327","2,737","2,538","2,556","3,705","3,889","1,358","2,591","1,799","1,850","2,718","5,040","2,244","1,914","4,658","1,372","11,337","12,792","11,633","6,596"
2020년06월_계_0~9세,"4,522",104,70,68,106,129,48,76,58,47,46,187,58,44,153,47,795,964,"1,066",456
2020년06월_계_10~19세,"6,331",136,111,119,169,224,59,136,78,82,111,319,100,72,197,63,"1,044","1,373","1,431",507
2020년06월_계_20~29세,"7,329",171,124,167,279,283,97,191,100,109,139,415,127,139,336,87,"1,341","1,364","1,276",584
2020년06월_계_30~39세,"6,861",191,148,165,241,266,89,177,104,111,149,349,138,102,286,83,"1,140","1,247","1,235",640
2020년06월_계_40~49세,"10,255",270,224,256,349,422,111,232,188,195,244,578,190,186,452,153,"1,608","1,890","1,936",771
2020년06월_계_50~59세,"14,074",449,381,441,631,700,206,461,267,288,424,947,358,360,897,214,"1,916","2,154","1,868","1,112"
2020년06월_계_60~69세,"14,296",641,582,547,782,751,290,551,383,394,581,987,459,389,942,261,"1,665","1,666","1,371","1,054"
2020년06월_계_70~79세,"11,270",411,488,473,638,642,247,405,336,354,569,773,435,348,796,282,"1,092","1,263",867,851
2020년06월_계_80~89세,"7,169",312,356,271,415,403,186,315,241,223,380,425,338,243,506,156,622,763,497,517
2020년06월_계_90~99세,"1,150",51,49,42,90,69,23,46,42,44,74,58,40,30,82,26,106,107,85,86
2020년06월_계_100세 이상,70,1,5,7,5,0,2,1,2,3,1,2,1,1,11,0,8,1,1,18
2020년06월_남_총인구수,"41,262","1,383","1,263","1,325","1,845","1,936",650,"1,309",898,935,"1,300","2,572","1,091",973,"2,329",713,"5,556","6,265","5,638","3,281"
2020년06월_남_연령구간인구수,"41,262","1,383","1,263","1,325","1,845","1,936",650,"1,309",898,935,"1,300","2,572","1,091",973,"2,329",713,"5,556","6,265","5,638","3,281"
2020년06월_남_0~9세,"2,342",62,38,36,47,70,25,40,35,21,23,100,32,22,78,25,407,508,532,241
2020년06월_남_10~19세,"3,244",76,66,65,87,104,36,64,40,47,55,171,50,43,110,29,508,720,717,256
2020년06월_남_20~29세,"4,058",102,78,92,157,150,56,112,63,64,79,225,71,77,191,55,711,745,693,337
2020년06월_남_30~39세,"3,662",122,85,108,136,154,53,99,60,67,93,198,85,60,167,51,585,637,595,307
2020년06월_남_40~49세,"5,773",159,147,168,233,259,75,147,122,128,160,349,137,131,277,111,834,951,952,433
2020년06월_남_50~59세,"7,637",241,219,269,337,394,112,260,144,165,244,534,202,206,500,126,982,"1,092",993,617
2020년06월_남_60~69세,"7,148",340,297,278,411,378,134,294,190,210,294,502,218,202,486,132,787,806,656,533
2020년06월_남_70~79세,"4,882",185,221,220,289,283,97,184,148,153,222,341,176,157,336,119,497,523,355,376
2020년06월_남_80~89세,"2,246",86,103,80,119,121,56,95,85,70,122,134,114,66,159,57,220,260,133,166
2020년06월_남_90~99세,257,10,7,8,27,23,6,14,10,10,7,18,6,9,25,8,21,23,12,13
2020년06월_남_100세 이상,13,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020년06월_여_총인구수,"42,065","1,354","1,275","1,231","1,860","1,953",708,"1,282",901,915,"1,418","2,468","1,153",941,"2,329",659,"5,781","6,527","5,995","3,315"
2020년06월_여_연령구간인구수,"42,065","1,354","1,275","1,231","1,860","1,953",708,"1,282",901,915,"1,418","2,468","1,153",941,"2,329",659,"5,781","6,527","5,995","3,315"
2020년06월_여_0~9세,"2,180",42,32,32,59,59,23,36,23,26,23,87,26,22,75,22,388,456,534,215
2020년06월_여_10~19세,"3,087",60,45,54,82,120,23,72,38,35,56,148,50,29,87,34,536,653,714,251
2020년06월_여_20~29세,"3,271",69,46,75,122,133,41,79,37,45,60,190,56,62,145,32,630,619,583,247
2020년06월_여_30~39세,"3,199",69,63,57,105,112,36,78,44,44,56,151,53,42,119,32,555,610,640,333
2020년06월_여_40~49세,"4,482",111,77,88,116,163,36,85,66,67,84,229,53,55,175,42,774,939,984,338
2020년06월_여_50~59세,"6,437",208,162,172,294,306,94,201,123,123,180,413,156,154,397,88,934,"1,062",875,495
2020년06월_여_60~69세,"7,148",301,285,269,371,373,156,257,193,184,287,485,241,187,456,129,878,860,715,521
2020년06월_여_70~79세,"6,388",226,267,253,349,359,150,221,188,201,347,432,259,191,460,163,595,740,512,475
2020년06월_여_80~89세,"4,923",226,253,191,296,282,130,220,156,153,258,291,224,177,347,99,402,503,364,351
2020년06월_여_90~99세,893,41,42,34,63,46,17,32,32,34,67,40,34,21,57,18,85,84,73,73
2020년06월_여_100세 이상,57,1,3,6,3,0,2,1,1,3,0,2,1,1,11,0,4,1,1,16
