,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년06월_계_총인구수,"62,364","19,432","9,689","13,972","5,690","9,658","3,923"
2021년06월_계_연령구간인구수,"62,364","19,432","9,689","13,972","5,690","9,658","3,923"
2021년06월_계_0~9세,"3,267","1,116",531,618,160,688,154
2021년06월_계_10~19세,"4,568","1,657",772,972,314,659,194
2021년06월_계_20~29세,"6,222","2,206",918,"1,279",535,"1,032",252
2021년06월_계_30~39세,"5,594","1,845",824,"1,141",385,"1,133",266
2021년06월_계_40~49세,"7,852","2,635","1,129","1,912",560,"1,216",400
2021년06월_계_50~59세,"11,121","3,359","1,714","2,636","1,113","1,604",695
2021년06월_계_60~69세,"12,631","3,439","2,089","2,817","1,434","1,842","1,010"
2021년06월_계_70~79세,"6,806","1,907","1,005","1,624",748,954,568
2021년06월_계_80~89세,"3,753","1,105",590,856,387,482,333
2021년06월_계_90~99세,514,147,113,113,52,43,46
2021년06월_계_100세 이상,36,16,4,4,2,5,5
2021년06월_남_총인구수,"32,146","9,888","4,973","7,161","2,975","5,142","2,007"
2021년06월_남_연령구간인구수,"32,146","9,888","4,973","7,161","2,975","5,142","2,007"
2021년06월_남_0~9세,"1,639",568,262,316,80,349,64
2021년06월_남_10~19세,"2,385",897,373,504,160,346,105
2021년06월_남_20~29세,"3,596","1,216",504,736,356,642,142
2021년06월_남_30~39세,"3,034",968,457,612,213,631,153
2021년06월_남_40~49세,"4,233","1,416",580,"1,026",319,662,230
2021년06월_남_50~59세,"5,910","1,777",919,"1,425",565,842,382
2021년06월_남_60~69세,"6,522","1,726","1,097","1,420",754,"1,009",516
2021년06월_남_70~79세,"3,234",868,509,754,376,450,277
2021년06월_남_80~89세,"1,443",406,238,335,140,199,125
2021년06월_남_90~99세,136,42,31,31,11,10,11
2021년06월_남_100세 이상,14,4,3,2,1,2,2
2021년06월_여_총인구수,"30,218","9,544","4,716","6,811","2,715","4,516","1,916"
2021년06월_여_연령구간인구수,"30,218","9,544","4,716","6,811","2,715","4,516","1,916"
2021년06월_여_0~9세,"1,628",548,269,302,80,339,90
2021년06월_여_10~19세,"2,183",760,399,468,154,313,89
2021년06월_여_20~29세,"2,626",990,414,543,179,390,110
2021년06월_여_30~39세,"2,560",877,367,529,172,502,113
2021년06월_여_40~49세,"3,619","1,219",549,886,241,554,170
2021년06월_여_50~59세,"5,211","1,582",795,"1,211",548,762,313
2021년06월_여_60~69세,"6,109","1,713",992,"1,397",680,833,494
2021년06월_여_70~79세,"3,572","1,039",496,870,372,504,291
2021년06월_여_80~89세,"2,310",699,352,521,247,283,208
2021년06월_여_90~99세,378,105,82,82,41,33,35
2021년06월_여_100세 이상,22,12,1,2,1,3,3
