카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년02월_계_총인구수,"499,587","25,084","16,066","30,654","29,674","16,849","33,511","34,599","15,488","26,689","18,757","23,126","18,483","23,677","22,912","21,684","16,128","17,582","23,444","24,970","31,967","28,243"
2020년02월_계_연령구간인구수,"499,587","25,084","16,066","30,654","29,674","16,849","33,511","34,599","15,488","26,689","18,757","23,126","18,483","23,677","22,912","21,684","16,128","17,582","23,444","24,970","31,967","28,243"
2020년02월_계_0~9세,"24,462","1,343","1,452","2,194","1,280",804,"1,265","2,362",462,"1,292","1,125",748,691,923,873,411,"1,294",764,784,"1,009","1,934","1,452"
2020년02월_계_10~19세,"30,422","1,575","1,210","3,069","1,480",869,"1,772","2,661",691,"1,705",890,940,913,"1,137","1,272",511,"1,514",873,"1,049","1,734","2,499","2,058"
2020년02월_계_20~29세,"107,757","4,646","1,957","3,869","7,480","5,298","10,553","5,559","4,361","5,840","3,914","6,329","4,301","5,695","5,597","8,253","1,730","3,952","6,142","3,141","4,946","4,194"
2020년02월_계_30~39세,"88,518","4,319","2,673","4,075","6,155","3,476","6,358","5,643","3,016","5,139","3,904","4,773","3,282","4,665","4,004","5,640","2,043","3,343","4,707","2,922","4,526","3,855"
2020년02월_계_40~49세,"70,617","3,497","2,637","5,318","3,794","2,050","3,957","5,462","1,786","3,787","2,398","2,828","2,441","3,239","3,137","2,437","3,082","2,314","3,603","3,699","4,932","4,219"
2020년02월_계_50~59세,"69,370","3,563","2,381","4,793","3,572","1,675","3,718","5,004","1,924","3,562","2,645","2,915","2,481","3,142","3,294","1,733","2,613","2,458","3,117","4,514","5,196","5,070"
2020년02월_계_60~69세,"57,838","3,254","1,945","3,783","3,130","1,354","3,131","4,216","1,646","2,878","2,162","2,502","2,222","2,671","2,510","1,438","2,063","2,146","2,203","4,082","4,531","3,971"
2020년02월_계_70~79세,"36,421","2,102","1,207","2,486","2,060",946,"2,034","2,697","1,154","1,811","1,293","1,519","1,546","1,572","1,615",922,"1,283","1,201","1,279","2,674","2,511","2,509"
2020년02월_계_80~89세,"12,272",681,520,913,626,324,627,870,401,591,368,512,518,535,531,281,428,461,490,"1,011",785,799
2020년02월_계_90~99세,"1,600",94,62,124,81,44,75,108,38,76,55,51,76,80,65,43,65,61,58,156,85,103
2020년02월_계_100세 이상,310,10,22,30,16,9,21,17,9,8,3,9,12,18,14,15,13,9,12,28,22,13
2020년02월_남_총인구수,"250,822","12,278","7,888","14,866","14,418","8,493","16,109","16,959","7,446","13,103","9,022","11,841","9,263","13,067","11,452","11,159","7,968","8,935","14,130","12,530","15,667","14,228"
2020년02월_남_연령구간인구수,"250,822","12,278","7,888","14,866","14,418","8,493","16,109","16,959","7,446","13,103","9,022","11,841","9,263","13,067","11,452","11,159","7,968","8,935","14,130","12,530","15,667","14,228"
2020년02월_남_0~9세,"12,588",690,765,"1,154",646,418,618,"1,263",258,668,584,405,339,461,460,210,649,376,390,539,964,731
2020년02월_남_10~19세,"15,656",814,634,"1,624",744,407,872,"1,346",338,885,416,496,460,600,703,248,787,458,555,917,"1,238","1,114"
