카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년06월_계_총인구수,"329,560","25,686","29,988","14,492","27,540","25,399","21,817","28,261","22,003","19,584","16,958","19,541","29,393","20,642","28,256"
2020년06월_계_연령구간인구수,"329,560","25,686","29,988","14,492","27,540","25,399","21,817","28,261","22,003","19,584","16,958","19,541","29,393","20,642","28,256"
2020년06월_계_0~9세,"19,722","1,625","1,931",843,"1,860","1,602",917,"1,714","1,254","1,110",868,"1,295","1,624","1,022","2,057"
2020년06월_계_10~19세,"26,525","2,264","2,360","1,113","2,719","2,054","1,261","1,799","1,699","1,476","1,044","2,094","2,297","1,519","2,826"
2020년06월_계_20~29세,"44,403","3,407","4,178","1,882","3,842","3,724","2,683","3,478","3,111","2,601","2,585","2,613","4,023","2,778","3,498"
2020년06월_계_30~39세,"42,124","3,514","4,310","1,760","3,466","3,604","2,433","3,756","2,659","2,689","2,424","2,412","3,455","2,351","3,291"
2020년06월_계_40~49세,"49,719","4,238","4,678","2,197","4,524","3,664","3,037","3,915","3,327","2,862","2,481","3,091","4,331","3,030","4,344"
2020년06월_계_50~59세,"57,772","4,239","5,203","2,668","4,975","4,497","3,851","4,592","3,724","3,345","2,856","3,495","5,511","3,852","4,964"
2020년06월_계_60~69세,"48,708","3,438","4,031","2,076","3,396","3,567","3,857","4,866","3,254","2,998","2,420","2,709","4,527","3,298","4,271"
2020년06월_계_70~79세,"27,527","1,991","2,285","1,369","1,736","1,761","2,662","2,824","2,053","1,654","1,617","1,178","2,582","1,932","1,883"
2020년06월_계_80~89세,"11,260",850,916,514,875,786,983,"1,117",795,720,579,548,890,731,956
2020년06월_계_90~99세,"1,628",112,94,60,136,128,116,173,109,113,76,102,142,111,156
2020년06월_계_100세 이상,172,8,2,10,11,12,17,27,18,16,8,4,11,18,10
2020년06월_남_총인구수,"160,855","12,255","14,683","7,250","13,239","12,190","11,047","13,851","10,601","9,456","8,241","9,284","14,593","10,417","13,748"
2020년06월_남_연령구간인구수,"160,855","12,255","14,683","7,250","13,239","12,190","11,047","13,851","10,601","9,456","8,241","9,284","14,593","10,417","13,748"
2020년06월_남_0~9세,"10,173",842,"1,004",435,947,830,454,865,650,602,435,678,804,525,"1,102"
2020년06월_남_10~19세,"13,671","1,147","1,240",576,"1,393","1,041",680,934,823,766,540,"1,043","1,176",798,"1,514"
2020년06월_남_20~29세,"22,598","1,695","2,072",989,"1,944","1,823","1,433","1,744","1,473","1,316","1,260","1,343","2,092","1,499","1,915"
2020년06월_남_30~39세,"21,544","1,731","2,183",946,"1,694","1,853","1,350","1,921","1,355","1,404","1,259","1,164","1,763","1,280","1,641"
2020년06월_남_40~49세,"24,597","2,062","2,378","1,126","2,115","1,718","1,648","2,009","1,701","1,433","1,287","1,407","2,126","1,562","2,025"
2020년06월_남_50~59세,"27,556","1,956","2,472","1,351","2,366","2,071","1,921","2,230","1,782","1,508","1,317","1,582","2,786","1,914","2,300"
2020년06월_남_60~69세,"23,308","1,614","1,919","1,003","1,631","1,698","1,846","2,334","1,532","1,402","1,150","1,307","2,172","1,651","2,049"
