카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 산솔면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년12월_계_총인구수,"37,904","20,799","1,025","1,426","1,698","2,074","2,225","1,212","1,658","3,740","2,047"
2021년12월_계_연령구간인구수,"37,904","20,799","1,025","1,426","1,698","2,074","2,225","1,212","1,658","3,740","2,047"
2021년12월_계_0~9세,"1,549","1,199",19,29,21,31,34,39,44,88,45
2021년12월_계_10~19세,"2,748","2,038",31,50,81,83,99,46,51,191,78
2021년12월_계_20~29세,"3,136","2,225",44,65,82,117,116,95,104,204,84
2021년12월_계_30~39세,"2,620","1,836",39,50,48,96,109,64,111,177,90
2021년12월_계_40~49세,"4,322","2,878",99,103,150,166,209,111,150,292,164
2021년12월_계_50~59세,"7,097","3,741",182,331,353,429,404,256,281,732,388
2021년12월_계_60~69세,"8,503","3,547",280,388,529,572,674,328,438,"1,082",665
2021년12월_계_70~79세,"4,688","2,030",185,239,260,333,336,162,272,523,348
2021년12월_계_80~89세,"2,858","1,150",130,154,151,222,210,104,179,397,161
2021년12월_계_90~99세,370,151,16,17,23,23,32,7,27,50,24
2021년12월_계_100세 이상,13,4,0,0,0,2,2,0,1,4,0
2021년12월_남_총인구수,"19,626","10,637",531,759,880,"1,097","1,187",678,897,"1,914","1,046"
2021년12월_남_연령구간인구수,"19,626","10,637",531,759,880,"1,097","1,187",678,897,"1,914","1,046"
2021년12월_남_0~9세,820,648,12,10,10,15,14,17,26,47,21
2021년12월_남_10~19세,"1,489","1,117",18,26,42,34,54,28,18,110,42
2021년12월_남_20~29세,"1,818","1,261",31,42,51,75,71,61,60,121,45
2021년12월_남_30~39세,"1,429",961,17,38,29,57,73,36,81,94,43
2021년12월_남_40~49세,"2,332","1,448",63,65,76,108,133,65,104,172,98
2021년12월_남_50~59세,"3,950","2,043",107,191,194,252,242,163,169,387,202
2021년12월_남_60~69세,"4,506","1,816",157,230,287,320,362,177,238,577,342
2021년12월_남_70~79세,"2,148",892,81,99,133,150,165,85,122,248,173
2021년12월_남_80~89세,"1,029",411,44,50,53,78,64,44,68,143,74
2021년12월_남_90~99세,101,40,1,8,5,6,9,2,10,14,6
2021년12월_남_100세 이상,4,0,0,0,0,2,0,0,1,1,0
2021년12월_여_총인구수,"18,278","10,162",494,667,818,977,"1,038",534,761,"1,826","1,001"
2021년12월_여_연령구간인구수,"18,278","10,162",494,667,818,977,"1,038",534,761,"1,826","1,001"
2021년12월_여_0~9세,729,551,7,19,11,16,20,22,18,41,24
2021년12월_여_10~19세,"1,259",921,13,24,39,49,45,18,33,81,36
2021년12월_여_20~29세,"1,318",964,13,23,31,42,45,34,44,83,39
2021년12월_여_30~39세,"1,191",875,22,12,19,39,36,28,30,83,47
2021년12월_여_40~49세,"1,990","1,430",36,38,74,58,76,46,46,120,66
2021년12월_여_50~59세,"3,147","1,698",75,140,159,177,162,93,112,345,186
2021년12월_여_60~69세,"3,997","1,731",123,158,242,252,312,151,200,505,323
2021년12월_여_70~79세,"2,540","1,138",104,140,127,183,171,77,150,275,175
2021년12월_여_80~89세,"1,829",739,86,104,98,144,146,60,111,254,87
2021년12월_여_90~99세,269,111,15,9,18,17,23,5,17,36,18
2021년12월_여_100세 이상,9,4,0,0,0,0,2,0,0,3,0
