카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년02월_계_총인구수,"38,185","10,295","2,096","1,933","2,339","3,137","2,181","5,080","3,443","2,804","2,067","2,810"
2020년02월_계_연령구간인구수,"38,185","10,295","2,096","1,933","2,339","3,137","2,181","5,080","3,443","2,804","2,067","2,810"
2020년02월_계_0~9세,"1,364",687,58,32,37,88,55,123,87,75,43,79
2020년02월_계_10~19세,"2,196","1,004",131,57,99,151,103,217,126,128,60,120
2020년02월_계_20~29세,"3,210","1,414",130,116,142,226,145,296,232,224,126,159
2020년02월_계_30~39세,"2,618","1,081",107,95,107,200,106,258,192,189,127,156
2020년02월_계_40~49세,"3,978","1,488",200,167,198,329,201,406,293,284,174,238
2020년02월_계_50~59세,"7,542","1,659",432,450,480,716,466,"1,131",713,532,408,555
2020년02월_계_60~69세,"8,170","1,434",491,482,603,657,504,"1,268",867,619,559,686
2020년02월_계_70~79세,"5,460",980,306,300,395,479,341,866,522,461,327,483
2020년02월_계_80~89세,"3,195",495,212,204,243,263,221,439,355,266,202,295
2020년02월_계_90~99세,425,50,28,29,31,26,39,71,53,25,38,35
2020년02월_계_100세 이상,27,3,1,1,4,2,0,5,3,1,3,4
2020년02월_남_총인구수,"19,500","5,252","1,093",983,"1,211","1,564","1,093","2,606","1,758","1,436","1,066","1,438"
2020년02월_남_연령구간인구수,"19,500","5,252","1,093",983,"1,211","1,564","1,093","2,606","1,758","1,436","1,066","1,438"
2020년02월_남_0~9세,691,353,32,17,17,37,25,56,43,43,22,46
2020년02월_남_10~19세,"1,120",505,68,27,57,73,49,115,70,57,31,68
2020년02월_남_20~29세,"1,869",809,76,73,85,111,88,182,142,128,79,96
2020년02월_남_30~39세,"1,474",565,66,55,67,119,60,152,107,106,85,92
2020년02월_남_40~49세,"2,309",803,126,101,119,197,110,235,187,171,112,148
2020년02월_남_50~59세,"4,063",889,238,249,256,384,245,618,384,299,208,293
2020년02월_남_60~69세,"4,261",715,257,253,327,355,265,659,455,332,295,348
2020년02월_남_70~79세,"2,497",414,141,133,182,213,173,418,244,203,158,218
2020년02월_남_80~89세,"1,115",186,80,70,93,70,69,154,112,90,70,121
2020년02월_남_90~99세,94,13,9,5,7,5,9,15,13,6,6,6
2020년02월_남_100세 이상,7,0,0,0,1,0,0,2,1,1,0,2
2020년02월_여_총인구수,"18,685","5,043","1,003",950,"1,128","1,573","1,088","2,474","1,685","1,368","1,001","1,372"
2020년02월_여_연령구간인구수,"18,685","5,043","1,003",950,"1,128","1,573","1,088","2,474","1,685","1,368","1,001","1,372"
2020년02월_여_0~9세,673,334,26,15,20,51,30,67,44,32,21,33
2020년02월_여_10~19세,"1,076",499,63,30,42,78,54,102,56,71,29,52
2020년02월_여_20~29세,"1,341",605,54,43,57,115,57,114,90,96,47,63
2020년02월_여_30~39세,"1,144",516,41,40,40,81,46,106,85,83,42,64
2020년02월_여_40~49세,"1,669",685,74,66,79,132,91,171,106,113,62,90
2020년02월_여_50~59세,"3,479",770,194,201,224,332,221,513,329,233,200,262
2020년02월_여_60~69세,"3,909",719,234,229,276,302,239,609,412,287,264,338
2020년02월_여_70~79세,"2,963",566,165,167,213,266,168,448,278,258,169,265
2020년02월_여_80~89세,"2,080",309,132,134,150,193,152,285,243,176,132,174
2020년02월_여_90~99세,331,37,19,24,24,21,30,56,40,19,32,29
2020년02월_여_100세 이상,20,3,1,1,3,2,0,3,2,0,3,2
