카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년04월_계_총인구수,"457,132","31,921","31,033","22,759","26,422","42,716","21,193","21,637","16,295","18,737","15,246","9,119","21,185","21,175","20,380","47,446","34,259","25,244","30,365"
2020년04월_계_연령구간인구수,"457,132","31,921","31,033","22,759","26,422","42,716","21,193","21,637","16,295","18,737","15,246","9,119","21,185","21,175","20,380","47,446","34,259","25,244","30,365"
2020년04월_계_0~9세,"33,029","3,087","1,854","1,446","1,507","3,592","1,097","1,554",992,"1,620","1,053",866,"1,208","1,887","1,405","3,732","1,894","2,175","2,060"
2020년04월_계_10~19세,"51,790","5,183","2,663","1,579","3,537","7,700","1,398","1,844","1,203","1,707","1,368",918,"1,486","3,119","2,979","5,441","2,410","3,717","3,538"
2020년04월_계_20~29세,"60,469","3,484","5,140","3,662","4,196","4,660","2,705","2,677","2,122","2,185","2,121","1,028","2,772","2,508","2,699","6,077","5,345","3,257","3,831"
2020년04월_계_30~39세,"59,234","3,530","5,471","4,091","2,961","4,203","2,801","3,131","2,151","2,638","2,207","1,475","2,767","2,178","1,908","6,027","5,432","2,890","3,373"
2020년04월_계_40~49세,"80,329","7,068","4,738","3,304","4,740","9,423","3,234","3,430","2,384","3,082","2,380","1,486","3,114","4,204","3,914","8,324","5,358","4,815","5,331"
2020년04월_계_50~59세,"76,825","4,946","5,016","3,780","4,861","6,698","4,031","3,425","3,076","2,943","2,600","1,380","3,712","3,528","3,661","7,931","5,527","4,375","5,335"
2020년04월_계_60~69세,"55,583","2,774","3,721","2,908","2,589","3,924","3,473","3,303","2,530","2,655","2,057","1,181","3,424","2,111","2,191","5,606","4,729","2,530","3,877"
2020년04월_계_70~79세,"27,609","1,293","1,659","1,327","1,431","1,635","1,808","1,645","1,321","1,354","1,057",568,"1,830","1,091","1,071","2,995","2,622",948,"1,954"
2020년04월_계_80~89세,"10,440",460,654,572,529,713,548,543,449,488,353,176,774,444,469,"1,121",811,435,901
2020년04월_계_90~99세,"1,652",90,105,74,64,162,86,78,55,56,43,31,96,100,68,181,116,100,147
2020년04월_계_100세 이상,172,6,12,16,7,6,12,7,12,9,7,10,2,5,15,11,15,2,18
2020년04월_남_총인구수,"224,563","15,332","15,121","10,926","12,957","21,147","10,873","10,609","8,608","9,205","7,576","4,507","10,404","10,343","9,982","23,159","16,806","12,291","14,717"
2020년04월_남_연령구간인구수,"224,563","15,332","15,121","10,926","12,957","21,147","10,873","10,609","8,608","9,205","7,576","4,507","10,404","10,343","9,982","23,159","16,806","12,291","14,717"
2020년04월_남_0~9세,"16,987","1,555",918,760,756,"1,896",568,778,548,831,543,452,612,"1,006",695,"1,914",983,"1,125","1,047"
2020년04월_남_10~19세,"26,996","2,603","1,427",860,"1,902","4,176",702,924,624,900,715,445,743,"1,580","1,557","2,826","1,239","1,932","1,841"
2020년04월_남_20~29세,"31,015","1,689","2,540","1,800","2,216","2,447","1,449","1,388","1,107","1,137","1,105",534,"1,472","1,272","1,404","3,145","2,595","1,685","2,030"
2020년04월_남_30~39세,"29,109","1,495","2,797","2,027","1,483","1,822","1,528","1,609","1,192","1,284","1,148",758,"1,465",962,885,"2,942","2,846","1,268","1,598"
2020년04월_남_40~49세,"38,453","3,261","2,234","1,584","2,087","4,245","1,679","1,728","1,332","1,569","1,171",739,"1,612","1,980","1,815","4,006","2,671","2,186","2,554"
2020년04월_남_50~59세,"38,203","2,568","2,401","1,726","2,416","3,475","2,107","1,652","1,674","1,422","1,250",669,"1,818","1,822","1,865","3,868","2,649","2,170","2,651"
2020년04월_남_60~69세,"26,798","1,357","1,780","1,361","1,266","1,943","1,754","1,524","1,337","1,245","1,015",551,"1,619","1,022","1,105","2,627","2,200","1,257","1,835"
2020년04월_남_70~79세,"12,962",622,776,601,653,855,880,794,595,643,492,287,777,520,463,"1,397","1,251",496,860
2020년04월_남_80~89세,"3,593",156,208,189,162,240,189,199,182,156,128,63,259,154,174,394,337,138,265
2020년04월_남_90~99세,403,24,35,15,14,48,12,11,13,16,7,7,25,23,16,38,31,34,34
2020년04월_남_100세 이상,44,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,2
2020년04월_여_총인구수,"232,569","16,589","15,912","11,833","13,465","21,569","10,320","11,028","7,687","9,532","7,670","4,612","10,781","10,832","10,398","24,287","17,453","12,953","15,648"
2020년04월_여_연령구간인구수,"232,569","16,589","15,912","11,833","13,465","21,569","10,320","11,028","7,687","9,532","7,670","4,612","10,781","10,832","10,398","24,287","17,453","12,953","15,648"
2020년04월_여_0~9세,"16,042","1,532",936,686,751,"1,696",529,776,444,789,510,414,596,881,710,"1,818",911,"1,050","1,013"
2020년04월_여_10~19세,"24,794","2,580","1,236",719,"1,635","3,524",696,920,579,807,653,473,743,"1,539","1,422","2,615","1,171","1,785","1,697"
2020년04월_여_20~29세,"29,454","1,795","2,600","1,862","1,980","2,213","1,256","1,289","1,015","1,048","1,016",494,"1,300","1,236","1,295","2,932","2,750","1,572","1,801"
2020년04월_여_30~39세,"30,125","2,035","2,674","2,064","1,478","2,381","1,273","1,522",959,"1,354","1,059",717,"1,302","1,216","1,023","3,085","2,586","1,622","1,775"
2020년04월_여_40~49세,"41,876","3,807","2,504","1,720","2,653","5,178","1,555","1,702","1,052","1,513","1,209",747,"1,502","2,224","2,099","4,318","2,687","2,629","2,777"
2020년04월_여_50~59세,"38,622","2,378","2,615","2,054","2,445","3,223","1,924","1,773","1,402","1,521","1,350",711,"1,894","1,706","1,796","4,063","2,878","2,205","2,684"
2020년04월_여_60~69세,"28,785","1,417","1,941","1,547","1,323","1,981","1,719","1,779","1,193","1,410","1,042",630,"1,805","1,089","1,086","2,979","2,529","1,273","2,042"
2020년04월_여_70~79세,"14,647",671,883,726,778,780,928,851,726,711,565,281,"1,053",571,608,"1,598","1,371",452,"1,094"
2020년04월_여_80~89세,"6,847",304,446,383,367,473,359,344,267,332,225,113,515,290,295,727,474,297,636
2020년04월_여_90~99세,"1,249",66,70,59,50,114,74,67,42,40,36,24,71,77,52,143,85,66,113
2020년04월_여_100세 이상,128,4,7,13,5,6,7,5,8,7,5,8,0,3,12,9,11,2,16
