카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년06월_계_총인구수,"52,209","11,103","13,850","4,983","2,311","1,692","2,565","1,523","1,283","1,280","2,130","2,051","3,009","4,429"
2020년06월_계_연령구간인구수,"52,209","11,103","13,850","4,983","2,311","1,692","2,565","1,523","1,283","1,280","2,130","2,051","3,009","4,429"
2020년06월_계_0~9세,"2,397",574,"1,038",170,58,35,58,58,27,32,41,49,54,203
2020년06월_계_10~19세,"3,537",882,"1,528",219,63,61,113,69,59,29,71,81,103,259
2020년06월_계_20~29세,"3,979","1,058","1,371",309,99,90,150,84,58,39,100,105,216,300
2020년06월_계_30~39세,"3,593",881,"1,183",320,125,64,113,79,67,60,96,104,166,335
2020년06월_계_40~49세,"5,980","1,561","2,047",503,167,143,238,107,77,98,154,150,252,483
2020년06월_계_50~59세,"8,610","1,919","2,273",819,313,262,372,224,192,194,337,316,564,825
2020년06월_계_60~69세,"10,053","1,947","2,055","1,044",520,356,521,341,279,312,520,499,691,968
2020년06월_계_70~79세,"8,004","1,466","1,392",934,473,342,519,296,251,283,425,400,561,662
2020년06월_계_80~89세,"5,231",721,817,570,432,288,415,235,243,204,331,292,334,349
2020년06월_계_90~99세,781,89,137,90,57,50,63,29,29,26,52,52,64,43
2020년06월_계_100세 이상,44,5,9,5,4,1,3,1,1,3,3,3,4,2
2020년06월_남_총인구수,"25,829","5,568","6,766","2,482","1,120",830,"1,199",731,628,654,"1,038",996,"1,492","2,325"
2020년06월_남_연령구간인구수,"25,829","5,568","6,766","2,482","1,120",830,"1,199",731,628,654,"1,038",996,"1,492","2,325"
2020년06월_남_0~9세,"1,193",274,522,90,34,16,25,26,14,21,15,24,32,100
2020년06월_남_10~19세,"1,829",460,796,112,38,29,51,36,31,17,35,40,55,129
2020년06월_남_20~29세,"2,330",617,769,163,64,56,88,52,35,27,61,70,145,183
2020년06월_남_30~39세,"2,010",472,578,194,78,39,69,50,43,32,62,65,102,226
2020년06월_남_40~49세,"3,294",825,998,312,108,97,130,63,44,69,92,84,155,317
2020년06월_남_50~59세,"4,639","1,079","1,158",466,164,140,196,118,107,115,179,184,293,440
2020년06월_남_60~69세,"4,928",921,993,526,249,180,253,173,149,147,254,249,332,502
2020년06월_남_70~79세,"3,534",621,625,395,217,159,224,134,110,136,205,180,255,273
2020년06월_남_80~89세,"1,880",276,290,205,153,103,145,72,84,86,127,84,111,144
2020년06월_남_90~99세,182,23,34,18,13,11,18,7,11,3,8,14,12,10
2020년06월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년06월_여_총인구수,"26,380","5,535","7,084","2,501","1,191",862,"1,366",792,655,626,"1,092","1,055","1,517","2,104"
2020년06월_여_연령구간인구수,"26,380","5,535","7,084","2,501","1,191",862,"1,366",792,655,626,"1,092","1,055","1,517","2,104"
2020년06월_여_0~9세,"1,204",300,516,80,24,19,33,32,13,11,26,25,22,103
2020년06월_여_10~19세,"1,708",422,732,107,25,32,62,33,28,12,36,41,48,130
2020년06월_여_20~29세,"1,649",441,602,146,35,34,62,32,23,12,39,35,71,117
2020년06월_여_30~39세,"1,583",409,605,126,47,25,44,29,24,28,34,39,64,109
2020년06월_여_40~49세,"2,686",736,"1,049",191,59,46,108,44,33,29,62,66,97,166
2020년06월_여_50~59세,"3,971",840,"1,115",353,149,122,176,106,85,79,158,132,271,385
2020년06월_여_60~69세,"5,125","1,026","1,062",518,271,176,268,168,130,165,266,250,359,466
2020년06월_여_70~79세,"4,470",845,767,539,256,183,295,162,141,147,220,220,306,389
2020년06월_여_80~89세,"3,351",445,527,365,279,185,270,163,159,118,204,208,223,205
2020년06월_여_90~99세,599,66,103,72,44,39,45,22,18,23,44,38,52,33
2020년06월_여_100세 이상,34,5,6,4,2,1,3,1,1,2,3,1,4,1
