카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년02월_계_총인구수,"432,872","5,060","6,992","4,967","3,339","8,222","11,444","38,499","19,959","12,810","14,700","22,867","11,094","6,128","19,236","16,877","16,604","8,147","16,905","14,253","14,742","31,174","14,462","11,845","13,023","2,730","50,976","35,817"
2020년02월_계_연령구간인구수,"432,872","5,060","6,992","4,967","3,339","8,222","11,444","38,499","19,959","12,810","14,700","22,867","11,094","6,128","19,236","16,877","16,604","8,147","16,905","14,253","14,742","31,174","14,462","11,845","13,023","2,730","50,976","35,817"
2020년02월_계_0~9세,"34,796",219,303,277,97,611,439,"2,754","1,891",642,993,"2,262",456,563,"1,492","1,219","1,278",361,"1,028",534,"1,142","2,578","1,298",719,563,82,"7,382","3,613"
2020년02월_계_10~19세,"44,677",207,501,308,128,580,721,"4,007","2,325","1,045","1,597","2,341",739,542,"1,556","2,059","1,634",709,"1,508",946,"1,819","5,020","1,828","1,144",901,140,"6,231","4,141"
2020년02월_계_20~29세,"62,636","1,020","1,326",857,500,958,"2,084","6,988","2,690","1,854","2,260","3,005","1,437",753,"2,459","2,523","2,572","1,151","2,425","1,744","2,389","4,793","2,045","1,950","2,035",266,"5,647","4,905"
2020년02월_계_30~39세,"57,141",958,809,727,425,"1,232","1,648","4,810","2,497","1,471","1,761","3,531","1,061",871,"2,750","1,815","2,156",860,"1,987","1,410","1,842","3,119","1,806","1,360","1,510",239,"9,040","5,446"
2020년02월_계_40~49세,"68,666",627,940,688,421,"1,174","1,576","5,745","3,146","1,810","2,120","3,705","1,390",980,"2,733","2,600","2,562","1,114","2,344","1,788","2,529","6,166","2,399","1,798","1,680",267,"10,017","6,347"
2020년02월_계_50~59세,"72,734",725,"1,017",759,600,"1,310","1,888","6,757","3,224","2,256","2,725","3,730","1,950",948,"3,265","3,169","2,710","1,424","3,090","2,769","2,680","5,510","2,497","2,304","2,619",569,"6,654","5,585"
2020년02월_계_60~69세,"50,529",670,998,671,586,"1,180","1,563","4,250","2,546","2,000","1,923","2,494","2,060",731,"2,647","2,024","1,956","1,287","2,523","2,627","1,369","2,131","1,451","1,480","2,027",547,"3,474","3,314"
2020년02월_계_70~79세,"28,472",435,737,485,381,867,"1,048","2,269","1,181","1,223",873,"1,287","1,371",515,"1,585","1,006","1,190",874,"1,415","1,596",672,"1,156",728,765,"1,098",380,"1,674","1,661"
2020년02월_계_80~89세,"11,498",172,317,176,160,263,416,811,392,451,386,433,537,192,653,401,484,320,515,749,255,616,354,275,524,197,740,709
2020년02월_계_90~99세,"1,609",21,40,14,37,43,55,103,64,55,57,76,80,31,86,58,61,44,66,86,45,83,53,45,64,40,109,93
2020년02월_계_100세 이상,114,6,4,5,4,4,6,5,3,3,5,3,13,2,10,3,1,3,4,4,0,2,3,5,2,3,8,3
2020년02월_남_총인구수,"214,985","2,608","3,567","2,623","1,789","4,058","5,976","19,208","9,619","6,465","7,131","11,284","5,418","3,038","9,466","8,246","7,908","4,064","8,389","6,870","7,588","15,289","7,115","5,992","6,379","1,419","25,458","18,018"
2020년02월_남_연령구간인구수,"214,985","2,608","3,567","2,623","1,789","4,058","5,976","19,208","9,619","6,465","7,131","11,284","5,418","3,038","9,466","8,246","7,908","4,064","8,389","6,870","7,588","15,289","7,115","5,992","6,379","1,419","25,458","18,018"
2020년02월_남_0~9세,"17,795",103,154,139,55,309,229,"1,411",957,310,503,"1,175",235,285,745,597,633,197,511,270,608,"1,339",659,352,274,42,"3,809","1,894"
2020년02월_남_10~19세,"23,685",116,254,175,69,310,363,"2,131","1,192",530,861,"1,263",412,273,846,"1,072",857,357,795,502,"1,035","2,732","1,013",608,506,83,"3,233","2,097"
2020년02월_남_20~29세,"32,997",451,696,464,230,506,"1,085","3,682","1,369",975,"1,209","1,581",746,386,"1,290","1,348","1,327",624,"1,285",908,"1,320","2,576","1,117","1,062","1,079",158,"2,954","2,569"
2020년02월_남_30~39세,"29,612",536,472,433,260,618,940,"2,559","1,189",831,912,"1,778",586,456,"1,433",917,"1,110",464,"1,073",782,950,"1,459",908,707,830,142,"4,392","2,875"
2020년02월_남_40~49세,"34,352",375,503,398,266,617,939,"2,828","1,448",947,982,"1,870",756,501,"1,442","1,202","1,232",587,"1,197",942,"1,220","2,680","1,105",921,856,160,"5,129","3,249"
2020년02월_남_50~59세,"35,426",401,515,409,341,642,"1,003","3,208","1,526","1,148","1,221","1,727",970,500,"1,560","1,475","1,221",687,"1,460","1,342","1,366","2,774","1,145","1,155","1,223",321,"3,331","2,755"
2020년02월_남_60~69세,"24,127",354,484,314,314,529,757,"2,015","1,185",944,916,"1,133",931,338,"1,218","1,012",866,576,"1,206","1,276",692,"1,057",718,748,995,276,"1,674","1,599"
