,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년05월_계_총인구수,"106,556","5,348","7,379","7,674","13,675","8,547","7,801","7,704","6,804","4,429","9,933","4,930","9,351","12,981"
2021년05월_계_연령구간인구수,"106,556","5,348","7,379","7,674","13,675","8,547","7,801","7,704","6,804","4,429","9,933","4,930","9,351","12,981"
2021년05월_계_0~9세,"5,529",314,298,422,"1,123",587,622,434,101,107,472,131,325,593
2021년05월_계_10~19세,"7,219",355,486,516,"1,090",834,760,561,289,170,516,181,500,961
2021년05월_계_20~29세,"13,420",684,757,"1,194","1,714","1,008",897,"1,567",757,415,"1,413",450,851,"1,713"
2021년05월_계_30~39세,"10,928",639,609,853,"1,818",902,832,932,511,333,"1,142",430,730,"1,197"
2021년05월_계_40~49세,"14,389",701,954,"1,042","2,133","1,304","1,218","1,019",774,567,"1,288",585,"1,170","1,634"
2021년05월_계_50~59세,"17,419",878,"1,257","1,111","2,073","1,393","1,257","1,092","1,166",787,"1,706",888,"1,628","2,183"
2021년05월_계_60~69세,"19,196",888,"1,448","1,300","1,861","1,344","1,190","1,141","1,529",961,"1,742","1,142","2,069","2,581"
2021년05월_계_70~79세,"12,255",557,"1,009",797,"1,235",760,665,620,"1,067",704,"1,149",772,"1,454","1,466"
2021년05월_계_80~89세,"5,502",293,497,380,551,361,312,291,547,344,459,314,562,591
2021년05월_계_90~99세,672,36,63,57,77,52,43,44,59,41,45,37,59,59
2021년05월_계_100세 이상,27,3,1,2,0,2,5,3,4,0,1,0,3,3
2021년05월_남_총인구수,"51,591","2,585","3,603","3,610","6,454","3,921","3,761","3,648","3,456","2,239","4,741","2,512","4,682","6,379"
2021년05월_남_연령구간인구수,"51,591","2,585","3,603","3,610","6,454","3,921","3,761","3,648","3,456","2,239","4,741","2,512","4,682","6,379"
2021년05월_남_0~9세,"2,898",174,158,220,586,312,339,219,51,52,241,69,169,308
2021년05월_남_10~19세,"3,650",165,241,251,552,388,390,285,158,85,263,96,275,501
2021년05월_남_20~29세,"6,560",353,404,536,825,469,462,692,387,227,612,244,464,885
2021년05월_남_30~39세,"5,635",336,329,457,851,425,391,456,289,190,594,248,410,659
2021년05월_남_40~49세,"7,450",371,495,511,"1,051",608,575,516,457,336,665,354,641,870
2021년05월_남_50~59세,"8,912",441,629,554,"1,010",639,613,546,662,446,884,486,901,"1,101"
2021년05월_남_60~69세,"8,977",395,684,594,837,618,566,541,766,476,806,546,987,"1,161"
2021년05월_남_70~79세,"5,340",239,441,338,526,335,293,277,476,312,481,339,630,653
2021년05월_남_80~89세,"2,022",103,211,134,200,116,122,109,195,106,182,122,195,227
2021년05월_남_90~99세,141,8,11,15,16,11,9,6,12,9,13,8,10,13
2021년05월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년05월_여_총인구수,"54,965","2,763","3,776","4,064","7,221","4,626","4,040","4,056","3,348","2,190","5,192","2,418","4,669","6,602"
2021년05월_여_연령구간인구수,"54,965","2,763","3,776","4,064","7,221","4,626","4,040","4,056","3,348","2,190","5,192","2,418","4,669","6,602"
2021년05월_여_0~9세,"2,631",140,140,202,537,275,283,215,50,55,231,62,156,285
2021년05월_여_10~19세,"3,569",190,245,265,538,446,370,276,131,85,253,85,225,460
2021년05월_여_20~29세,"6,860",331,353,658,889,539,435,875,370,188,801,206,387,828
2021년05월_여_30~39세,"5,293",303,280,396,967,477,441,476,222,143,548,182,320,538
2021년05월_여_40~49세,"6,939",330,459,531,"1,082",696,643,503,317,231,623,231,529,764
2021년05월_여_50~59세,"8,507",437,628,557,"1,063",754,644,546,504,341,822,402,727,"1,082"
2021년05월_여_60~69세,"10,219",493,764,706,"1,024",726,624,600,763,485,936,596,"1,082","1,420"
2021년05월_여_70~79세,"6,915",318,568,459,709,425,372,343,591,392,668,433,824,813
2021년05월_여_80~89세,"3,480",190,286,246,351,245,190,182,352,238,277,192,367,364
2021년05월_여_90~99세,531,28,52,42,61,41,34,38,47,32,32,29,49,46
2021년05월_여_100세 이상,21,3,1,2,0,2,4,2,1,0,1,0,3,2
