,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년10월_계_총인구수,"144,119","12,099","9,175","12,750","16,646","11,438","10,331","10,851","11,131","6,482","9,613","15,774","9,160","8,669"
2021년10월_계_연령구간인구수,"144,119","12,099","9,175","12,750","16,646","11,438","10,331","10,851","11,131","6,482","9,613","15,774","9,160","8,669"
2021년10월_계_0~9세,"6,453",710,336,941,812,457,361,347,438,213,504,721,314,299
2021년10월_계_10~19세,"9,028","1,028",501,"1,036","1,256",731,567,565,611,358,622,867,451,435
2021년10월_계_20~29세,"20,046","1,216","1,119","1,241","2,033","1,783","1,991","1,519","1,624","1,336","1,460","2,371","1,305","1,048"
2021년10월_계_30~39세,"16,883","1,183","1,102","1,568","1,788","1,344","1,274","1,149","1,224",771,"1,241","2,126","1,121",992
2021년10월_계_40~49세,"19,585","1,906","1,308","1,816","2,378","1,526","1,279","1,435","1,314",770,"1,399","2,279","1,152","1,023"
2021년10월_계_50~59세,"24,310","2,002","1,609","2,057","2,892","2,002","1,601","1,891","2,000","1,014","1,550","2,629","1,530","1,533"
2021년10월_계_60~69세,"24,385","1,775","1,576","2,075","2,826","1,945","1,582","2,027","2,114","1,041","1,497","2,486","1,690","1,751"
2021년10월_계_70~79세,"14,879","1,371",980,"1,217","1,631","1,094","1,083","1,281","1,202",631,852,"1,504","1,003","1,030"
2021년10월_계_80~89세,"7,556",779,576,697,914,487,538,571,530,308,430,690,534,502
2021년10월_계_90~99세,973,129,67,98,113,68,54,65,72,40,56,99,58,54
2021년10월_계_100세 이상,21,0,1,4,3,1,1,1,2,0,2,2,2,2
2021년10월_남_총인구수,"69,287","5,714","4,418","6,082","7,942","5,593","4,899","5,365","5,415","3,070","4,618","7,705","4,329","4,137"
2021년10월_남_연령구간인구수,"69,287","5,714","4,418","6,082","7,942","5,593","4,899","5,365","5,415","3,070","4,618","7,705","4,329","4,137"
2021년10월_남_0~9세,"3,324",398,168,480,425,242,171,187,212,128,234,379,154,146
2021년10월_남_10~19세,"4,771",570,271,494,655,398,286,307,330,196,332,456,244,232
2021년10월_남_20~29세,"9,962",625,536,656,"1,031",899,935,762,850,573,717,"1,192",628,558
2021년10월_남_30~39세,"8,952",584,601,806,919,711,692,655,688,392,637,"1,109",591,567
2021년10월_남_40~49세,"9,899",932,675,878,"1,128",785,657,791,684,414,679,"1,171",584,521
2021년10월_남_50~59세,"11,924",986,813,959,"1,442",966,784,990,980,495,781,"1,283",723,722
2021년10월_남_60~69세,"11,188",769,737,968,"1,265",906,740,941,969,482,712,"1,167",762,770
2021년10월_남_70~79세,"6,322",545,404,547,693,488,444,525,524,275,371,650,435,421
2021년10월_남_80~89세,"2,735",278,202,263,357,184,180,198,168,105,146,276,195,183
2021년10월_남_90~99세,209,27,11,31,27,14,10,9,10,10,9,22,13,16
2021년10월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년10월_여_총인구수,"74,832","6,385","4,757","6,668","8,704","5,845","5,432","5,486","5,716","3,412","4,995","8,069","4,831","4,532"
2021년10월_여_연령구간인구수,"74,832","6,385","4,757","6,668","8,704","5,845","5,432","5,486","5,716","3,412","4,995","8,069","4,831","4,532"
2021년10월_여_0~9세,"3,129",312,168,461,387,215,190,160,226,85,270,342,160,153
2021년10월_여_10~19세,"4,257",458,230,542,601,333,281,258,281,162,290,411,207,203
2021년10월_여_20~29세,"10,084",591,583,585,"1,002",884,"1,056",757,774,763,743,"1,179",677,490
2021년10월_여_30~39세,"7,931",599,501,762,869,633,582,494,536,379,604,"1,017",530,425
2021년10월_여_40~49세,"9,686",974,633,938,"1,250",741,622,644,630,356,720,"1,108",568,502
2021년10월_여_50~59세,"12,386","1,016",796,"1,098","1,450","1,036",817,901,"1,020",519,769,"1,346",807,811
2021년10월_여_60~69세,"13,197","1,006",839,"1,107","1,561","1,039",842,"1,086","1,145",559,785,"1,319",928,981
2021년10월_여_70~79세,"8,557",826,576,670,938,606,639,756,678,356,481,854,568,609
2021년10월_여_80~89세,"4,821",501,374,434,557,303,358,373,362,203,284,414,339,319
2021년10월_여_90~99세,764,102,56,67,86,54,44,56,62,30,47,77,45,38
2021년10월_여_100세 이상,20,0,1,4,3,1,1,1,2,0,2,2,2,1
