,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년04월_계_총인구수,"505,236","37,906","18,445","13,248","37,268","34,006","14,523","13,357","32,487","22,912","18,449","7,234","35,119","16,979","19,805","35,230","29,925","17,125","17,881","32,791","13,224","13,108","24,214"
2020년04월_계_연령구간인구수,"505,236","37,906","18,445","13,248","37,268","34,006","14,523","13,357","32,487","22,912","18,449","7,234","35,119","16,979","19,805","35,230","29,925","17,125","17,881","32,791","13,224","13,108","24,214"
2020년04월_계_0~9세,"35,178","2,549","1,043",686,"2,767","2,734",985,618,"2,847","1,341","1,292",361,"2,831",958,"1,330","2,674","2,680",959,"1,223","2,072","1,160",775,"1,293"
2020년04월_계_10~19세,"45,106","3,048","1,421",887,"2,517","2,455",874,"1,032","3,876","2,116","1,889",555,"3,111","1,379","1,563","3,817","4,380","1,207","1,658","3,521","1,090","1,064","1,646"
2020년04월_계_20~29세,"72,250","6,263","2,628","1,737","5,877","5,255","2,123","1,793","4,335","3,002","2,738",939,"4,962","2,607","2,655","4,949","3,802","2,242","2,538","5,109","1,747","1,688","3,261"
2020년04월_계_30~39세,"70,542","6,229","2,699","1,752","6,845","6,394","2,269","1,452","4,003","2,537","2,247",860,"5,242","2,301","2,946","4,245","3,231","2,203","2,342","4,170","1,939","1,518","3,118"
2020년04월_계_40~49세,"79,698","5,840","2,831","1,922","5,753","5,480","2,140","1,865","5,651","3,283","2,926","1,136","5,335","2,512","2,608","5,928","6,076","2,485","2,847","5,525","1,910","2,005","3,640"
2020년04월_계_50~59세,"92,293","6,159","3,322","2,450","6,191","5,544","2,523","2,693","5,858","4,250","3,462","1,539","6,573","3,415","3,726","6,653","5,245","3,102","3,285","6,482","2,282","2,571","4,968"
2020년04월_계_60~69세,"63,391","4,449","2,455","2,048","4,218","3,544","2,043","2,196","3,556","3,359","2,300","1,096","4,236","2,283","2,944","3,942","2,650","2,774","2,293","3,460","1,898","1,969","3,678"
2020년04월_계_70~79세,"30,928","2,177","1,431","1,164","2,106","1,720","1,010","1,107","1,584","1,869",984,519,"1,887","1,031","1,297","1,884","1,201","1,521","1,162","1,616",823,"1,043","1,792"
2020년04월_계_80~89세,"13,601","1,021",530,507,864,746,472,504,664,985,534,177,823,425,626,968,559,568,470,721,318,401,718
2020년04월_계_90~99세,"2,052",159,74,83,115,121,74,83,106,153,75,41,112,64,107,158,100,60,58,111,51,62,85
2020년04월_계_100세 이상,197,12,11,12,15,13,10,14,7,17,2,11,7,4,3,12,1,4,5,4,6,12,15
2020년04월_남_총인구수,"250,187","18,236","9,217","6,612","18,412","16,859","7,209","6,746","16,036","11,150","8,843","3,891","17,590","8,601","9,681","17,302","14,558","8,644","8,716","15,844","6,795","6,707","12,538"
2020년04월_남_연령구간인구수,"250,187","18,236","9,217","6,612","18,412","16,859","7,209","6,746","16,036","11,150","8,843","3,891","17,590","8,601","9,681","17,302","14,558","8,644","8,716","15,844","6,795","6,707","12,538"
2020년04월_남_0~9세,"17,983","1,281",535,370,"1,396","1,385",530,334,"1,431",720,682,169,"1,475",476,673,"1,374","1,328",481,610,"1,044",625,427,637
2020년04월_남_10~19세,"23,367","1,513",736,471,"1,318","1,230",444,530,"2,030","1,126",955,291,"1,639",777,812,"1,968","2,244",625,840,"1,770",584,562,902
2020년04월_남_20~29세,"37,213","3,011","1,369",911,"2,884","2,625","1,056",985,"2,314","1,605","1,348",531,"2,587","1,382","1,394","2,615","1,964","1,190","1,290","2,592",960,891,"1,709"
2020년04월_남_30~39세,"36,509","3,212","1,461",938,"3,544","3,400","1,169",814,"1,892","1,295","1,145",471,"2,707","1,249","1,510","2,151","1,540","1,182","1,168","2,058","1,044",827,"1,732"
2020년04월_남_40~49세,"40,040","2,840","1,491","1,030","2,973","2,897","1,155",970,"2,742","1,603","1,360",655,"2,703","1,303","1,311","2,856","2,796","1,368","1,407","2,568","1,011","1,036","1,965"
2020년04월_남_50~59세,"45,277","2,888","1,647","1,209","2,999","2,675","1,210","1,374","2,854","2,005","1,608",865,"3,248","1,675","1,732","3,329","2,678","1,536","1,575","3,131","1,084","1,344","2,611"
2020년04월_남_60~69세,"30,895","2,096","1,134",992,"2,002","1,635","1,000","1,061","1,772","1,602","1,132",595,"2,059","1,118","1,464","1,939","1,307","1,327","1,120","1,729",971,980,"1,860"
2020년04월_남_70~79세,"13,868",970,647,494,947,738,466,498,763,836,432,252,862,467,592,779,520,710,524,688,385,467,831
2020년04월_남_80~89세,"4,562",391,174,170,312,242,170,159,215,326,167,51,287,144,168,261,166,208,164,237,120,158,272
2020년04월_남_90~99세,428,33,20,21,32,30,8,18,22,29,13,7,22,10,23,29,15,16,17,25,9,13,16
2020년04월_남_100세 이상,45,1,3,6,5,2,1,3,1,3,1,4,1,0,2,1,0,1,1,2,2,2,3
2020년04월_여_총인구수,"255,049","19,670","9,228","6,636","18,856","17,147","7,314","6,611","16,451","11,762","9,606","3,343","17,529","8,378","10,124","17,928","15,367","8,481","9,165","16,947","6,429","6,401","11,676"
