카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년06월_계_총인구수,"210,173","4,914","2,052","3,059","8,594","3,034","2,339","4,012","12,694","3,727","3,728","2,314","3,291","1,961","2,791","23,601","7,221","15,680","5,279","9,709","17,590","3,710","9,439","14,794","37,908","6,732"
2020년06월_계_연령구간인구수,"210,173","4,914","2,052","3,059","8,594","3,034","2,339","4,012","12,694","3,727","3,728","2,314","3,291","1,961","2,791","23,601","7,221","15,680","5,279","9,709","17,590","3,710","9,439","14,794","37,908","6,732"
2020년06월_계_0~9세,"14,964",117,41,82,562,32,57,81,"1,938",321,106,57,84,64,112,"1,684",303,"1,294",260,391,"2,063",99,567,"1,091","2,921",637
2020년06월_계_10~19세,"19,178",232,64,119,405,117,99,154,923,274,176,79,181,79,166,"2,556",566,"2,050",478,732,"2,322",155,781,"1,804","3,978",688
2020년06월_계_20~29세,"24,287",383,127,206,"1,353",191,136,272,"1,499",492,260,153,195,102,300,"2,790",893,"1,908",587,"1,053","2,004",516,"1,134","1,920","5,048",765
2020년06월_계_30~39세,"23,715",321,109,168,"1,378",173,123,189,"2,894",457,188,128,175,115,231,"2,482",632,"1,710",454,861,"2,559",281,"1,064","1,537","4,625",861
2020년06월_계_40~49세,"31,253",499,163,273,"1,169",240,191,356,"1,964",512,354,206,279,152,346,"3,720",994,"2,925",744,"1,222","3,295",405,"1,415","2,615","6,055","1,159"
2020년06월_계_50~59세,"37,844","1,050",439,655,"1,461",607,424,820,"1,494",511,764,444,593,353,496,"4,396","1,321","2,730",968,"1,823","2,723",743,"1,759","2,837","7,216","1,217"
2020년06월_계_60~69세,"30,520","1,116",567,763,"1,222",764,593,"1,033","1,102",552,867,558,838,508,541,"3,226","1,230","1,648",857,"1,888","1,518",722,"1,467","1,611","4,577",752
2020년06월_계_70~79세,"17,473",694,330,507,607,501,418,646,516,349,564,395,528,346,366,"1,755",805,886,588,"1,112",708,484,876,883,"2,207",402
2020년06월_계_80~89세,"9,663",453,183,239,387,368,261,407,318,230,387,261,364,219,191,885,432,468,303,543,349,277,338,447,"1,133",220
2020년06월_계_90~99세,"1,207",46,28,46,43,38,33,50,44,26,60,31,48,22,39,102,42,57,36,80,49,27,36,48,147,29
2020년06월_계_100세 이상,69,3,1,1,7,3,4,4,2,3,2,2,6,1,3,5,3,4,4,4,0,1,2,1,1,2
2020년06월_남_총인구수,"106,312","2,507","1,050","1,551","4,827","1,553","1,180","2,069","6,545","1,983","1,885","1,190","1,677",999,"1,376","11,835","3,641","7,671","2,640","4,865","8,762","1,999","4,874","7,304","18,807","3,522"
2020년06월_남_연령구간인구수,"106,312","2,507","1,050","1,551","4,827","1,553","1,180","2,069","6,545","1,983","1,885","1,190","1,677",999,"1,376","11,835","3,641","7,671","2,640","4,865","8,762","1,999","4,874","7,304","18,807","3,522"
2020년06월_남_0~9세,"7,593",66,19,38,291,14,26,52,983,147,48,33,46,30,54,894,150,627,136,200,"1,039",45,277,563,"1,469",346
2020년06월_남_10~19세,"9,981",113,34,70,233,59,60,89,457,142,82,41,107,44,87,"1,339",287,"1,085",247,374,"1,198",85,387,944,"2,056",361
2020년06월_남_20~29세,"13,917",240,77,129,861,116,85,167,842,325,155,88,107,58,167,"1,613",511,"1,055",334,569,"1,094",320,651,"1,031","2,874",448
2020년06월_남_30~39세,"12,765",180,63,94,852,107,73,115,"1,581",253,107,78,97,65,133,"1,295",366,860,250,487,"1,271",177,585,790,"2,425",461
2020년06월_남_40~49세,"16,058",298,99,162,684,163,136,202,"1,030",307,212,119,164,89,200,"1,842",535,"1,383",378,662,"1,638",252,775,"1,223","2,909",596
