카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년01월_계_총인구수,"83,849","30,016","28,483",0,"3,224","3,508","2,076","6,077","10,465"
2021년01월_계_연령구간인구수,"83,849","30,016","28,483",0,"3,224","3,508","2,076","6,077","10,465"
2021년01월_계_0~9세,"7,700","2,217","4,279",0,87,123,52,200,742
2021년01월_계_10~19세,"8,079","3,204","2,984",0,182,142,78,393,"1,096"
2021년01월_계_20~29세,"9,267","3,905","3,075",0,205,276,97,525,"1,184"
2021년01월_계_30~39세,"11,510","3,208","6,038",0,176,257,118,459,"1,254"
2021년01월_계_40~49세,"13,584","4,970","5,250",0,312,354,166,710,"1,822"
2021년01월_계_50~59세,"13,741","5,356","3,355",0,628,746,379,"1,212","2,065"
2021년01월_계_60~69세,"10,441","3,742","2,039",0,734,781,561,"1,298","1,286"
2021년01월_계_70~79세,"5,545","2,099",849,0,470,459,332,713,623
2021년01월_계_80~89세,"3,490","1,159",541,0,387,326,250,483,344
2021년01월_계_90~99세,473,152,69,0,42,42,40,79,49
2021년01월_계_100세 이상,19,4,4,0,1,2,3,5,0
2021년01월_남_총인구수,"43,937","15,428","15,046",0,"1,657","1,832","1,054","3,209","5,711"
2021년01월_남_연령구간인구수,"43,937","15,428","15,046",0,"1,657","1,832","1,054","3,209","5,711"
2021년01월_남_0~9세,"3,984","1,164","2,196",0,46,59,26,108,385
2021년01월_남_10~19세,"4,235","1,699","1,522",0,93,71,42,201,607
2021년01월_남_20~29세,"5,343","2,223","1,734",0,125,161,60,321,719
2021년01월_남_30~39세,"6,316","1,704","3,262",0,109,151,71,278,741
2021년01월_남_40~49세,"7,420","2,587","2,904",0,189,228,98,417,997
2021년01월_남_50~59세,"7,489","2,881","1,801",0,366,409,219,676,"1,137"
2021년01월_남_60~69세,"5,334","1,803","1,022",0,388,420,290,708,703
2021년01월_남_70~79세,"2,532",944,389,0,218,221,147,329,284
2021년01월_남_80~89세,"1,190",390,198,0,116,102,93,159,132
2021년01월_남_90~99세,89,31,18,0,7,9,8,10,6
2021년01월_남_100세 이상,5,2,0,0,0,1,0,2,0
2021년01월_여_총인구수,"39,912","14,588","13,437",0,"1,567","1,676","1,022","2,868","4,754"
2021년01월_여_연령구간인구수,"39,912","14,588","13,437",0,"1,567","1,676","1,022","2,868","4,754"
2021년01월_여_0~9세,"3,716","1,053","2,083",0,41,64,26,92,357
2021년01월_여_10~19세,"3,844","1,505","1,462",0,89,71,36,192,489
2021년01월_여_20~29세,"3,924","1,682","1,341",0,80,115,37,204,465
2021년01월_여_30~39세,"5,194","1,504","2,776",0,67,106,47,181,513
2021년01월_여_40~49세,"6,164","2,383","2,346",0,123,126,68,293,825
2021년01월_여_50~59세,"6,252","2,475","1,554",0,262,337,160,536,928
2021년01월_여_60~69세,"5,107","1,939","1,017",0,346,361,271,590,583
2021년01월_여_70~79세,"3,013","1,155",460,0,252,238,185,384,339
2021년01월_여_80~89세,"2,300",769,343,0,271,224,157,324,212
2021년01월_여_90~99세,384,121,51,0,35,33,32,69,43
2021년01월_여_100세 이상,14,2,4,0,1,1,3,3,0
