카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년07월_계_총인구수,"131,979","6,842","7,242","4,573","43,573","30,785","2,503","32,879","3,582"
2020년07월_계_연령구간인구수,"131,979","6,842","7,242","4,573","43,573","30,785","2,503","32,879","3,582"
2020년07월_계_0~9세,"19,392",188,514,91,"8,431","5,380",62,"4,608",118
2020년07월_계_10~19세,"10,949",305,488,150,"3,419","4,119",65,"2,257",146
2020년07월_계_20~29세,"11,868",655,853,385,"3,676","2,537",206,"3,263",293
2020년07월_계_30~39세,"26,310",580,889,364,"11,377","5,293",206,"7,292",309
2020년07월_계_40~49세,"22,183",716,930,393,"7,336","6,601",209,"5,583",415
2020년07월_계_50~59세,"16,473","1,311","1,143",999,"4,165","3,373",515,"4,215",752
2020년07월_계_60~69세,"15,094","1,631","1,329","1,274","3,410","2,360",615,"3,627",848
2020년07월_계_70~79세,"6,631","1,010",699,590,"1,247",801,418,"1,418",448
2020년07월_계_80~89세,"2,600",385,336,264,428,276,175,530,206
2020년07월_계_90~99세,435,58,54,52,75,44,29,81,42
2020년07월_계_100세 이상,44,3,7,11,9,1,3,5,5
2020년07월_남_총인구수,"68,208","3,786","4,016","2,435","21,819","15,304","1,327","17,631","1,890"
2020년07월_남_연령구간인구수,"68,208","3,786","4,016","2,435","21,819","15,304","1,327","17,631","1,890"
2020년07월_남_0~9세,"9,961",95,267,42,"4,263","2,779",29,"2,423",63
2020년07월_남_10~19세,"5,577",176,266,82,"1,661","2,093",43,"1,181",75
2020년07월_남_20~29세,"6,360",385,555,240,"1,773","1,297",116,"1,817",177
2020년07월_남_30~39세,"13,438",339,511,215,"5,653","2,392",120,"4,023",185
2020년07월_남_40~49세,"12,422",433,565,248,"4,068","3,387",139,"3,332",250
2020년07월_남_50~59세,"8,475",775,656,541,"1,941","1,705",282,"2,176",399
2020년07월_남_60~69세,"7,694",906,718,689,"1,640","1,151",327,"1,831",432
2020년07월_남_70~79세,"3,317",519,353,270,662,395,212,673,233
2020년07월_남_80~89세,876,147,117,93,146,92,53,161,67
2020년07월_남_90~99세,76,10,6,11,9,12,6,13,9
2020년07월_남_100세 이상,12,1,2,4,3,1,0,1,0
2020년07월_여_총인구수,"63,771","3,056","3,226","2,138","21,754","15,481","1,176","15,248","1,692"
2020년07월_여_연령구간인구수,"63,771","3,056","3,226","2,138","21,754","15,481","1,176","15,248","1,692"
2020년07월_여_0~9세,"9,431",93,247,49,"4,168","2,601",33,"2,185",55
2020년07월_여_10~19세,"5,372",129,222,68,"1,758","2,026",22,"1,076",71
2020년07월_여_20~29세,"5,508",270,298,145,"1,903","1,240",90,"1,446",116
2020년07월_여_30~39세,"12,872",241,378,149,"5,724","2,901",86,"3,269",124
2020년07월_여_40~49세,"9,761",283,365,145,"3,268","3,214",70,"2,251",165
2020년07월_여_50~59세,"7,998",536,487,458,"2,224","1,668",233,"2,039",353
2020년07월_여_60~69세,"7,400",725,611,585,"1,770","1,209",288,"1,796",416
2020년07월_여_70~79세,"3,314",491,346,320,585,406,206,745,215
2020년07월_여_80~89세,"1,724",238,219,171,282,184,122,369,139
2020년07월_여_90~99세,359,48,48,41,66,32,23,68,33
2020년07월_여_100세 이상,32,2,5,7,6,0,3,4,5
