카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년12월_계_총인구수,"357,757","17,887","8,439","3,643","29,029","2,226","2,163","9,256","7,385","3,574","2,577","4,562","12,740","8,398","15,519","44,736","8,576","4,693","28,820","13,573","10,306","24,745","7,941","7,835","34,415","44,719"
2021년12월_계_연령구간인구수,"357,757","17,887","8,439","3,643","29,029","2,226","2,163","9,256","7,385","3,574","2,577","4,562","12,740","8,398","15,519","44,736","8,576","4,693","28,820","13,573","10,306","24,745","7,941","7,835","34,415","44,719"
2021년12월_계_0~9세,"27,420","1,063",323,102,"4,790",38,42,457,397,58,47,182,611,372,706,"3,266",384,147,"2,067",979,741,"1,648",249,492,"3,118","5,141"
2021년12월_계_10~19세,"35,362","1,558",486,116,"2,624",83,68,673,640,105,94,310,"1,276",729,"1,600","5,181",595,265,"2,372","1,181","1,094","2,535",635,862,"4,480","5,800"
2021년12월_계_20~29세,"44,938","2,017",928,301,"2,621",130,139,"1,463","1,002",182,170,662,"1,585","1,078","2,118","6,611","1,600",530,"4,244","1,961","1,150","2,937",846,942,"4,409","5,312"
2021년12월_계_30~39세,"45,429","1,789",674,225,"6,895",85,105,898,873,190,179,474,"1,184",748,"1,377","5,537",931,390,"4,284","1,573","1,058","2,701",630,739,"4,588","7,302"
2021년12월_계_40~49세,"56,864","2,855",891,322,"5,194",147,155,"1,214","1,128",260,253,544,"1,686","1,076","2,266","7,896",986,589,"4,031","2,126","1,707","4,003",952,"1,193","6,503","8,887"
2021년12월_계_50~59세,"61,255","3,396","1,665",674,"3,183",341,427,"1,628","1,433",728,535,848,"2,400","1,657","3,104","7,901","1,366",911,"5,291","2,301","1,780","4,561","1,519","1,486","5,492","6,628"
2021년12월_계_60~69세,"50,069","2,812","1,959",988,"2,423",691,613,"1,707","1,126","1,066",648,834,"2,125","1,497","2,497","4,954","1,422",984,"4,212","2,014","1,538","3,742","1,628","1,256","3,744","3,589"
2021년12월_계_70~79세,"21,409","1,421",845,457,775,382,356,667,442,557,339,390,"1,101",743,"1,071","2,066",770,507,"1,405",900,768,"1,550",821,485,"1,321","1,270"
2021년12월_계_80~89세,"12,978",847,562,403,443,281,216,487,290,374,265,283,679,437,681,"1,164",446,312,785,464,421,952,561,322,640,663
2021년12월_계_90~99세,"1,978",123,105,54,78,47,42,60,53,51,47,34,91,60,99,156,74,56,125,73,47,115,96,52,118,122
2021년12월_계_100세 이상,55,6,1,1,3,1,0,2,1,3,0,1,2,1,0,4,2,2,4,1,2,1,4,6,2,5
2021년12월_남_총인구수,"177,396","9,149","4,471","1,920","14,255","1,134","1,114","4,873","3,888","1,827","1,378","2,176","6,093","4,039","7,504","21,951","4,134","2,334","14,044","7,172","5,156","12,363","3,927","3,887","16,870","21,737"
2021년12월_남_연령구간인구수,"177,396","9,149","4,471","1,920","14,255","1,134","1,114","4,873","3,888","1,827","1,378","2,176","6,093","4,039","7,504","21,951","4,134","2,334","14,044","7,172","5,156","12,363","3,927","3,887","16,870","21,737"
2021년12월_남_0~9세,"13,933",535,176,58,"2,358",17,24,232,194,28,26,92,290,186,333,"1,694",186,75,"1,090",520,367,862,130,265,"1,590","2,605"
2021년12월_남_10~19세,"18,275",792,241,66,"1,311",33,31,349,342,64,51,166,693,353,803,"2,673",331,152,"1,221",657,576,"1,324",365,439,"2,393","2,849"
2021년12월_남_20~29세,"23,959","1,117",603,190,"1,268",76,79,847,563,94,89,336,851,589,"1,109","3,566",768,294,"2,217","1,139",592,"1,596",462,515,"2,367","2,632"
2021년12월_남_30~39세,"23,135",983,384,121,"3,450",50,70,491,491,116,102,239,589,388,714,"2,836",503,213,"2,249",841,546,"1,397",368,364,"2,243","3,387"
2021년12월_남_40~49세,"27,972","1,485",497,196,"2,652",99,82,649,586,157,162,285,789,509,"1,066","3,715",503,327,"1,913","1,112",872,"2,021",475,569,"2,992","4,259"
2021년12월_남_50~59세,"30,685","1,812",877,389,"1,485",199,246,876,783,378,329,411,"1,147",784,"1,546","3,839",648,468,"2,402","1,239",940,"2,314",781,736,"2,655","3,401"
2021년12월_남_60~69세,"24,863","1,447","1,047",521,"1,209",365,332,921,606,564,361,388,996,731,"1,225","2,363",652,467,"2,017","1,055",760,"1,849",789,640,"1,783","1,775"
2021년12월_남_70~79세,"9,570",652,415,232,365,188,159,318,210,269,155,160,476,319,471,842,344,214,620,412,331,659,349,227,602,581
2021년12월_남_80~89세,"4,556",291,204,138,142,98,85,176,104,142,92,85,242,166,217,388,174,111,293,179,164,311,185,119,222,228
2021년12월_남_90~99세,441,32,27,9,15,9,6,13,9,15,11,14,20,14,20,34,24,13,22,18,8,30,22,13,23,20
2021년12월_남_100세 이상,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2021년12월_여_총인구수,"180,361","8,738","3,968","1,723","14,774","1,092","1,049","4,383","3,497","1,747","1,199","2,386","6,647","4,359","8,015","22,785","4,442","2,359","14,776","6,401","5,150","12,382","4,014","3,948","17,545","22,982"
2021년12월_여_연령구간인구수,"180,361","8,738","3,968","1,723","14,774","1,092","1,049","4,383","3,497","1,747","1,199","2,386","6,647","4,359","8,015","22,785","4,442","2,359","14,776","6,401","5,150","12,382","4,014","3,948","17,545","22,982"
2021년12월_여_0~9세,"13,487",528,147,44,"2,432",21,18,225,203,30,21,90,321,186,373,"1,572",198,72,977,459,374,786,119,227,"1,528","2,536"
2021년12월_여_10~19세,"17,087",766,245,50,"1,313",50,37,324,298,41,43,144,583,376,797,"2,508",264,113,"1,151",524,518,"1,211",270,423,"2,087","2,951"
2021년12월_여_20~29세,"20,979",900,325,111,"1,353",54,60,616,439,88,81,326,734,489,"1,009","3,045",832,236,"2,027",822,558,"1,341",384,427,"2,042","2,680"
2021년12월_여_30~39세,"22,294",806,290,104,"3,445",35,35,407,382,74,77,235,595,360,663,"2,701",428,177,"2,035",732,512,"1,304",262,375,"2,345","3,915"
2021년12월_여_40~49세,"28,892","1,370",394,126,"2,542",48,73,565,542,103,91,259,897,567,"1,200","4,181",483,262,"2,118","1,014",835,"1,982",477,624,"3,511","4,628"
2021년12월_여_50~59세,"30,570","1,584",788,285,"1,698",142,181,752,650,350,206,437,"1,253",873,"1,558","4,062",718,443,"2,889","1,062",840,"2,247",738,750,"2,837","3,227"
2021년12월_여_60~69세,"25,206","1,365",912,467,"1,214",326,281,786,520,502,287,446,"1,129",766,"1,272","2,591",770,517,"2,195",959,778,"1,893",839,616,"1,961","1,814"
2021년12월_여_70~79세,"11,839",769,430,225,410,194,197,349,232,288,184,230,625,424,600,"1,224",426,293,785,488,437,891,472,258,719,689
2021년12월_여_80~89세,"8,422",556,358,265,301,183,131,311,186,232,173,198,437,271,464,776,272,201,492,285,257,641,376,203,418,435
2021년12월_여_90~99세,"1,537",91,78,45,63,38,36,47,44,36,36,20,71,46,79,122,50,43,103,55,39,85,74,39,95,102
2021년12월_여_100세 이상,48,3,1,1,3,1,0,1,1,3,0,1,2,1,0,3,1,2,4,1,2,1,3,6,2,5
