,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년09월_계_총인구수,"42,937","6,459","4,529","6,042","13,715","3,908","3,518","2,631","2,135"
2020년09월_계_연령구간인구수,"42,937","6,459","4,529","6,042","13,715","3,908","3,518","2,631","2,135"
2020년09월_계_0~9세,"2,650",492,195,404,"1,145",166,128,79,41
2020년09월_계_10~19세,"3,880",573,321,516,"1,667",263,230,204,106
2020년09월_계_20~29세,"3,665",601,351,410,"1,446",269,305,152,131
2020년09월_계_30~39세,"3,864",617,293,550,"1,574",287,261,153,129
2020년09월_계_40~49세,"6,498",934,632,945,"2,595",519,393,284,196
2020년09월_계_50~59세,"7,434","1,141",820,972,"2,189",762,740,426,384
2020년09월_계_60~69세,"7,636","1,107","1,006","1,078","1,723",898,720,606,498
2020년09월_계_70~79세,"4,916",672,639,778,949,516,466,486,410
2020년09월_계_80~89세,"2,061",263,224,334,376,199,241,217,207
2020년09월_계_90~99세,270,45,40,46,43,24,27,20,25
2020년09월_계_100세 이상,63,14,8,9,8,5,7,4,8
2020년09월_남_총인구수,"21,741","3,206","2,312","3,060","6,967","1,975","1,738","1,374","1,109"
2020년09월_남_연령구간인구수,"21,741","3,206","2,312","3,060","6,967","1,975","1,738","1,374","1,109"
2020년09월_남_0~9세,"1,374",256,95,222,585,85,64,46,21
2020년09월_남_10~19세,"2,030",301,172,258,874,119,110,138,58
2020년09월_남_20~29세,"2,103",361,210,242,817,141,168,87,77
2020년09월_남_30~39세,"2,028",322,161,265,797,162,157,83,81
2020년09월_남_40~49세,"3,459",470,348,545,"1,326",286,202,172,110
2020년09월_남_50~59세,"3,976",571,451,551,"1,153",403,388,238,221
2020년09월_남_60~69세,"3,761",522,509,500,843,446,367,315,259
2020년09월_남_70~79세,"2,189",291,274,344,434,239,203,213,191
2020년09월_남_80~89세,735,96,79,118,126,88,74,76,78
2020년09월_남_90~99세,60,9,10,12,7,4,3,4,11
2020년09월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년09월_여_총인구수,"21,196","3,253","2,217","2,982","6,748","1,933","1,780","1,257","1,026"
2020년09월_여_연령구간인구수,"21,196","3,253","2,217","2,982","6,748","1,933","1,780","1,257","1,026"
2020년09월_여_0~9세,"1,276",236,100,182,560,81,64,33,20
2020년09월_여_10~19세,"1,850",272,149,258,793,144,120,66,48
2020년09월_여_20~29세,"1,562",240,141,168,629,128,137,65,54
2020년09월_여_30~39세,"1,836",295,132,285,777,125,104,70,48
2020년09월_여_40~49세,"3,039",464,284,400,"1,269",233,191,112,86
2020년09월_여_50~59세,"3,458",570,369,421,"1,036",359,352,188,163
2020년09월_여_60~69세,"3,875",585,497,578,880,452,353,291,239
2020년09월_여_70~79세,"2,727",381,365,434,515,277,263,273,219
2020년09월_여_80~89세,"1,326",167,145,216,250,111,167,141,129
2020년09월_여_90~99세,210,36,30,34,36,20,24,16,14
2020년09월_여_100세 이상,37,7,5,6,3,3,5,2,6
