카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년07월_계_총인구수,"32,307","8,502","3,420","1,890","3,916","1,947","3,144","2,888","2,870","3,730"
2020년07월_계_연령구간인구수,"32,307","8,502","3,420","1,890","3,916","1,947","3,144","2,888","2,870","3,730"
2020년07월_계_0~9세,"1,438",548,141,71,147,51,110,109,99,162
2020년07월_계_10~19세,"2,088",767,190,66,221,99,236,143,133,233
2020년07월_계_20~29세,"2,544",808,200,133,274,139,258,196,259,277
2020년07월_계_30~39세,"2,182",735,183,121,233,104,194,186,188,238
2020년07월_계_40~49세,"3,562","1,162",357,186,393,174,297,269,323,401
2020년07월_계_50~59세,"5,592","1,384",584,302,672,369,583,516,525,657
2020년07월_계_60~69세,"5,817","1,261",638,410,764,363,544,617,555,665
2020년07월_계_70~79세,"5,216","1,068",670,331,681,351,528,468,454,665
2020년07월_계_80~89세,"3,368",672,411,231,459,262,340,335,285,373
2020년07월_계_90~99세,474,92,45,38,69,34,53,47,42,54
2020년07월_계_100세 이상,26,5,1,1,3,1,1,2,7,5
2020년07월_남_총인구수,"16,154","4,181","1,692",940,"1,948",938,"1,614","1,424","1,450","1,967"
2020년07월_남_연령구간인구수,"16,154","4,181","1,692",940,"1,948",938,"1,614","1,424","1,450","1,967"
2020년07월_남_0~9세,749,282,59,38,82,21,64,58,48,97
2020년07월_남_10~19세,"1,106",416,96,35,113,54,127,68,70,127
2020년07월_남_20~29세,"1,494",433,124,71,169,92,162,114,152,177
2020년07월_남_30~39세,"1,173",365,100,73,127,57,112,106,97,136
2020년07월_남_40~49세,"2,117",639,234,116,244,100,165,159,184,276
2020년07월_남_50~59세,"3,241",760,339,171,371,209,366,305,312,408
2020년07월_남_60~69세,"2,994",616,334,205,413,192,266,332,289,347
2020년07월_남_70~79세,"2,169",443,262,151,280,133,237,189,195,279
2020년07월_남_80~89세,"1,001",202,133,72,136,71,104,90,89,104
2020년07월_남_90~99세,107,23,11,8,13,9,11,3,14,15
2020년07월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년07월_여_총인구수,"16,153","4,321","1,728",950,"1,968","1,009","1,530","1,464","1,420","1,763"
2020년07월_여_연령구간인구수,"16,153","4,321","1,728",950,"1,968","1,009","1,530","1,464","1,420","1,763"
2020년07월_여_0~9세,689,266,82,33,65,30,46,51,51,65
2020년07월_여_10~19세,982,351,94,31,108,45,109,75,63,106
2020년07월_여_20~29세,"1,050",375,76,62,105,47,96,82,107,100
2020년07월_여_30~39세,"1,009",370,83,48,106,47,82,80,91,102
2020년07월_여_40~49세,"1,445",523,123,70,149,74,132,110,139,125
2020년07월_여_50~59세,"2,351",624,245,131,301,160,217,211,213,249
2020년07월_여_60~69세,"2,823",645,304,205,351,171,278,285,266,318
2020년07월_여_70~79세,"3,047",625,408,180,401,218,291,279,259,386
2020년07월_여_80~89세,"2,367",470,278,159,323,191,236,245,196,269
2020년07월_여_90~99세,367,69,34,30,56,25,42,44,28,39
2020년07월_여_100세 이상,23,3,1,1,3,1,1,2,7,4
