,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년08월_계_총인구수,"440,395","16,981","23,863","15,624","15,402","24,675","15,356","16,108","18,886","23,480","15,554","25,813","36,533","17,211","39,949","27,049","20,067","20,312","13,991","17,865","35,676"
2020년08월_계_연령구간인구수,"440,395","16,981","23,863","15,624","15,402","24,675","15,356","16,108","18,886","23,480","15,554","25,813","36,533","17,211","39,949","27,049","20,067","20,312","13,991","17,865","35,676"
2020년08월_계_0~9세,"29,627",807,"1,193",580,856,"2,099",461,"1,008","1,475","1,526",673,"1,785","4,133","1,508","2,779","2,163","1,155",957,623,"1,792","2,054"
2020년08월_계_10~19세,"38,011","1,251","1,977","1,008","1,392","2,867",913,"1,012","1,860","1,914","1,024","2,216","4,855","1,443","3,763","2,657","1,519","1,622",940,"1,465","2,313"
2020년08월_계_20~29세,"67,160","2,781","4,308","4,455","2,095","3,008","5,081","2,810","2,331","3,244","3,079","3,245","3,483","2,162","5,851","3,066","3,610","3,041","1,929","2,331","5,250"
2020년08월_계_30~39세,"60,726","2,508","3,395","2,526","2,002","3,093","2,072","2,701","2,730","3,131","1,912","3,430","4,877","2,565","5,306","3,594","2,774","2,458","1,713","2,893","5,046"
2020년08월_계_40~49세,"70,876","2,609","3,785","2,061","2,226","4,614","1,737","2,473","3,315","3,673","1,999","4,250","7,997","3,003","6,569","4,671","2,909","2,943","2,016","2,790","5,236"
2020년08월_계_50~59세,"69,586","2,751","3,701","1,909","2,767","4,049","2,074","2,597","2,858","3,768","2,394","4,158","4,903","2,751","6,340","4,279","3,060","3,866","2,486","2,839","6,036"
2020년08월_계_60~69세,"54,355","2,058","2,712","1,457","2,144","2,668","1,474","1,882","2,215","3,299","2,162","3,573","3,254","2,095","4,696","3,512","2,630","2,984","2,183","2,152","5,205"
2020년08월_계_70~79세,"33,703","1,389","1,848","1,091","1,280","1,465","1,027","1,091","1,411","2,008","1,505","2,171","2,084","1,160","2,928","2,170","1,614","1,657","1,437","1,142","3,225"
2020년08월_계_80~89세,"13,951",674,804,446,555,683,446,448,602,786,678,838,797,443,"1,437",821,691,685,556,394,"1,167"
2020년08월_계_90~99세,"2,018",139,105,73,72,118,57,70,75,113,119,124,124,62,236,92,94,84,80,53,128
2020년08월_계_100세 이상,382,14,35,18,13,11,14,16,14,18,9,23,26,19,44,24,11,15,28,14,16
2020년08월_남_총인구수,"212,559","7,944","11,367","6,585","7,186","11,773","7,770","7,788","9,114","11,386","7,719","12,481","17,387","8,326","19,688","13,082","9,631","9,911","6,912","8,868","17,641"
2020년08월_남_연령구간인구수,"212,559","7,944","11,367","6,585","7,186","11,773","7,770","7,788","9,114","11,386","7,719","12,481","17,387","8,326","19,688","13,082","9,631","9,911","6,912","8,868","17,641"
2020년08월_남_0~9세,"15,143",379,623,284,406,"1,084",232,512,774,782,342,936,"2,125",807,"1,439","1,101",597,462,303,908,"1,047"
2020년08월_남_10~19세,"19,285",671,"1,020",440,665,"1,429",474,498,922,996,526,"1,158","2,375",754,"2,032","1,279",762,841,480,752,"1,211"
2020년08월_남_20~29세,"32,445","1,292","1,942","1,446",977,"1,504","2,686","1,373","1,167","1,634","1,704","1,656","1,656","1,044","3,086","1,471","1,554","1,561",954,"1,153","2,585"
2020년08월_남_30~39세,"30,260","1,178","1,669","1,180",986,"1,440","1,153","1,377","1,328","1,612","1,078","1,665","2,209","1,235","2,642","1,787","1,421","1,334",908,"1,424","2,634"
2020년08월_남_40~49세,"34,880","1,254","1,845",989,"1,053","2,179",891,"1,249","1,611","1,807",993,"2,105","3,833","1,431","3,222","2,338","1,483","1,437","1,076","1,396","2,688"
2020년08월_남_50~59세,"34,276","1,294","1,866",934,"1,320","1,946","1,019","1,244","1,417","1,812","1,176","2,004","2,491","1,365","3,185","2,123","1,535","1,848","1,267","1,468","2,962"
2020년08월_남_60~69세,"25,560",963,"1,279",649,987,"1,260",697,883,"1,031","1,518",973,"1,631","1,462",999,"2,221","1,669","1,270","1,434","1,039","1,043","2,552"
2020년08월_남_70~79세,"14,722",595,783,461,560,632,434,471,605,874,637,958,911,502,"1,258",968,709,716,641,547,"1,460"
2020년08월_남_80~89세,"5,384",275,304,174,202,268,168,166,235,319,258,332,293,166,522,319,279,252,223,164,465
2020년08월_남_90~99세,508,36,28,22,25,28,12,10,22,30,30,32,25,18,67,21,20,22,19,11,30
2020년08월_남_100세 이상,96,7,8,6,5,3,4,5,2,2,2,4,7,5,14,6,1,4,2,2,7
2020년08월_여_총인구수,"227,836","9,037","12,496","9,039","8,216","12,902","7,586","8,320","9,772","12,094","7,835","13,332","19,146","8,885","20,261","13,967","10,436","10,401","7,079","8,997","18,035"
2020년08월_여_연령구간인구수,"227,836","9,037","12,496","9,039","8,216","12,902","7,586","8,320","9,772","12,094","7,835","13,332","19,146","8,885","20,261","13,967","10,436","10,401","7,079","8,997","18,035"
2020년08월_여_0~9세,"14,484",428,570,296,450,"1,015",229,496,701,744,331,849,"2,008",701,"1,340","1,062",558,495,320,884,"1,007"
2020년08월_여_10~19세,"18,726",580,957,568,727,"1,438",439,514,938,918,498,"1,058","2,480",689,"1,731","1,378",757,781,460,713,"1,102"
2020년08월_여_20~29세,"34,715","1,489","2,366","3,009","1,118","1,504","2,395","1,437","1,164","1,610","1,375","1,589","1,827","1,118","2,765","1,595","2,056","1,480",975,"1,178","2,665"
2020년08월_여_30~39세,"30,466","1,330","1,726","1,346","1,016","1,653",919,"1,324","1,402","1,519",834,"1,765","2,668","1,330","2,664","1,807","1,353","1,124",805,"1,469","2,412"
2020년08월_여_40~49세,"35,996","1,355","1,940","1,072","1,173","2,435",846,"1,224","1,704","1,866","1,006","2,145","4,164","1,572","3,347","2,333","1,426","1,506",940,"1,394","2,548"
2020년08월_여_50~59세,"35,310","1,457","1,835",975,"1,447","2,103","1,055","1,353","1,441","1,956","1,218","2,154","2,412","1,386","3,155","2,156","1,525","2,018","1,219","1,371","3,074"
2020년08월_여_60~69세,"28,795","1,095","1,433",808,"1,157","1,408",777,999,"1,184","1,781","1,189","1,942","1,792","1,096","2,475","1,843","1,360","1,550","1,144","1,109","2,653"
2020년08월_여_70~79세,"18,981",794,"1,065",630,720,833,593,620,806,"1,134",868,"1,213","1,173",658,"1,670","1,202",905,941,796,595,"1,765"
2020년08월_여_80~89세,"8,567",399,500,272,353,415,278,282,367,467,420,506,504,277,915,502,412,433,333,230,702
2020년08월_여_90~99세,"1,510",103,77,51,47,90,45,60,53,83,89,92,99,44,169,71,74,62,61,42,98
2020년08월_여_100세 이상,286,7,27,12,8,8,10,11,12,16,7,19,19,14,30,18,10,11,26,12,9
